epoch,loss,cal_kge,lr,spinup_s,epoch_s,peak_vram_mb,skipped_steps
0,0.5018479565779368,0.7954310313494178,7.999999999999999e-05,36.3,100.9,642,0
1,0.4946484128634135,,0.00014,11.2,72.2,666,0
2,0.48846630652745565,0.7955441091381947,0.0002,31.5,92.3,666,0
3,0.47549660404523214,,0.00019985574406116503,11.2,72.1,665,0
4,0.46684865752855936,0.797793777805994,0.0001994234143452052,31.5,92.3,666,0
5,0.45268158316612245,,0.0001987043238232586,11.1,72.1,666,0
6,0.4535846471786499,0.7995995319917228,0.00019770065634960637,31.5,92.6,665,0
7,0.4401250918706258,,0.00019641546002937876,12.1,73.6,665,0
8,0.44438623587290443,0.8044519061341638,0.00019485263796156026,37.1,98.2,665,0
9,0.4416813870271047,,0.00019301693638540615,11.9,72.7,665,0
10,0.4372421165307363,0.8022456589608981,0.00019091393026626988,36.7,98.0,665,0
11,0.43671335180600485,,0.00018855000636461646,12.0,73.6,665,0
12,0.44060683449109395,0.8045069810828841,0.0001859323438396411,38.4,100.0,665,0
13,0.43496099015076956,,0.00018306889244639832,11.4,73.5,665,0
14,0.44100483556588493,0.8043355047778196,0.00017996834839265744,36.6,97.6,665,0
15,0.43364139397939044,,0.00017664012792880518,11.6,72.1,665,0
16,0.4396749556064606,0.8055961285931285,0.0001730943387510029,36.1,96.7,665,0
17,0.4380920320749283,,0.00016934174930444544,11.8,72.4,665,0
18,0.4347274273633957,0.8050338942489631,0.00016539375607994698,32.3,93.0,665,0
19,0.45178502798080444,,0.00016126234900317314,11.8,72.9,665,0
20,0.44287969370683034,0.8032582084065353,0.00015696007502163058,36.5,110.2,665,0
21,0.44801524182160696,,0.00015250000000000002,16.5,100.5,665,0
22,0.4415242781241735,0.802121349527725,0.0001478956690395345,54.6,138.6,665,0
23,0.4510909835497538,,0.00014316106534203213,16.0,100.2,665,0
24,0.4476873864730199,0.8007634680363009,0.0001383105677433117,52.6,136.3,665,0
25,0.45091932515303296,,0.000133358907045161,15.3,99.4,665,0
26,0.4445830941200256,0.8000073741503057,0.00012832112127837594,48.9,132.4,665,0
27,0.4533505747715632,,0.00012321251003275516,16.4,100.1,665,0
28,0.4426048437754313,0.7978135487715136,0.00011804858799274876,50.3,133.8,665,0
29,0.4471241633097331,,0.00011284503781987159,16.0,99.8,665,0
30,,0.7962213490371376,0.00011284503781987159,48.2,48.2,665,0
