epoch,loss,cal_kge,lr,spinup_s,epoch_s,peak_vram_mb,skipped_steps
0,0.8202775438626607,0.7641616575785012,0.00039999999999999996,54.3,178.9,1655,0
1,0.8015955885251363,,0.0006999999999999999,16.0,139.3,1699,0
2,0.7268280724684397,0.76923242333367,0.001,49.5,172.9,1699,0
3,0.5839299917221069,,0.0009992483506344914,16.9,141.4,1699,0
4,0.47056127587954205,0.7454804386178667,0.000996995685272385,52.0,174.8,1699,0
5,0.44849055508772534,,0.0009932488451843474,16.9,141.5,1699,0
6,0.43511027892430626,0.7603757436880487,0.0009880192094005806,52.2,175.3,1699,0
7,0.42238522867361705,,0.0009813226601530789,16.8,140.4,1699,0
8,0.40681939423084257,0.7625958664855653,0.000973179534641814,52.5,175.4,1699,0
9,0.39536870022614795,,0.0009636145632713268,17.3,141.5,1699,0
10,0.3855485131343206,0.7635652873237433,0.0009526567945453009,52.4,175.1,1699,0
11,0.3772624840339025,,0.0009403395068472121,16.8,140.6,1699,0
12,0.369094251592954,0.7688339137567055,0.000926700107374972,50.9,173.2,1699,0
13,0.3643171240886052,,0.0009117800185364965,16.5,140.2,1699,0
14,0.35700278480847675,0.7764564859168853,0.0008956245521512151,50.4,172.6,1699,0
15,0.3558897912502289,,0.0008782827718395639,16.5,140.6,1699,0
16,0.3512326776981354,0.78315799863416,0.0008598073440183836,50.4,172.4,1699,0
17,0.34801297187805175,,0.0008402543779547422,16.3,139.6,1699,0
18,0.3436953514814377,0.7864696315653615,0.0008196832553639344,50.1,172.1,1699,0
19,0.3386010686556498,,0.0007981564500691655,16.5,139.6,1699,0
20,0.3394928882519404,0.7932928900989409,0.0007757393382706016,50.3,172.5,1699,1
21,0.3353206942478816,,0.0007525000000000003,16.5,139.4,1699,1
22,0.33459910849730173,0.7934206820577052,0.0007285090123638906,50.0,172.3,1699,2
23,0.33551561733086904,,0.0007038392352032202,16.4,139.7,1699,2
24,0.3313372572263082,0.7931854787136366,0.0006785655898204139,50.2,172.3,1699,1
25,0.33064844608306887,,0.0006527648314458392,16.2,139.7,1699,1
26,0.3315427253643672,0.7992789006740639,0.0006265153161346959,50.1,172.3,1699,3
27,0.3287569711605708,,0.0005998967628022509,16.4,139.8,1699,2
28,0.3281768083572388,0.7961993984781728,0.0005729900111201123,50.3,172.5,1699,2
29,0.3265076835950216,,0.0005458767760088049,16.5,140.0,1699,2
30,0.32686936457951865,0.7983363066469302,0.0005186393994722405,50.3,172.5,1699,3
31,0.3245562752087911,,0.0004913606005277602,16.4,139.8,1699,2
32,0.3252945452928543,0.7989843758423991,0.0004641232239911959,51.3,173.5,1699,2
33,0.320938499768575,,0.0004370099888798882,16.3,139.8,1699,4
34,0.32066669265429176,0.8014360674046718,0.00041010323719774976,50.8,172.8,1699,4
35,0.3209543446699778,,0.0003834846838653047,16.4,139.9,1699,2
36,0.321260870496432,0.8013131876270171,0.0003572351685541614,50.0,172.1,1699,2
37,0.31806018749872844,,0.00033143441017958694,16.4,139.9,1699,4
38,0.3200539211432139,0.8004443937800487,0.00030616076479678036,49.9,172.0,1699,3
39,0.3194523344437281,,0.00028149098763611006,16.2,139.7,1699,2
40,0.3190271486838659,0.798065924318444,0.0002575000000000003,50.1,172.4,1699,3
41,0.3189023534456889,,0.00023426066172939892,16.3,139.7,1699,3
42,0.3177731096744537,0.7964923023932828,0.00021184354993083508,51.1,173.2,1699,3
43,0.31613249679406485,,0.00019031674463606605,16.3,140.0,1699,4
44,0.315386567513148,0.8004113819865302,0.0001697456220452582,52.1,174.3,1699,4
