basin,noah_val_kge,noah_r,noah_alpha,noah_beta,noah_pbias,noah_seas_mis,noah_c3_kge,arm_val_kge,arm_r,arm_alpha,arm_beta,arm_pbias,arm_seas_mis,arm_c3_kge,hybrid_val_kge,hybrid_r,hybrid_alpha,hybrid_beta,hybrid_pbias,hybrid_seas_mis,hybrid_c3_kge,hybrid_pet_dt_val_kge,hybrid_pet_dt_r,hybrid_pet_dt_alpha,hybrid_pet_dt_beta,hybrid_pet_dt_pbias,hybrid_pet_dt_seas_mis,hybrid_pet_dt_c3_kge,arm_vs_noah_seas_frac,arm_vs_noah_mean_corr
SHA,0.9046,0.9219,1.0519,0.9829,-1.7137,0.0659,0.9015,0.9151,0.9486,0.9546,1.05,5.0026,0.0206,0.9033,0.9186,0.9505,0.9448,1.0336,3.3639,0.0186,0.8899,0.9151,0.9486,0.9546,1.05,5.0026,0.0206,0.9033,0.4111,0.055
BND,0.8809,0.9304,0.9845,0.9046,-9.5369,0.0833,0.8638,0.9046,0.9654,0.9241,1.0464,4.6374,0.0196,0.8917,0.8893,0.9648,0.9002,1.0324,3.2388,0.0215,0.8674,0.9046,0.9654,0.9241,1.0464,4.6374,0.0196,0.8917,0.4997,0.1514
ORO,0.8961,0.9083,0.9582,0.9745,-2.5531,0.0732,0.9029,0.9137,0.9509,0.9403,0.9616,-3.8377,0.0354,0.8627,0.9297,0.9505,0.9608,0.969,-3.104,0.0397,0.8478,0.9137,0.9509,0.9403,0.9616,-3.8377,0.0354,0.8627,0.405,-0.036
YRS,0.7996,0.8858,0.8801,1.1129,11.2905,0.0677,0.8701,0.9192,0.9229,0.976,0.9986,-0.1392,0.0391,0.941,0.9186,0.921,1.0126,1.0146,1.4611,0.0455,0.9283,0.9192,0.9229,0.976,0.9986,-0.1392,0.0391,0.941,0.2704,-0.2821
FOL,0.7571,0.8927,0.7849,0.9647,-3.533,0.0932,0.8646,0.8618,0.9457,0.8748,0.9778,-2.2215,0.0279,0.9142,0.8898,0.9504,0.9031,0.9827,-1.7333,0.033,0.8922,0.8618,0.9457,0.8748,0.9778,-2.2215,0.0279,0.9142,0.4553,0.0154
MKM,0.7929,0.8461,0.9081,0.8962,-10.3813,0.1501,0.8674,0.8254,0.9179,0.9285,0.8635,-13.6499,0.0579,0.9075,0.8437,0.9166,0.9646,0.8726,-12.7365,0.0668,0.8635,0.8254,0.9179,0.9285,0.8635,-13.6499,0.0579,0.9075,0.5553,-0.0522
NHG,0.5816,0.8392,0.6211,1.0747,7.4728,0.1611,0.7508,0.8225,0.9174,0.8562,0.9368,-6.3231,0.016,0.7672,0.8164,0.9217,0.8536,0.9216,-7.8359,0.0193,0.7733,0.8225,0.9174,0.8562,0.9368,-6.3231,0.016,0.7672,0.2629,-0.0801
NML,0.8848,0.8992,1.0318,0.9544,-4.5608,0.0561,0.9236,0.8759,0.9106,0.9599,0.9238,-7.6238,0.0453,0.7814,0.8785,0.9094,0.9873,0.9201,-7.9896,0.0546,0.7459,0.8759,0.9106,0.9599,0.9238,-7.6238,0.0453,0.7814,0.2422,-0.0603
TLG,0.8147,0.9239,0.8854,0.8758,-12.4157,0.0488,0.8392,0.9415,0.9519,1.0103,1.0316,3.1646,0.0302,0.9672,0.9355,0.9484,1.0204,1.0329,3.2852,0.0444,0.9249,0.9415,0.9519,1.0103,1.0316,3.1646,0.0302,0.9672,0.5189,0.2508
MRC,0.841,0.906,0.8815,0.951,-4.8992,0.0569,0.9402,0.8202,0.9341,0.8826,0.8809,-11.9107,0.024,0.8588,0.8237,0.9312,0.8878,0.8827,-11.7343,0.0267,0.788,0.8202,0.9341,0.8826,0.8809,-11.9107,0.024,0.8588,0.2741,-0.0829
MIL,0.8253,0.9006,0.954,0.8639,-13.6124,0.0977,0.7463,0.9347,0.9473,0.9674,0.9794,-2.0616,0.0539,0.8687,0.8944,0.9452,0.9292,0.944,-5.605,0.0404,0.7834,0.9347,0.9473,0.9674,0.9794,-2.0616,0.0539,0.8687,0.5681,0.1727
PNF,0.8699,0.8973,1.0409,0.9314,-6.8595,0.1318,,0.8788,0.9486,1.0501,1.0977,9.7679,0.0532,,0.9086,0.944,0.9914,1.0717,7.1653,0.0381,,0.8788,0.9486,1.0501,1.0977,9.7679,0.0532,,0.6193,0.2677
TRM,0.7218,0.8925,0.8664,0.7809,-21.9134,0.1148,,0.8934,0.9559,0.9319,0.9307,-6.9271,0.0424,,0.9149,0.9514,0.9584,0.9439,-5.6106,0.0468,,0.8934,0.9559,0.9319,0.9307,-6.9271,0.0424,,0.6389,0.1527
SCC,0.5649,0.8667,1.1186,1.3968,39.6835,0.0811,,0.5875,0.916,1.2624,1.3069,30.6946,0.0611,,0.6153,0.9235,1.247,1.2849,28.4929,0.0502,,0.5875,0.916,1.2624,1.3069,30.6946,0.0611,,0.2235,-0.0362
ISB,0.8446,0.8765,1.0808,0.9512,-4.8841,0.0994,,0.86,0.9194,0.8897,0.9694,-3.058,0.0598,,0.8642,0.9199,0.8941,0.9714,-2.8591,0.0646,,0.86,0.9194,0.8897,0.9694,-3.058,0.0598,,0.1476,0.0059
