basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9473,0.913,-0.5066,0.9557,5812,0.9256,0.8986,3.7768,0.9486,5567,1.1406,8047.8053
BND,8900.0,0.9347,0.9095,0.7489,0.9537,1458,0.9059,0.9281,5.7549,0.965,5571,1.2101,11400.9932
ORO,3607.0,0.9223,0.9181,-3.2713,0.9585,5480,0.9221,0.9018,-5.2159,0.9504,5569,1.557,5945.3266
YRS,1108.0,0.8652,0.8509,-1.9237,0.9231,5063,0.9087,0.8239,-1.3415,0.9108,5545,2.7166,3186.4137
FOL,1885.0,0.9066,0.8828,-0.6054,0.9396,5063,0.8734,0.8862,-2.6165,0.943,5272,2.0599,4110.5197
MKM,544.0,0.8893,0.8558,-2.4111,0.9252,5195,0.8159,0.8354,-15.1726,0.9193,5056,1.8209,1048.6139
NHG,363.0,0.8963,0.8808,-6.2395,0.9387,4637,0.8185,0.8348,-8.7893,0.9154,4678,0.658,252.8732
NML,900.0,0.9042,0.8725,-1.5877,0.9341,5721,0.8809,0.8266,-7.7524,0.9129,5473,1.5142,1442.6615
TLG,1538.0,0.9066,0.9041,-1.0985,0.9513,5498,0.9422,0.9002,1.9179,0.9517,5157,1.6987,2765.7774
MRC,1061.0,0.8963,0.8889,-0.2312,0.9433,5463,0.8285,0.8671,-12.6816,0.9346,5570,1.1648,1308.346
MIL,1675.0,0.9528,0.9211,2.4761,0.9612,5721,0.9463,0.8943,-0.4545,0.9478,5499,1.3344,2366.0635
PNF,1545.0,0.9685,0.946,0.3249,0.9736,5809,0.859,0.8836,10.0777,0.9518,5549,1.3144,2149.7892
TRM,561.0,0.9386,0.9016,-1.4573,0.9498,5543,0.8887,0.9086,-8.596,0.9549,5503,0.9003,534.6446
SCC,393.0,0.8816,0.888,-2.4296,0.9435,5228,0.5263,0.6289,33.6817,0.9084,5292,0.4767,198.3217
ISB,2074.0,0.9556,0.9138,-1.0586,0.9569,5821,0.8657,0.8664,-5.1847,0.9322,5569,0.3887,853.502
