epoch,loss,cal_kge,lr,epoch_s
0.000000000000000000e+00,1.534619901329278946e+00,-1.466364762996262838e-01,1.599999999999999860e-04,7.509199142456054688e+00
1.000000000000000000e+00,1.036156656634476425e+00,nan,2.799999999999999755e-04,3.399934530258178711e+00
2.000000000000000000e+00,4.479555939841601830e-01,7.430075443460355533e-01,4.000000000000000192e-04,6.665975332260131836e+00
3.000000000000000000e+00,3.449177822719017850e-01,nan,3.997038957044966347e-04,3.417067289352416992e+00
4.000000000000000000e+00,3.103001976592673072e-01,8.059599627776543596e-01,3.988164820770001432e-04,6.689715385437011719e+00
5.000000000000000000e+00,2.852933881286945361e-01,nan,3.973404541635308261e-04,3.412385940551757812e+00
6.000000000000000000e+00,2.681642189208004456e-01,8.104113685866178862e-01,3.952802946123499476e-04,6.680954217910766602e+00
7.000000000000000000e+00,2.635028635462124957e-01,nan,3.926422600603038165e-04,3.413559198379516602e+00
8.000000000000000000e+00,2.521753726113173943e-01,8.586793479392196282e-01,3.894343621316237046e-04,6.694941520690917969e+00
9.000000000000000000e+00,2.447037750130726108e-01,nan,3.856663431068863305e-04,3.413699626922607422e+00
1.000000000000000000e+01,2.355854179089268141e-01,8.211275772394703854e-01,3.813496463360276242e-04,6.677523851394653320e+00
1.100000000000000000e+01,2.326888651069667635e-01,nan,3.764973814852653577e-04,3.412785768508911133e+00
1.200000000000000000e+01,2.312456915775934763e-01,8.579280543813393445e-01,3.711242847234738217e-04,6.685509681701660156e+00
1.300000000000000000e+01,2.311378951287931804e-01,nan,3.652466739689228317e-04,3.437021970748901367e+00
1.400000000000000000e+01,2.166015634106265297e-01,8.900466719560123918e-01,3.588823993322968141e-04,6.704533100128173828e+00
1.500000000000000000e+01,2.155194981023669243e-01,nan,3.520507889064948374e-04,3.439276456832885742e+00
1.600000000000000000e+01,2.139777687067786760e-01,8.817948149549521553e-01,3.447725900678480699e-04,6.692125320434570312e+00
1.700000000000000000e+01,2.114905731545554390e-01,nan,3.370699064670196177e-04,3.418062448501586914e+00
1.800000000000000000e+01,2.088476821469763822e-01,8.486210419065703947e-01,3.289661309009438194e-04,6.727933406829833984e+00
1.900000000000000000e+01,2.102186144329607487e-01,nan,3.204858742696712172e-04,3.449477672576904297e+00
2.000000000000000000e+01,1.992156590955952711e-01,8.635146008969148967e-01,3.116548908338733241e-04,6.691375017166137695e+00
2.100000000000000000e+01,1.991582730164130621e-01,nan,3.025000000000000887e-04,3.433309793472290039e+00
2.200000000000000000e+01,2.001259631684256801e-01,8.749585885475468228e-01,2.930490048706235230e-04,6.697129249572753906e+00
2.300000000000000000e+01,1.953068981464538278e-01,nan,2.833306078073291384e-04,3.417641639709472656e+00
2.400000000000000000e+01,1.931480511816011658e-01,8.540337892972681422e-01,2.733743232625872191e-04,6.702953815460205078e+00
2.500000000000000000e+01,1.862746503514548235e-01,nan,2.632103881453305423e-04,3.411890268325805664e+00
2.600000000000000000e+01,1.859772425765792436e-01,8.560011841809808120e-01,2.528696699924559048e-04,6.692320108413696289e+00
2.700000000000000000e+01,1.857096013716525440e-01,nan,2.423835732251290525e-04,3.409926652908325195e+00
2.800000000000000000e+01,1.866671277934478512e-01,8.763743656275521099e-01,2.317839437745895933e-04,6.695949792861938477e+00
2.900000000000000000e+01,1.802785644928614206e-01,nan,2.211029723671048693e-04,3.423242330551147461e+00
3.000000000000000000e+01,1.815076043518880911e-01,8.996982500489477674e-01,2.103730967617916401e-04,6.697746753692626953e+00
3.100000000000000000e+01,1.843207991268071833e-01,nan,1.996269032382084595e-04,3.449561595916748047e+00
3.200000000000000000e+01,1.771347191598680315e-01,8.968177717724180598e-01,1.888970276328952845e-04,6.691081285476684570e+00
3.300000000000000000e+01,1.822419580486085711e-01,nan,1.782160562254104250e-04,3.410739660263061523e+00
3.400000000000000000e+01,1.732920542773273287e-01,8.895789395443968184e-01,1.676164267748710471e-04,6.689182043075561523e+00
3.500000000000000000e+01,1.733689934222234497e-01,nan,1.571303300075441948e-04,3.415086746215820312e+00
3.600000000000000000e+01,1.699154198997550602e-01,9.071887573548373940e-01,1.467896118546695844e-04,6.695027112960815430e+00
3.700000000000000000e+01,1.712394127001365118e-01,nan,1.366256767374129618e-04,3.411042451858520508e+00
3.800000000000000000e+01,1.712445361643201713e-01,9.114999922331943338e-01,1.266693921926709883e-04,6.682628154754638672e+00
3.900000000000000000e+01,1.743268908208442936e-01,nan,1.169509951293766308e-04,3.418780088424682617e+00
4.000000000000000000e+01,1.706727814550201006e-01,8.783410503822278725e-01,1.075000000000000651e-04,6.682267427444458008e+00
4.100000000000000000e+01,1.696533277216884794e-01,nan,9.834510916612681619e-05,3.418772459030151367e+00
4.200000000000000000e+01,1.744958961175547829e-01,8.759092701391290037e-01,8.951412573032893659e-05,6.680410146713256836e+00
4.300000000000000000e+01,1.671129063082238131e-01,nan,8.103386909905629378e-05,3.410742282867431641e+00
4.400000000000000000e+01,1.683947156804303236e-01,9.057694403645722980e-01,7.293009353298048189e-05,6.696956634521484375e+00
4.500000000000000000e+01,1.700637630807856626e-01,nan,6.522740993215205680e-05,3.413242340087890625e+00
4.600000000000000000e+01,1.693029163612259635e-01,9.163767307086528868e-01,5.794921109350526894e-05,6.690872192382812500e+00
4.700000000000000000e+01,1.662132579626308670e-01,nan,5.111760066770328547e-05,3.414216518402099609e+00
4.800000000000000000e+01,1.656940350722935495e-01,8.888792598323040917e-01,4.475332603107722045e-05,6.687817811965942383e+00
4.900000000000000000e+01,1.607553977519273758e-01,nan,3.887571527652621017e-05,3.410630464553833008e+00
5.000000000000000000e+01,1.657456017306281337e-01,8.985695461200745582e-01,3.350261851473466056e-05,6.693619489669799805e+00
5.100000000000000000e+01,1.672745902194744949e-01,nan,2.865035366397240769e-05,3.412914037704467773e+00
5.200000000000000000e+01,1.664786297414037886e-01,8.891047106515000964e-01,2.433365689311366067e-05,6.689310550689697266e+00
5.300000000000000000e+01,1.651326577282614116e-01,nan,2.056563786837625269e-05,3.409394979476928711e+00
5.400000000000000000e+01,1.629446104893254033e-01,9.008289097447933491e-01,1.735773993969615434e-05,6.683642387390136719e+00
5.500000000000000000e+01,1.607475311805804663e-01,nan,1.471970538765005885e-05,3.425961494445800781e+00
5.600000000000000000e+01,1.646768833614057903e-01,8.936429245768289231e-01,1.265954583646914987e-05,6.681555032730102539e+00
5.700000000000000000e+01,1.656863215482897167e-01,nan,1.118351792299985141e-05,3.420020103454589844e+00
5.800000000000000000e+01,1.646982492982513313e-01,8.962970770078383387e-01,1.029610429550334636e-05,6.686756134033203125e+00
5.900000000000000000e+01,1.643651425838470459e-01,nan,1.000000000000000082e-05,3.415175914764404297e+00
