basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9478,0.9136,-0.8985,0.956,5812,0.9186,0.9025,3.3639,0.9505,5567,1.1406,8047.8053
BND,8900.0,0.9266,0.9093,-0.1424,0.9536,1458,0.8893,0.926,3.2388,0.9648,5571,1.2101,11400.9932
ORO,3607.0,0.9214,0.9278,-2.7359,0.9638,5480,0.9297,0.9029,-3.104,0.9505,5569,1.557,5945.3266
YRS,1108.0,0.8758,0.8635,-1.8061,0.9298,5063,0.9186,0.8397,1.4611,0.921,5545,2.7166,3186.4137
FOL,1885.0,0.9087,0.8922,-1.3524,0.9447,5063,0.8898,0.901,-1.7333,0.9504,5272,2.0599,4110.5197
MKM,544.0,0.9026,0.8634,-1.6068,0.9292,5195,0.8437,0.8311,-12.7365,0.9166,5056,1.8209,1048.6139
NHG,363.0,0.8985,0.8842,-4.755,0.9405,4637,0.8164,0.8443,-7.8359,0.9217,4678,0.658,252.8732
NML,900.0,0.899,0.8856,-3.142,0.9415,5721,0.8785,0.818,-7.9896,0.9094,5473,1.5142,1442.6615
TLG,1538.0,0.9041,0.9152,-0.8958,0.9576,5498,0.9355,0.8937,3.2852,0.9484,5157,1.6987,2765.7774
MRC,1061.0,0.8909,0.9053,-0.5703,0.9529,5463,0.8237,0.8605,-11.7343,0.9312,5570,1.1648,1308.346
MIL,1675.0,0.9527,0.9277,-0.683,0.9632,5721,0.8944,0.8917,-5.605,0.9452,5499,1.3344,2366.0635
PNF,1545.0,0.9669,0.9486,0.534,0.974,5809,0.9086,0.8867,7.1653,0.944,5549,1.3144,2149.7892
TRM,561.0,0.9442,0.9113,0.3924,0.9547,5543,0.9149,0.9038,-5.6106,0.9514,5503,0.9003,534.6446
SCC,393.0,0.8643,0.9076,-3.3656,0.9562,5228,0.6153,0.7292,28.4929,0.9235,5292,0.4767,198.3217
ISB,2074.0,0.9548,0.9428,-0.974,0.971,5821,0.8642,0.8451,-2.8591,0.9199,5569,0.3887,853.502
