basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9419,0.9114,-1.8023,0.9549,5812,0.9167,0.9002,2.1111,0.949,5567,1.1406,8047.8053
BND,8900.0,0.888,0.899,-1.1208,0.9495,1458,0.8401,0.9152,1.025,0.9641,5571,1.2101,11400.9932
ORO,3607.0,0.918,0.9316,-3.4332,0.9659,5480,0.9349,0.8908,-1.7615,0.9443,5569,1.557,5945.3266
YRS,1108.0,0.8738,0.8672,-3.278,0.932,5063,0.8924,0.8083,2.8587,0.9103,5545,2.7166,3186.4137
FOL,1885.0,0.8981,0.8961,-2.1563,0.9472,5063,0.879,0.8948,-0.5219,0.9476,5272,2.0599,4110.5197
MKM,544.0,0.9066,0.8704,-1.3365,0.933,5195,0.8765,0.8341,-9.0645,0.9176,5056,1.8209,1048.6139
NHG,363.0,0.917,0.8914,-2.7065,0.9442,4637,0.8018,0.859,-9.0717,0.932,4678,0.658,252.8732
NML,900.0,0.8998,0.8902,-2.6405,0.9439,5721,0.8762,0.8165,-8.1862,0.9085,5473,1.5142,1442.6615
TLG,1538.0,0.9134,0.9184,-0.1375,0.959,5498,0.9292,0.8914,4.052,0.9477,5157,1.6987,2765.7774
MRC,1061.0,0.8759,0.9052,-2.6374,0.9538,5463,0.805,0.8563,-13.4452,0.9302,5570,1.1648,1308.346
MIL,1675.0,0.9435,0.9279,-0.977,0.9633,5721,0.9153,0.8862,-4.1771,0.9419,5499,1.3344,2366.0635
PNF,1545.0,0.9552,0.9382,2.6777,0.9688,5809,0.8271,0.8475,15.372,0.9323,5549,1.3144,2149.7892
TRM,561.0,0.9418,0.9054,-0.2872,0.9517,5543,0.8909,0.8904,-7.0691,0.9448,5503,0.9003,534.6446
SCC,393.0,0.8941,0.9182,-2.7723,0.9599,5228,0.7897,0.8136,15.8369,0.9253,5292,0.4767,198.3217
ISB,2074.0,0.9464,0.9393,-1.832,0.9693,5821,0.857,0.8336,-3.0433,0.9136,5569,0.3887,853.502
