epoch,loss,cal_kge,lr,epoch_s
0.000000000000000000e+00,1.443460983534653908e+00,-1.537347374587451909e-01,1.599999999999999860e-04,5.898846387863159180e+00
1.000000000000000000e+00,9.455249654129147530e-01,nan,2.799999999999999755e-04,1.737916946411132812e+00
2.000000000000000000e+00,4.334166499061716804e-01,7.249909692422165097e-01,4.000000000000000192e-04,4.985411405563354492e+00
3.000000000000000000e+00,3.409515787950820331e-01,nan,3.997038957044966347e-04,1.732407569885253906e+00
4.000000000000000000e+00,3.036329476162791252e-01,7.834388647648926618e-01,3.988164820770001432e-04,4.979062795639038086e+00
5.000000000000000000e+00,2.830445786110228901e-01,nan,3.973404541635308261e-04,1.738393783569335938e+00
6.000000000000000000e+00,2.702628393760985737e-01,7.877611715859342834e-01,3.952802946123499476e-04,4.981817960739135742e+00
7.000000000000000000e+00,2.636827511402468072e-01,nan,3.926422600603038165e-04,1.739171981811523438e+00
8.000000000000000000e+00,2.495245461145209065e-01,8.396865709460652472e-01,3.894343621316237046e-04,4.993196249008178711e+00
9.000000000000000000e+00,2.476802892569038572e-01,nan,3.856663431068863305e-04,1.734923839569091797e+00
1.000000000000000000e+01,2.288632022423876533e-01,8.656403514897650364e-01,3.813496463360276242e-04,4.996186256408691406e+00
1.100000000000000000e+01,2.281823359533316498e-01,nan,3.764973814852653577e-04,1.735450506210327148e+00
1.200000000000000000e+01,2.289678482338786125e-01,8.188493778949513802e-01,3.711242847234738217e-04,4.986770391464233398e+00
1.300000000000000000e+01,2.211919291876256466e-01,nan,3.652466739689228317e-04,1.739372968673706055e+00
1.400000000000000000e+01,2.156894864100548925e-01,8.361208404620662504e-01,3.588823993322968141e-04,4.989927291870117188e+00
1.500000000000000000e+01,2.139338752668764887e-01,nan,3.520507889064948374e-04,1.737181186676025391e+00
1.600000000000000000e+01,2.097902453711463222e-01,8.666389698374340478e-01,3.447725900678480699e-04,4.990736961364746094e+00
1.700000000000000000e+01,2.057979525480833349e-01,nan,3.370699064670196177e-04,1.741225719451904297e+00
1.800000000000000000e+01,1.973466408025059404e-01,8.816719699384544251e-01,3.289661309009438194e-04,4.992004632949829102e+00
1.900000000000000000e+01,1.999941009821163407e-01,nan,3.204858742696712172e-04,1.744033575057983398e+00
