epoch,loss,cal_kge,lr,spinup_s,epoch_s,peak_vram_mb,skipped_steps
0,6.3010324796040855,0.35837114117711416,0.00039999999999999996,95.3,159.1,651,0
1,6.056068468093872,,0.0006999999999999999,77.7,140.0,679,0
2,4.768050368626913,0.39853170962481366,0.001,105.8,167.4,679,0
3,2.2559167544047036,,0.0009992483506344914,81.5,141.8,679,0
4,1.0875417550404867,0.5888565253013655,0.000996995685272385,105.0,165.1,679,0
5,0.7163129607836406,,0.0009932488451843474,82.2,142.6,679,0
6,0.6250092128912608,0.683381978440377,0.0009880192094005806,104.5,165.0,679,0
7,0.5558112571636836,,0.0009813226601530789,81.3,141.9,679,0
8,0.5317209502061208,0.7412331578508343,0.000973179534641814,105.1,165.3,679,0
9,0.5124424616495769,,0.0009636145632713268,83.2,143.3,679,0
10,0.5027995347976685,0.7380391683735581,0.0009526567945453009,107.4,167.6,679,0
11,0.49320229689280193,,0.0009403395068472121,83.2,143.7,679,0
12,0.49049551685651144,0.7457996175047964,0.000926700107374972,105.8,166.0,679,0
13,0.4895560920238495,,0.0009117800185364965,83.4,142.6,679,0
14,0.48760581811269127,0.7465629352845979,0.0008956245521512151,114.4,171.5,679,0
15,0.4810793916384379,,0.0008782827718395639,91.7,149.0,679,0
16,0.4757850021123886,0.745754688676794,0.0008598073440183836,113.7,170.8,679,0
17,0.4675722102324168,,0.0008402543779547422,91.0,148.1,679,0
18,0.4643591473499934,0.7501543353186976,0.0008196832553639344,113.0,170.4,679,0
19,0.46304274797439576,,0.0007981564500691655,91.4,148.8,679,0
20,0.4577560007572174,0.7498237305269243,0.0007757393382706016,113.6,170.4,679,0
21,0.4594684640566508,,0.0007525000000000003,91.2,149.1,679,0
22,0.45654692749182385,0.7594077787765711,0.0007285090123638906,115.4,173.0,679,0
23,0.4460095743338267,,0.0007038392352032202,91.0,148.7,679,0
24,0.45095332264900206,0.7516674440042642,0.0006785655898204139,116.7,174.2,679,0
25,0.44545669555664064,,0.0006527648314458392,90.7,149.1,679,0
26,0.44498813450336455,0.7526256722063358,0.0006265153161346959,115.3,172.1,679,0
27,0.44606479704380037,,0.0005998967628022509,91.1,148.3,679,0
28,0.43579590519269307,0.753096469168583,0.0005729900111201123,115.0,172.1,679,0
29,0.439797043800354,,0.0005458767760088049,90.8,147.9,679,0
30,0.43595864772796633,0.7532102248357053,0.0005186393994722405,115.1,173.3,679,0
31,0.4347504367431005,,0.0004913606005277602,90.7,149.5,679,0
32,0.4341583281755447,0.7524059881084577,0.0004641232239911959,114.4,174.1,679,0
33,0.4317192276318868,,0.0004370099888798882,91.3,150.9,679,0
34,,0.7523297145145643,0.0004370099888798882,114.1,114.1,679,0
