basin,date,sim_mm,obs_mm,cal_start,cal_end
AMF,1951-10-31,20.596228,7.675584,1951-10,2013-09
AMF,1951-11-30,31.36083,24.69931,1951-10,2013-09
AMF,1951-12-31,68.328882,80.174224,1951-10,2013-09
AMF,1952-01-31,81.338597,136.548581,1951-10,2013-09
AMF,1952-02-29,84.980286,137.662779,1951-10,2013-09
AMF,1952-03-31,79.309748,126.621863,1951-10,2013-09
AMF,1952-04-30,152.914446,206.480272,1951-10,2013-09
AMF,1952-05-31,220.479304,286.894516,1951-10,2013-09
AMF,1952-06-30,182.829773,169.443939,1951-10,2013-09
AMF,1952-07-31,58.155708,60.795776,1951-10,2013-09
AMF,1952-08-31,15.996912,14.186439,1951-10,2013-09
AMF,1952-09-30,6.705523,6.068714,1951-10,2013-09
AMF,1952-10-31,1.687419,5.083369,1951-10,2013-09
AMF,1952-11-30,12.717702,7.455776,1951-10,2013-09
AMF,1952-12-31,25.626185,24.984808,1951-10,2013-09
AMF,1953-01-31,117.944821,114.795199,1951-10,2013-09
AMF,1953-02-28,24.897719,39.075239,1951-10,2013-09
AMF,1953-03-31,59.822175,55.068143,1951-10,2013-09
AMF,1953-04-30,116.07796,118.534456,1951-10,2013-09
AMF,1953-05-31,114.026522,122.720908,1951-10,2013-09
AMF,1953-06-30,155.540962,129.193866,1951-10,2013-09
AMF,1953-07-31,64.638514,41.541127,1951-10,2013-09
AMF,1953-08-31,15.49481,7.710955,1951-10,2013-09
AMF,1953-09-30,5.485609,4.140975,1951-10,2013-09
AMF,1953-10-31,7.784216,4.163714,1951-10,2013-09
AMF,1953-11-30,18.641173,13.617971,1951-10,2013-09
AMF,1953-12-31,10.252924,16.301141,1951-10,2013-09
AMF,1954-01-31,45.459355,31.058574,1951-10,2013-09
AMF,1954-02-28,75.695476,53.120192,1951-10,2013-09
AMF,1954-03-31,103.516244,113.640577,1951-10,2013-09
AMF,1954-04-30,152.407082,137.013462,1951-10,2013-09
AMF,1954-05-31,99.230032,91.899828,1951-10,2013-09
AMF,1954-06-30,31.038731,28.966611,1951-10,2013-09
AMF,1954-07-31,7.796521,8.327427,1951-10,2013-09
AMF,1954-08-31,2.235445,3.542188,1951-10,2013-09
AMF,1954-09-30,0.590534,2.877712,1951-10,2013-09
AMF,1954-10-31,0.505067,2.97372,1951-10,2013-09
AMF,1954-11-30,16.915585,7.210703,1951-10,2013-09
AMF,1954-12-31,45.730849,28.799861,1951-10,2013-09
AMF,1955-01-31,36.56198,33.615418,1951-10,2013-09
AMF,1955-02-28,13.808701,25.997944,1951-10,2013-09
AMF,1955-03-31,43.447186,38.830166,1951-10,2013-09
AMF,1955-04-30,63.242321,60.563336,1951-10,2013-09
AMF,1955-05-31,131.745884,122.614794,1951-10,2013-09
AMF,1955-06-30,82.364464,55.997905,1951-10,2013-09
AMF,1955-07-31,17.133644,10.495186,1951-10,2013-09
AMF,1955-08-31,4.617653,4.699337,1951-10,2013-09
AMF,1955-09-30,2.429731,3.405756,1951-10,2013-09
AMF,1955-10-31,1.459328,3.360279,1951-10,2013-09
AMF,1955-11-30,11.480538,7.225862,1951-10,2013-09
AMF,1955-12-31,319.796843,315.057692,1951-10,2013-09
AMF,1956-01-31,236.550557,240.474668,1951-10,2013-09
AMF,1956-02-29,82.031031,82.592109,1951-10,2013-09
AMF,1956-03-31,65.587221,77.235875,1951-10,2013-09
AMF,1956-04-30,81.540676,103.006432,1951-10,2013-09
AMF,1956-05-31,217.851222,190.5,1951-10,2013-09
AMF,1956-06-30,144.865621,108.81744,1951-10,2013-09
AMF,1956-07-31,43.111544,31.404708,1951-10,2013-09
AMF,1956-08-31,11.200177,8.56492,1951-10,2013-09
AMF,1956-09-30,5.213373,5.280438,1951-10,2013-09
AMF,1956-10-31,14.064805,8.160676,1951-10,2013-09
AMF,1956-11-30,9.905544,7.756432,1951-10,2013-09
AMF,1956-12-31,6.78387,12.253647,1951-10,2013-09
AMF,1957-01-31,18.579335,14.679111,1951-10,2013-09
AMF,1957-02-28,81.983524,71.626989,1951-10,2013-09
AMF,1957-03-31,131.074591,111.874536,1951-10,2013-09
AMF,1957-04-30,79.157365,77.16008,1951-10,2013-09
AMF,1957-05-31,173.513272,143.178183,1951-10,2013-09
AMF,1957-06-30,89.382202,73.041843,1951-10,2013-09
AMF,1957-07-31,21.173006,13.466379,1951-10,2013-09
AMF,1957-08-31,5.334232,4.623541,1951-10,2013-09
AMF,1957-09-30,2.199605,1.995955,1951-10,2013-09
AMF,1957-10-31,12.167236,5.507825,1951-10,2013-09
