arc,region,name,flow_type,method_class,method,gauge,period,record_frac,record_owner,tier1_set,notes
I_SHSTA,Sacramento,Shasta Lake inflow,total flow,reservoir_mass_balance,total flow (whole-watershed reservoir inflow); flags: Impairment + Proportionality,none listed,none listed,0.0,,UF6,"Reservoir-inflow reconstruction; the Proportionality dot implies part of the record is proportioned from another station but the table does not say which. The SHA tier-1 anchor uses FLOW-UNIMPAIRED SHAS, whose derivation is not in this table."
I_COW014,Sacramento,Cow Creek (at river mile 14),total flow,gauged_extended_split,total flow; flags: Flow correlation + Proportionality (fn 3),USGS 11374000 Cow Creek at Millville,10/49-09/15,1.0,donor,UF6,Fn 3: Millville record scaled by drainage-area ratio to RM 14; gauged data assumed unimpaired. Pre-1949 by correlation.
I_BCN010,Sacramento,Bear Creek (North) near Millville,total flow,gauged_extended,total flow; flags: Flow correlation,USGS 11374100,10/59-09/67,0.23,arc,UF6,Eight-year record; all but WY1960-67 of the validation window is correlation-synthesized. Member of the UF6 arc list.
I_BTL006,Sacramento,Battle Creek near Cottonwood / below Coleman Fish Hatchery,total flow,gauged_extended,total flow; flags: Flow correlation,"USGS 11376500 (10/40-09/61), then USGS 11376550 (10/61-09/15)",10/40-09/15 (two gauges),1.0,arc,UF6,Fn 1: gauged flows exclude the fish-hatchery diversion estimated at 60 cfs year-round (about 43 TAF/yr); whether it was added back is not stated. Gauge switch 10/61.
I_PYN001,Sacramento,Paynes Creek near Red Bluff + Sevenmile Creek,total flow,gauged_extended_split,total flow; flags: Flow correlation + Proportionality (fn 4),USGS 11377500,10/49-09/66,0.48,donor,,"Fn 4: no gauge on Sevenmile Creek, so Paynes outflow increased 9.8% (drainage area and precipitation depth). 17-year record; rest by correlation. Outside every training footprint."
I_MNS000,Sacramento,Minor northeast streams,other,proportioned_ungauged,"other (ungauged, proportioned); flags: Proportionality",none,none,0.0,,UF7,"Fn 5: Salt, Little Antelope, Dye, Big Dry, Little Dry, Singer, Pine, Campbell, Rock and Mud creeks. Wholly proportioned; about 235 TAF/yr in calsim3_inflow_monthly.csv, the largest member of the UF7 arc sum."
I_ANT011,Sacramento,Antelope Creek near Red Bluff,total flow,gauged_extended,total flow; flags: Flow correlation,USGS 11379000,10/40-09/82 (fn 2),0.94,arc,UF7,Fn 2: extended back to 10/1921 with Table 21 of the 1957 Joint Hydrology Report; post-1982 by correlation. UF7 member.
I_MLC006,Sacramento,Mill Creek near Los Molinos,total flow,gauged_extended,total flow; flags: Flow correlation,USGS 11381500,10/28-09/15 (fn 8),1.0,arc,UF7,Fn 8: extended back to 10/1921 with Table 27 of the 1957 Joint Hydrology Report. UF7 member.
I_DRC012,Sacramento,Deer Creek near Vina,total flow,complete_record,total flow; flags: Complete record (no Impairment dot),USGS 11383500,10/21-09/15,1.0,arc,UF7,"The only arc in the table that is a complete, unimpaired gauge record with no other method; the best-measured Sacramento reference. UF7 member."
I_BCC014,Sacramento,Big Chico Creek near Chico,total flow,gauged_extended,total flow; flags: Impairment + Flow correlation,USGS 11384000,10/21-09/86,1.0,arc,UF7,Impaired record; after 09/86 by correlation (inside the WY1985-2014 training window of UF 7). UF7 member.
I_BTC048,Sacramento,Butte Creek near Chico,total flow,reservoir_mass_balance,total flow; flags: Impairment only,USGS 11390000,10/30-09/15 (fn 11),1.0,arc,UF7,Fn 6: gauge adjusted to remove West Branch Feather imports via Toadtown Canal (USGS 11389800). Fn 11: extended back to 10/1921 with Table 22 of the 1957 Joint Hydrology Report. UF7 member.
I_LCC038,Sacramento,Little Chico Creek near Chico,total flow,gauged_extended,total flow; flags: Impairment (fn 7) + Flow correlation,"DWR A04910 (02/59-09/15, incomplete fn 16) + DWR A04280 (02/59-09/93)",02/59-09/15 (two DWR gauges),0.73,arc,UF7,Fn 7: flow = Little Chico Creek gauge + diversion channel leading to Butte Creek. Pre-1959 by correlation. UF7 member.
I_ALMNR,Sacramento,Lake Almanor local inflow,accretion,complete_record,accretion (reservoir local inflow); flags: Complete record + Proportionality,USGS 11399500,10/21-09/15,1.0,arc,UF8,Complete gauge record then proportioned between Almanor local and Mountain Meadows (same gauge as I_MTMDW).
I_MTMDW,Sacramento,Mountain Meadows Reservoir inflow,total flow,complete_record,total flow (headwater reservoir); flags: Complete record + Proportionality,USGS 11399500,10/21-09/15,1.0,arc,UF8,Proportioned split of the same record as I_ALMNR; the two arcs share one hydrograph shape.
I_BTVLY,Sacramento,Butt Valley Reservoir inflow,accretion,gauged_extended_split,accretion (local inflow; receives Almanor via tunnel); flags: Impairment + Flow correlation + Proportionality,USGS 11400500,10/36-09/15,1.0,donor,UF8,Impaired record; correlation before 1936 plus proportioning.
I_ANTLP,Sacramento,Antelope Lake inflow,total flow,gauged_extended,total flow (headwater reservoir); flags: Impairment + Flow correlation,USGS 11401500,10/30-09/93,1.0,arc,UF8,Post-1993 by correlation.
I_EBF001,Sacramento,East Branch Feather River accretion,accretion,gauged_extended,accretion; flags: Impairment + Flow correlation,USGS 11403000,10/45-09/55 and 12/61-09/76,0.59,arc,UF8,"Two short gauged segments; the rest of WY1950-84 (1955-61, 1976-84) is correlation-synthesized."
I_NFF029,Sacramento,North Fork Feather River accretion: Rock Creek Forebay to Poe Forebay,accretion,by_difference_accretion,accretion (residual of the upper NF Feather system); flags: Impairment only,USGS 11404500 NF Feather at Pulga (fn 14),10/21-09/15,1.0,arc,UF8,"Fn 14: Pulga flow = Poe Powerhouse + flow below Poe Dam. Fn 22 (printed 'I_NFF027'): accounts for storage regulation and evaporation in Antelope (DWR) and Mountain Meadows, Almanor, Butt Valley, Bucks (PG&E). About 679 TAF/yr in calsim3_inflow_monthly.csv; largest Feather sub-arc."
I_WBF030,Sacramento,West Branch Feather River accretion: Round Valley to Hendricks Diversion Dam,accretion,gauged_extended_split,accretion; flags: Impairment + Flow correlation + Proportionality,USGS 11406500,10/30-09/63,0.4,donor,UF8,Gauge ends 1963; WY1964-84 synthetic. One of four arcs split from 11406500 (fn 21).
I_RVPHB,Sacramento,Round Valley and Philbrook reservoirs combined inflow,total flow,gauged_extended_split,total flow (headwater reservoirs); flags: Impairment + Flow correlation + Proportionality,USGS 11406500,10/30-09/63,0.4,donor,UF8,Split of 11406500; synthetic after 1963.
I_WBF015,Sacramento,West Branch Feather River accretion: Hendricks to Miocene Diversion Dam,accretion,gauged_extended_split,accretion; flags: Impairment + Flow correlation + Proportionality,USGS 11406500,10/30-09/63,0.4,donor,UF8,Fn 21: accretion Hendricks Diversion Dam to the discontinued Yankee Hill gauge disaggregated to give inflow at Miocene Diversion Dam.
I_WBF006,Sacramento,West Branch Feather River accretion: Miocene Diversion Dam to Yankee Hill,accretion,gauged_extended_split,accretion; flags: Impairment + Flow correlation + Proportionality,USGS 11406500,10/30-09/63,0.4,donor,UF8,Fn 21 (disaggregation of the Hendricks-Yankee Hill accretion); synthetic after 1963.
I_BUCKS,Sacramento,Bucks Creek Reservoir inflow,total flow,gauged_extended,total flow (headwater reservoir); flags: Impairment + Flow correlation,USGS 11403530,10/80-09/15,0.11,arc,UF8,Gauge starts 1980: all but WY1981-84 of the validation window synthetic.
I_GZL009,Sacramento,Grizzly Creek above Diversion Dam,total flow,gauged_extended,total flow; flags: Impairment + Flow correlation,USGS 11404300,10/85-09/15,0.0,,UF8,Gauge starts after the validation window: WY1950-84 reference wholly synthetic.
I_FRMAN,Sacramento,Frenchman Lake inflow,total flow,gauged_extended,total flow (headwater reservoir); flags: Impairment + Flow correlation,USGS 11394500,10/51-09/15,0.94,arc,UF8,Same gauge as I_MFF087 and I_MFF019.
I_DAVIS,Sacramento,Davis Lake inflow,total flow,gauged_extended,total flow (headwater reservoir); flags: Impairment + Flow correlation,DWR CDEC DAV,12/66-09/15,0.51,arc,UF8,Only CDEC-sourced record in the table; pre-1967 synthetic.
I_MFF087,Sacramento,Middle Fork Feather River near Portola accretion,accretion,gauged_extended_split,accretion; flags: Impairment + Flow correlation + Proportionality,USGS 11394500,10/51-09/15,0.94,donor,UF8,Split of 11394500 with I_FRMAN and I_MFF019.
I_MFF019,Sacramento,Middle Fork Feather River accretion: Portola to Merrimac,accretion,by_difference_accretion,accretion (residual); flags: Impairment + Flow correlation + Proportionality,USGS 11394500,10/51-09/15,0.94,arc,UF8,Fn 23 (printed 'I_MFF019_'): accounts for storage regulation and evaporation in Davis and Frenchman and for M&I and agricultural diversions.
I_LGRSV,Sacramento,Little Grass Valley Reservoir inflow,total flow,gauged_extended,total flow (headwater reservoir); flags: Impairment + Flow correlation,USGS 11395030,10/63-09/15,0.6,arc,UF8,Pre-1963 synthetic.
I_SLYCK,Sacramento,Sly Creek Reservoir inflow,total flow,gauged_extended,total flow (headwater reservoir); flags: Impairment + Flow correlation,USGS 11396000,10/73-09/16,0.31,arc,UF8,Pre-1973 synthetic (most of the validation window).
I_SFF011,Sacramento,Local inflow to South Fork Feather River at Ponderosa Dam,accretion,gauged_extended_split,accretion (local inflow); flags: Impairment + Flow correlation + Proportionality,USGS 11397000,10/21-09/66,0.48,donor,UF8,Gauge ends 1966; proportioned split with I_SFF008.
I_SFF008,Sacramento,Local inflow to South Fork Feather River at Enterprise,accretion,gauged_extended_split,accretion (local inflow); flags: Impairment + Flow correlation + Proportionality,USGS 11397000,10/21-09/66,0.48,donor,UF8,Split of 11397000; synthetic after 1966.
I_OROVL,Sacramento,Lake Oroville local inflow,accretion,by_difference_accretion,accretion (reservoir residual below all Feather sub-arcs); flags: Impairment only,none listed,none listed,0.0,,UF8,"No gauge or extension method shown; about 509 TAF/yr in calsim3_inflow_monthly.csv. Oroville was completed in 1968, so the pre-1968 basis is not documented here."
I_LDC029,Sacramento,Little Dry Creek,other,proportioned_ungauged,"other (ungauged, proportioned); flags: Proportionality",none,none,0.0,,UF7,Wholly proportioned (about 26 TAF/yr). UF7 member.
I_HON021,Sacramento,South Fork Honcut Creek,total flow,gauged_extended,total flow; flags: Flow correlation,USGS 11407500,10/50-09/86,0.97,arc,,Unimpaired gauge covering the validation window; after 1986 by correlation.
I_SLT009,Sacramento,Slate Creek above Slate Creek Diversion Dam,total flow,gauged_extended,total flow; flags: Impairment (fn 17) + Flow correlation,USGS 11413250 + USGS 11413300,10/60-09/15 (both),0.69,arc,UF9,Fn 17: flow = flow below the diversion dam + flow through Slate Creek Tunnel. Pre-1960 synthetic. UF9 member.
I_NBLDB,Sacramento,New Bullards Bar Reservoir local inflow,accretion,gauged_extended,accretion (reservoir local inflow); flags: Flow correlation,none listed,none listed,0.0,,UF9,No gauge; correlation with a neighbour only. UF9 member.
I_NFY029,Sacramento,North Fork Yuba River below Goodyears Bar,total flow,gauged_extended,total flow; flags: Flow correlation,USGS 11413000,"10/30-09/15 (incomplete, fn 16)",1.0,arc,UF9,Unimpaired gauge with gaps filled by correlation. UF9 member.
I_MFY013,Sacramento,Middle Fork Yuba River accretion: Milton Dam to Our House Diversion Dam,accretion,reservoir_mass_balance,accretion; flags: Impairment (fn 19) only,USGS 11408870,10/68-09/15,0.46,arc,UF9,Fn 19: flow above Our House = flow below the dam + Lohman Ridge Tunnel. Fn 24: accounts for Jackson Meadows regulation/evaporation and Milton-Bowman Tunnel exports. No extension method shown although the gauge starts 1968. UF9 member.
I_MERLC,Sacramento,Merle Collins Reservoir inflow,total flow,gauged_extended,total flow (headwater reservoir); flags: Impairment + Flow correlation,none listed,none listed,0.0,,,Reservoir record plus correlation; no gauge.
I_JKSMD,Sacramento,Jackson Meadows inflow,total flow,gauged_extended,total flow (headwater reservoir); flags: Impairment + Flow correlation,USGS 11407900,10/63-09/15,0.6,arc,UF9,Pre-1963 synthetic. UF9 member.
I_OGN005,Sacramento,Oregon Creek above Log Cabin Diversion Dam,total flow,gauged_extended,total flow; flags: Impairment (fn 18) + Flow correlation,"USGS 11409350 (09/68-09/15) + USGS 11409400 (10/68-09/15, incomplete fn 16)",09/68-09/15,0.46,arc,UF9,Fn 18: flow = below-dam gauge - Lohman Ridge Tunnel + Camptonville Tunnel. Pre-1968 synthetic. UF9 member.
I_BOWMN,Sacramento,Bowman Lake inflow,total flow,gauged_extended_split,total flow (headwater reservoir); flags: Impairment + Flow correlation + Proportionality,USGS 11416500,02/27-09/15,1.0,donor,UF9,Split of 11416500 with I_FRNCH. UF9 member.
I_SFY007,Sacramento,South Yuba River accretion: Spaulding Dam to Jones Bar,accretion,by_difference_accretion,accretion (residual); flags: Impairment + Flow correlation,USGS 11417500,"05/59-09/15 (incomplete, fn 16)",0.73,arc,UF9,"Fn 25: accounts for Bowman, Fordyce, Spaulding regulation/evaporation, Milton-Bowman Canal imports, South Yuba Canal and Drum-Spaulding Canal exports. UF9 member."
I_ENGLB,Sacramento,Englebright Reservoir local inflow,accretion,gauged_extended,accretion (reservoir local inflow); flags: Impairment (fn 13) + Flow correlation,none listed,none listed,0.0,,UF9,Fn 13: mass balance between upstream and downstream gauges accounting for storage regulation and diversions. UF9 member.
I_FRNCH,Sacramento,French Lake inflow,total flow,gauged_extended_split,total flow (headwater reservoir); flags: Impairment + Flow correlation + Proportionality,USGS 11416500,02/27-09/15,1.0,donor,UF9,Split of 11416500 with I_BOWMN. UF9 member.
I_LCBRF,Sacramento,"Texas, Fall and Rucker Creeks",other,gauged_extended,other (ungauged); flags: Flow correlation,none,none,0.0,,UF9,No gauge; correlation with a neighbour. UF9 member.
I_FRDYC,Sacramento,Fordyce Reservoir inflow,total flow,gauged_extended,total flow (headwater reservoir); flags: Impairment + Flow correlation,USGS 11414100,07/66-09/15,0.52,arc,UF9,Pre-1966 synthetic. UF9 member.
I_SPLDG,Sacramento,Spaulding Reservoir local inflow,accretion,gauged_extended,accretion (reservoir local inflow); flags: Impairment + Flow correlation,USGS 11416100,10/64-09/15,0.57,arc,UF9,Pre-1964 synthetic. UF9 member.
I_SFY048,Sacramento,South Yuba River near Cisco,total flow,gauged_extended,total flow; flags: Impairment + Flow correlation,USGS 11414000,10/42-09/14,1.0,arc,UF9,Covers the validation window. UF9 member.
I_SCOTF,Sacramento,Scott Flat Reservoir local inflow,accretion,gauged_extended_split,accretion (reservoir local inflow); flags: Impairment + Flow correlation + Proportionality,USGS 11418500 Deer Creek near Smartville,10/35-09/15,1.0,donor,UF9,One of four arcs split from the Deer Creek near Smartville record. UF9 member.
I_SFD003,Sacramento,South Fork Deer Creek below Deer Creek Powerhouse,accretion,gauged_extended_split,accretion; flags: Impairment + Flow correlation + Proportionality,USGS '1418500' (sic; 11418500),10/35-09/15,1.0,donor,UF9,Seven-digit gauge ID in the table is a typo. UF9 member.
I_DER004,Sacramento,Deer Creek accretion: Scott Flat Dam to Keystone,accretion,gauged_extended_split,accretion; flags: Impairment + Flow correlation + Proportionality,USGS '1418500' (sic; 11418500),10/35-09/15,1.0,donor,UF9,Split of the Deer Creek near Smartville record. In UF9's arc list but not in the registry entity cdec_YRS.
I_DER001,Sacramento,Deer Creek accretion: Keystone to Smartville gage,accretion,by_difference_accretion,accretion (residual); flags: Impairment + Flow correlation + Proportionality,USGS '1418500' (sic; 11418500),10/35-09/15,1.0,arc,UF9,"Fn 28: accounts for Scott Flat regulation/evaporation, NID diversions and PG&E South Yuba Canal imports. 'Smartville gage' here is the Deer Creek gauge, not Yuba at Smartville. In UF9's arc list but not in cdec_YRS."
I_RLLNS,Sacramento,Rollins Reservoir inflow,total flow,by_difference_accretion,total flow (reservoir inflow by mass balance); flags: Impairment (fn 13) + Flow correlation + Proportionality (fn 13),none listed,none listed,0.0,,UF10,Fn 13: mass balance between upstream and downstream gauges with storage regulation and diversions. UF10 (Bear) member.
I_WLF013,Sacramento,Wolf Creek at Tarr Ditch Diversion Dam,accretion,gauged_extended_split,accretion; flags: Impairment (fn 13) + Flow correlation + Proportionality (fn 13),none listed,none listed,0.0,,UF10,Fn 13 mass balance. UF10 member.
I_BRR023,Sacramento,Bear River accretion: Combie Dam to Garden Bar,accretion,gauged_extended_split,accretion; flags: Impairment (fn 13) + Flow correlation + Proportionality (fn 13),none listed,none listed,0.0,,UF10,Fn 20: the Combie Dam to Camp Far West accretion was subsequently disaggregated to give inflow at the proposed Garden Bar dam site. UF10 member.
I_DHC021,Sacramento,Dry Creek and Hutchinson Creek,other,proportioned_ungauged,"other (ungauged, proportioned); flags: Proportionality",none,none,0.0,,,"Listed as I_DHC001 in the source table; the CalSim3 catchment layer and calsim3_inflow_monthly.csv carry this watershed (same name, 96.7 mi2, about 53 TAF/yr) as DHC021, the ID used here."
I_CMBIE,Sacramento,Combie Reservoir local inflow,accretion,gauged_extended_split,accretion (reservoir local inflow); flags: Impairment (fn 13) + Flow correlation + Proportionality (fn 13),none listed,none listed,0.0,,UF10,Fn 13 mass balance. UF10 member.
I_CMPFW,Sacramento,Camp Far West Reservoir local inflow,accretion,gauged_extended_split,accretion (reservoir local inflow); flags: Impairment (fn 13) + Flow correlation + Proportionality (fn 13),none listed,none listed,0.0,,UF10,Fn 13 and fn 20 (disaggregation of the Combie-Camp Far West accretion). UF10 member.
I_NNA013,Sacramento,North Fork of North Fork American River,total flow,proportioned_ungauged,total flow; flags: Proportionality only,USGS 11427000 NF American at North Fork Dam,10/41-09/15,1.0,donor,UF11,One of six arcs proportioned from the single North Fork Dam record; all six share one hydrograph. UF11 member.
I_NFA054,Sacramento,North Fork American River above North Fork confluence,total flow,proportioned_ungauged,total flow; flags: Proportionality only,USGS 11427000,10/41-09/15,1.0,donor,UF11,Proportioned split of 11427000. UF11 member.
I_LKVLY,Sacramento,Lake Valley Reservoir inflow,total flow,proportioned_ungauged,total flow (headwater reservoir); flags: Proportionality only,USGS 11427000,10/41-09/15,1.0,donor,UF11,Proportioned split of 11427000. UF11 member.
I_CYN009,Sacramento,Canyon Creek at Towle Canal Diversion Dam,total flow,proportioned_ungauged,total flow; flags: Proportionality only,USGS 11427000,10/41-09/15,1.0,donor,UF11,Proportioned split of 11427000. UF11 member.
I_NFA022,Sacramento,North Fork American River accretion: North Fork confluence to North Fork Dam,accretion,proportioned_ungauged,accretion; flags: Proportionality only,USGS 11427000,10/41-09/15,1.0,donor,UF11,Proportioned split of 11427000. UF11 member.
I_NFA016,Sacramento,North Fork American River at Auburn Tunnel Pump Station Diversion,accretion,proportioned_ungauged,accretion; flags: Proportionality only,USGS 11427000,10/41-09/15,1.0,donor,UF11,Proportioned split of 11427000. UF11 member.
I_FRMDW,Sacramento,French Meadows Reservoir inflow,total flow,gauged_extended,total flow (headwater reservoir); flags: Impairment + Flow correlation,USGS 11427500,10/65-09/15,0.54,arc,UF11,Pre-1965 synthetic. UF11 member.
