date,basin,obs_mm,cal_start,cal_end
1922-01-31,AMF,28.473938997537036,1951-10,2013-09
1922-02-28,AMF,90.98017243134947,1951-10,2013-09
1922-03-31,AMF,82.01100797338529,1951-10,2013-09
1922-04-30,AMF,121.32374007646216,1951-10,2013-09
1922-05-31,AMF,259.474137981105,1951-10,2013-09
1922-06-30,AMF,171.12155175715915,1951-10,2013-09
1922-07-31,AMF,23.648275866632357,1951-10,2013-09
1922-08-31,AMF,3.436074271220086,1951-10,2013-09
1922-09-30,AMF,1.4906498676616549,1951-10,2013-09
1922-10-31,AMF,4.876193634893211,1951-10,2013-09
1922-11-30,AMF,14.09801061280006,1951-10,2013-09
1922-12-31,AMF,100.55570293717605,1951-10,2013-09
1923-01-31,AMF,69.47944298422969,1951-10,2013-09
1923-02-28,AMF,46.18488064551703,1951-10,2013-09
1923-03-31,AMF,56.720490727125686,1951-10,2013-09
1923-04-30,AMF,142.54655175164504,1951-10,2013-09
1923-05-31,AMF,155.60868703268022,1951-10,2013-09
1923-06-30,AMF,71.60172415174796,1951-10,2013-09
1923-07-31,AMF,24.43149867845458,1951-10,2013-09
1923-08-31,AMF,4.421419098996434,1951-10,2013-09
1923-09-30,AMF,4.421419098996434,1951-10,2013-09
1923-10-31,AMF,5.861538462669558,1951-10,2013-09
1923-11-30,AMF,5.330968170789987,1951-10,2013-09
1923-12-31,AMF,6.771087534463111,1951-10,2013-09
1924-01-31,AMF,10.586140585597176,1951-10,2013-09
1924-02-29,AMF,28.322347485571445,1951-10,2013-09
1924-03-31,AMF,14.62858090467963,1951-10,2013-09
1924-04-30,AMF,31.076259952946366,1951-10,2013-09
1924-05-31,AMF,26.402188334007278,1951-10,2013-09
1924-06-30,AMF,6.644761274491784,1951-10,2013-09
1924-07-31,AMF,0.8842838197992868,1951-10,2013-09
1924-08-31,AMF,0.2021220159541227,1951-10,2013-09
1924-09-30,AMF,0.5811007958681028,1951-10,2013-09
1924-10-31,AMF,3.36027851523729,1951-10,2013-09
