date,basin,obs_mm,cal_start,cal_end
1921-10-31,BearRiver,0.0,1951-10,2010-09
1921-11-30,BearRiver,5.062168969637655,1951-10,2010-09
1921-12-31,BearRiver,52.309079352922446,1951-10,2010-09
1922-01-31,BearRiver,38.80996210055536,1951-10,2010-09
1922-02-28,BearRiver,280.10668298661693,1951-10,2010-09
1922-03-31,BearRiver,188.98764153313914,1951-10,2010-09
1922-04-30,BearRiver,104.61815870584489,1951-10,2010-09
1922-05-31,BearRiver,72.55775523147307,1951-10,2010-09
1922-06-30,BearRiver,25.310844848188278,1951-10,2010-09
1922-07-31,BearRiver,5.062168969637655,1951-10,2010-09
1922-08-31,BearRiver,3.3747793130917705,1951-10,2010-09
1922-09-30,BearRiver,1.6873896565458852,1951-10,2010-09
1922-10-31,BearRiver,11.811727595821196,1951-10,2010-09
1922-11-30,BearRiver,23.623455191642392,1951-10,2010-09
1922-12-31,BearRiver,185.6128622200474,1951-10,2010-09
1923-01-31,BearRiver,106.30554836239077,1951-10,2010-09
1923-02-28,BearRiver,59.05863797910598,1951-10,2010-09
1923-03-31,BearRiver,55.68385866601421,1951-10,2010-09
1923-04-30,BearRiver,133.30378286712494,1951-10,2010-09
1923-05-31,BearRiver,42.18474141364713,1951-10,2010-09
1923-06-30,BearRiver,26.998234504734164,1951-10,2010-09
1923-07-31,BearRiver,10.12433793927531,1951-10,2010-09
1923-08-31,BearRiver,8.436948282729427,1951-10,2010-09
1923-09-30,BearRiver,6.749558626183541,1951-10,2010-09
1923-10-31,BearRiver,10.12433793927531,1951-10,2010-09
1923-11-30,BearRiver,5.062168969637655,1951-10,2010-09
1923-12-31,BearRiver,10.12433793927531,1951-10,2010-09
1924-01-31,BearRiver,15.186506908912968,1951-10,2010-09
1924-02-29,BearRiver,23.623455191642392,1951-10,2010-09
1924-03-31,BearRiver,15.186506908912968,1951-10,2010-09
1924-04-30,BearRiver,10.12433793927531,1951-10,2010-09
1924-05-31,BearRiver,10.12433793927531,1951-10,2010-09
1924-06-30,BearRiver,6.749558626183541,1951-10,2010-09
1924-07-31,BearRiver,5.062168969637655,1951-10,2010-09
