basin,lat,lon,area_weight,elev,flowlen,soil_class,veg_class,basin_id,basin_id2,key
DPR_I,38.21875,-120.03125,0.00641617,1731,107277,1,1,1,1,38.218750_-120.031250
DPR_I,38.21875,-119.96875,0.08962643,2046,108095,1,1,1,1,38.218750_-119.968750
DPR_I,38.21875,-119.90625,0.14052481,2502,116305,1,1,1,1,38.218750_-119.906250
DPR_I,38.21875,-119.84375,0.22899067,2680,137171,1,1,1,1,38.218750_-119.843750
DPR_I,38.21875,-119.78125,0.3937268,2713,148001,1,1,1,1,38.218750_-119.781250
DPR_I,38.21875,-119.71875,0.31680182,2890,154734,1,1,1,1,38.218750_-119.718750
DPR_I,38.21875,-119.65625,0.44691835,2949,162817,1,1,1,1,38.218750_-119.656250
DPR_I,38.15625,-120.09375,0.21686634,1595,92212,1,1,1,1,38.156250_-120.093750
DPR_I,38.15625,-120.03125,0.75387624,1774,97728,1,1,1,1,38.156250_-120.031250
DPR_I,38.15625,-119.96875,0.95385503,2003,106609,1,1,1,1,38.156250_-119.968750
DPR_I,38.15625,-119.90625,0.95483328,2252,116343,1,1,1,1,38.156250_-119.906250
DPR_I,38.15625,-119.84375,0.95483328,2421,136669,1,1,1,1,38.156250_-119.843750
DPR_I,38.15625,-119.78125,0.95483328,2554,140935,1,1,1,1,38.156250_-119.781250
DPR_I,38.15625,-119.71875,0.95483328,2627,143435,1,1,1,1,38.156250_-119.718750
DPR_I,38.15625,-119.65625,0.95483328,2818,144947,1,1,1,1,38.156250_-119.656250
DPR_I,38.15625,-119.59375,0.80327552,2950,155352,1,1,1,1,38.156250_-119.593750
DPR_I,38.09375,-120.28125,0.00778145,1357,73562,1,1,1,1,38.093750_-120.281250
DPR_I,38.09375,-120.21875,0.01213126,1412,74751,1,1,1,1,38.093750_-120.218750
DPR_I,38.09375,-120.15625,0.35104579,1444,79368,1,1,1,1,38.093750_-120.156250
DPR_I,38.09375,-120.09375,0.93917089,1618,85734,1,1,1,1,38.093750_-120.093750
DPR_I,38.09375,-120.03125,0.95565105,1764,95129,1,1,1,1,38.093750_-120.031250
DPR_I,38.09375,-119.96875,0.95565106,1975,111862,1,1,1,1,38.093750_-119.968750
DPR_I,38.09375,-119.90625,0.95565106,2082,117928,1,1,1,1,38.093750_-119.906250
DPR_I,38.09375,-119.84375,0.95565106,2186,125186,1,1,1,1,38.093750_-119.843750
DPR_I,38.09375,-119.78125,0.95565106,2340,129737,1,1,1,1,38.093750_-119.781250
DPR_I,38.09375,-119.71875,0.95565106,2515,133007,1,1,1,1,38.093750_-119.718750
DPR_I,38.09375,-119.65625,0.95565106,2729,141794,1,1,1,1,38.093750_-119.656250
DPR_I,38.09375,-119.59375,0.95565106,2780,151015,1,1,1,1,38.093750_-119.593750
DPR_I,38.09375,-119.53125,0.95565106,2945,156147,1,1,1,1,38.093750_-119.531250
DPR_I,38.09375,-119.46875,0.79970171,3015,164092,1,1,1,1,38.093750_-119.468750
DPR_I,38.09375,-119.40625,0.64576279,3152,174124,1,1,1,1,38.093750_-119.406250
DPR_I,38.03125,-120.40625,0.23637024,694,55564,1,1,1,1,38.031250_-120.406250
DPR_I,38.03125,-120.34375,0.77329592,872,58727,1,1,1,1,38.031250_-120.343750
DPR_I,38.03125,-120.28125,0.83920985,986,60904,1,1,1,1,38.031250_-120.281250
DPR_I,38.03125,-120.21875,0.89715207,1182,63907,1,1,1,1,38.031250_-120.218750
DPR_I,38.03125,-120.15625,0.95646769,1278,68420,1,1,1,1,38.031250_-120.156250
DPR_I,38.03125,-120.09375,0.95646769,1573,76783,1,1,1,1,38.031250_-120.093750
DPR_I,38.03125,-120.03125,0.95646769,1566,100892,1,1,1,1,38.031250_-120.031250
DPR_I,38.03125,-119.96875,0.95646769,1829,104394,1,1,1,1,38.031250_-119.968750
DPR_I,38.03125,-119.90625,0.95646769,1776,113675,1,1,1,1,38.031250_-119.906250
DPR_I,38.03125,-119.84375,0.95646769,2027,116746,1,1,1,1,38.031250_-119.843750
DPR_I,38.03125,-119.78125,0.95646769,2046,122633,1,1,1,1,38.031250_-119.781250
DPR_I,38.03125,-119.71875,0.95646769,2285,129638,1,1,1,1,38.031250_-119.718750
DPR_I,38.03125,-119.65625,0.95646769,2454,135981,1,1,1,1,38.031250_-119.656250
DPR_I,38.03125,-119.59375,0.95646769,2586,144338,1,1,1,1,38.031250_-119.593750
