key,lai_doy001,lai_doy009,lai_doy017,lai_doy025,lai_doy033,lai_doy041,lai_doy049,lai_doy057,lai_doy065,lai_doy073,lai_doy081,lai_doy089,lai_doy097,lai_doy105,lai_doy113,lai_doy121,lai_doy129,lai_doy137,lai_doy145,lai_doy153,lai_doy161,lai_doy169,lai_doy177,lai_doy185,lai_doy193,lai_doy201,lai_doy209,lai_doy217,lai_doy225,lai_doy233,lai_doy241,lai_doy249,lai_doy257,lai_doy265,lai_doy273,lai_doy281,lai_doy289,lai_doy297,lai_doy305,lai_doy313,lai_doy321,lai_doy329,lai_doy337,lai_doy345,lai_doy353,lai_doy361
39.343750_-120.781250,2.075,1.9550000000000005,1.875,1.8099999999999998,2.2499999999999996,2.145,2.7,2.115,2.6650000000000005,2.355,2.2700000000000005,2.8299999999999996,3.0684210526315794,3.1350000000000002,3.085,3.1249999999999996,2.96,2.9399999999999995,3.45,3.56,3.6900000000000013,3.6049999999999995,4.265000000000001,4.1049999999999995,3.875,3.8850000000000002,3.7049999999999996,3.8800000000000003,3.675,3.7700000000000005,3.8800000000000012,3.525000000000001,3.175,3.47,3.425,3.0849999999999995,2.973684210526316,2.5750000000000006,2.225,2.155,2.1049999999999995,1.845,1.81,1.8850000000000002,1.65,1.7904761904761906
39.343750_-120.718750,3.1049999999999995,3.37,3.400000000000001,2.6500000000000004,3.245,2.8,2.9,2.76,3.095,3.025,2.9899999999999998,2.98,3.231578947368421,3.22,3.19,2.875000000000001,3.1300000000000003,3.5199999999999996,3.9750000000000005,4.245000000000001,4.090000000000001,4.4399999999999995,4.765,4.720000000000001,4.825,4.42,4.380000000000001,4.444999999999999,4.62,4.9,5.1099999999999985,4.915000000000001,4.515,4.945,4.755000000000001,4.85,4.694736842105263,4.49,3.575,3.429999999999999,3.56,3.3449999999999998,3.374999999999999,3.5050000000000003,3.1550000000000002,3.1619047619047613
39.343750_-120.656250,0.8999999999999998,0.8200000000000001,0.7450000000000001,0.71,0.6799999999999999,0.74,0.7473684210526317,0.55,0.7099999999999999,0.6399999999999999,0.6799999999999999,0.765,0.8894736842105266,1.08,1.225,1.35,1.6400000000000001,1.75,2.1399999999999997,2.49,2.5100000000000002,2.77,2.8550000000000004,3.015,2.985,2.8949999999999996,2.805,2.805,2.8200000000000007,2.8099999999999996,2.9050000000000002,2.575,2.6,2.6900000000000004,2.685,2.5650000000000004,2.28421052631579,1.9800000000000004,1.5999999999999999,1.8200000000000007,1.65,1.58,1.3350000000000002,1.0699999999999998,0.9049999999999999,0.7333333333333334
39.281250_-120.968750,2.565,2.6599999999999997,2.66,2.1500000000000004,2.375,2.695000000000001,2.168421052631578,2.1750000000000003,2.5100000000000007,2.2500000000000004,2.255,2.585,2.6578947368421053,2.4450000000000007,2.7950000000000004,2.8500000000000005,2.8600000000000003,2.845,3.3650000000000007,3.465,3.585,3.495,3.5800000000000005,3.685,3.66,3.2699999999999996,3.1499999999999995,3.165,3.3050000000000006,3.3200000000000003,3.5650000000000004,2.910000000000001,2.92,3.185,3.075,3.625,3.1842105263157894,3.825,2.79,2.9549999999999996,2.68,3.0100000000000007,2.56,2.915,2.435,2.0904761904761906
39.281250_-120.906250,1.585,1.4949999999999997,1.52,1.3949999999999998,1.3849999999999998,1.3699999999999999,1.7315789473684213,1.36,1.7399999999999998,1.92,1.8000000000000003,2.0,2.236842105263158,2.025,2.3500000000000005,2.415,2.33,2.465,2.6850000000000005,3.045,3.1949999999999994,3.0199999999999996,3.055,3.06,3.0200000000000005,3.0000000000000004,2.7849999999999993,2.7849999999999997,2.76,2.5099999999999993,2.92,2.55,2.23,2.5250000000000004,2.355000000000001,2.3850000000000002,2.2473684210526317,2.165,1.985,2.1000000000000005,1.64,1.6800000000000002,1.6800000000000002,1.405,1.315,1.4428571428571428
39.281250_-120.843750,1.9300000000000002,2.3,1.9900000000000002,1.98,2.095,2.415,1.7315789473684209,1.9400000000000002,1.6800000000000002,2.3850000000000002,2.0349999999999997,2.095,2.3157894736842106,2.1599999999999997,2.485,2.055,2.2150000000000007,2.23,2.31,2.5900000000000003,2.895,2.515,2.55,3.0200000000000005,2.8049999999999997,2.435,2.5300000000000002,2.5149999999999997,2.6,2.7600000000000007,3.6350000000000007,2.9950000000000006,2.955,2.9500000000000006,3.280000000000001,3.499999999999999,2.8842105263157896,3.15,3.0200000000000005,3.035,2.9150000000000005,2.605,3.170000000000001,2.2350000000000003,2.9600000000000004,2.0666666666666664
39.281250_-120.781250,1.94,2.145,1.8800000000000003,1.81,2.175,1.8150000000000002,2.2263157894736842,1.3900000000000001,1.6950000000000003,1.7400000000000002,1.8400000000000003,1.9849999999999999,1.9789473684210523,2.2,1.9250000000000003,1.9250000000000003,1.9900000000000002,2.1700000000000004,2.45,2.5,2.47,2.605,2.8500000000000005,2.8,2.615,2.6349999999999993,2.57,2.61,2.475,2.83,2.68,2.7850000000000006,2.2800000000000002,2.5449999999999995,2.375,2.5799999999999996,2.8526315789473684,2.6950000000000003,2.49,2.32,2.14,2.7499999999999996,2.115,2.17,2.0000000000000004,1.7999999999999998
39.281250_-120.718750,1.21,1.21,1.24,0.9950000000000001,0.9899999999999999,1.11,1.1368421052631577,0.795,0.925,1.0300000000000002,1.0750000000000002,1.1800000000000002,1.2947368421052632,1.3900000000000001,1.595,1.655,1.8049999999999997,2.3350000000000004,2.2800000000000002,2.6550000000000002,2.62,2.7399999999999998,2.8649999999999998,2.8649999999999998,3.12,2.855,2.615,2.5500000000000007,2.5900000000000007,2.855,2.8200000000000003,2.4099999999999997,2.7399999999999993,2.87,2.8099999999999996,2.5749999999999997,2.115789473684211,2.0949999999999998,1.775,1.8900000000000001,1.65,1.5700000000000003,1.465,1.1650000000000003,1.2650000000000001,1.0761904761904764
39.281250_-120.656250,1.3699999999999999,1.0499999999999998,0.9149999999999998,0.825,0.82,0.8950000000000001,0.8578947368421053,0.66,0.7300000000000001,0.7300000000000001,0.8949999999999999,0.8750000000000002,1.0105263157894737,1.52,1.35,1.4300000000000002,1.55,1.775,2.21,2.29,2.525,2.835,2.96,2.8599999999999994,2.9349999999999996,2.7199999999999998,2.665,2.6099999999999994,2.64,2.5699999999999994,2.5100000000000002,2.365,2.2800000000000002,2.435000000000001,2.250000000000001,2.4050000000000002,2.115789473684211,1.9749999999999996,1.54,1.6600000000000006,1.7399999999999998,1.56,1.355,1.3649999999999998,1.03,0.8857142857142858
39.218750_-121.093750,0.875,0.9100000000000001,1.0050000000000001,0.9199999999999999,0.8350000000000002,0.8800000000000001,1.0210526315789474,0.97,1.235,1.225,1.4700000000000002,1.7950000000000004,2.0105263157894737,2.1550000000000002,2.5300000000000002,2.7249999999999996,2.6999999999999997,2.7449999999999997,2.72,2.66,2.8850000000000002,2.6950000000000003,2.7350000000000003,2.5600000000000005,2.5100000000000002,2.4250000000000003,2.3800000000000003,2.38,2.3150000000000004,2.3350000000000004,2.205,1.9950000000000003,2.0450000000000004,1.92,1.9000000000000004,1.8050000000000002,1.4947368421052634,1.3199999999999998,1.2599999999999998,1.2049999999999998,1.0550000000000002,1.055,0.9700000000000001,0.915,0.9400000000000001,0.8571428571428574
