basin,key,overlap_area_mi2
ChowchillaRiver,37.218750_-119.843750,3.049964267389944
ChowchillaRiver,37.218750_-119.906250,3.0766061725976765
ChowchillaRiver,37.218750_-119.968750,6.393698104127208
ChowchillaRiver,37.281250_-119.781250,1.8214306590523959
ChowchillaRiver,37.281250_-119.843750,14.023172382093907
ChowchillaRiver,37.281250_-119.906250,14.844225540746582
ChowchillaRiver,37.281250_-119.968750,12.301815615016233
ChowchillaRiver,37.281250_-120.031250,0.004954329278596619
ChowchillaRiver,37.343750_-119.781250,8.809142592391035
ChowchillaRiver,37.343750_-119.843750,14.832099056889412
ChowchillaRiver,37.343750_-119.906250,14.832099056890051
ChowchillaRiver,37.343750_-119.968750,14.744099603323336
ChowchillaRiver,37.343750_-120.031250,1.0525075619349864
ChowchillaRiver,37.406250_-119.718750,3.234524158032317
ChowchillaRiver,37.406250_-119.781250,12.54122978930408
ChowchillaRiver,37.406250_-119.843750,14.819954705048628
ChowchillaRiver,37.406250_-119.906250,13.469123207324762
ChowchillaRiver,37.406250_-119.968750,2.3868144432479212
ChowchillaRiver,37.406250_-120.031250,0.012877900487455548
ChowchillaRiver,37.468750_-119.656250,0.07403092493629104
ChowchillaRiver,37.468750_-119.718750,14.105992528949788
ChowchillaRiver,37.468750_-119.781250,14.807792497866004
ChowchillaRiver,37.468750_-119.843750,14.807792497872487
ChowchillaRiver,37.468750_-119.906250,11.118462360212332
ChowchillaRiver,37.531250_-119.718750,2.910964042849481
ChowchillaRiver,37.531250_-119.781250,4.188044609191086
ChowchillaRiver,37.531250_-119.843750,11.273132389099871
ChowchillaRiver,37.531250_-119.906250,5.065893807370173
ChowchillaRiver,37.593750_-119.843750,0.007361731508982657
ChowchillaRiver,37.593750_-119.906250,0.1873567058673075
