key,sand_0_5,sand_5_15,sand_15_30,sand_30_60,sand_60_100,sand_100_200,clay_0_5,clay_5_15,clay_15_30,clay_30_60,clay_60_100,clay_100_200,ksat_0_5,ksat_5_15,ksat_15_30,ksat_30_60,ksat_60_100,ksat_100_200,theta_s_0_5,theta_s_5_15,theta_s_15_30,theta_s_30_60,theta_s_60_100,theta_s_100_200,polaris_gapfill,EVC,EVH,EVC_cover_pct,EVH_height_m,dem_elev,slope_deg,aspect_sin,aspect_cos,curvature,relief_m,lai_mean,lai_min,lai_max,lai_amp,lai_peak_doy,lai_gapfill
39.343750_-120.656250,68.546875,69.9755859375,69.96575927734375,71.10137176513672,73.6246337890625,78.2724609375,8.101760864257812,7.2759294509887695,6.7783203125,7.658869743347168,6.85322904586792,5.83984375,0.8949416279792786,0.8692160844802856,0.7976343631744385,0.7583538889884949,0.38527798652648926,0.33510249853134155,0.4842349886894226,0.47122734785079956,0.45026034116744995,0.4492812156677246,0.40507078170776367,0.4129548966884613,0,157.0,134.0,57.0,34.0,1736.3677978515625,16.846167406276095,-0.18354501798364067,0.9830113053131103,-0.00043833457683412834,49.82078441571836,1.7499866514111362,0.55,3.015,2.465,185,0
39.343750_-120.593750,49.650535583496094,52.96296310424805,51.422027587890625,66.5,66.5,66.5,8.5185546875,7.902926445007324,8.87145709991455,12.646484375,12.638671875,12.6201171875,1.015005350112915,1.0009467601776123,0.9463756680488586,0.6379792094230652,-0.5632913112640381,0.4608498215675354,0.6675601005554199,0.6705472469329834,0.6351881623268127,0.5549012422561646,0.3237912952899933,0.4801785349845886,0,143.0,112.0,43.0,12.0,1568.2113037109375,3.8581049313472664,-0.98612912612887,0.16597995842965863,-7.30286825486911e-06,5.993254394210327,1.5082513348588864,0.5499999999999999,2.4050000000000002,1.8550000000000004,265,0
39.343750_-120.406250,63.2783203125,68.91251373291016,69.20146179199219,68.72286987304688,73.0859375,77.82389831542969,9.394737243652344,7.8408203125,7.460975646972656,7.604696750640869,6.658868789672852,5.045365333557129,1.4151824712753296,1.3183205127716064,1.07304048538208,1.0624070167541504,1.0847899913787842,0.8024354577064514,0.510517418384552,0.5047438144683838,0.47702839970588684,0.44984522461891174,0.4327019453048706,0.418326735496521,0,140.0,111.0,40.0,11.0,2082.530517578125,10.334479852587604,0.7246125732314859,0.6891564544534459,-0.00028111898663013964,28.60722538904994,0.6492380407540591,0.18500000000000005,1.3099999999999998,1.1249999999999998,185,0
39.281250_-120.781250,43.025909423828125,42.3681640625,38.82781982421875,32.42195129394531,28.419921875,30.746334075927734,15.926197052001953,17.305282592773438,21.31072998046875,27.994632720947266,31.643413543701172,30.09024429321289,0.4787982702255249,0.39310356974601746,0.2917182743549347,0.1798342764377594,0.08431712538003922,-0.023672953248023987,0.6131947040557861,0.561023473739624,0.5121766924858093,0.49909156560897827,0.4934670925140381,0.4985407590866089,0,157.0,131.0,57.0,31.0,1233.4541015625,17.481144155986257,0.9036116074267346,0.428352731897058,0.0008960298871052102,47.667413562601176,2.278649885583524,1.3900000000000001,2.8526315789473684,1.4626315789473683,289,0
39.281250_-120.718750,39.5136833190918,40.092193603515625,40.102149963378906,36.064876556396484,33.09490966796875,34.90117263793945,22.305282592773438,22.518535614013672,23.423828125,28.375612258911133,31.926889419555664,29.625492095947266,0.5954785346984863,0.48388582468032837,0.26403123140335083,0.26347672939300537,0.054293327033519745,0.035634636878967285,0.6446491479873657,0.5972898602485657,0.528900682926178,0.5271761417388916,0.5060886740684509,0.5086231827735901,0,148.0,123.0,48.0,23.0,1445.8203125,14.208693214638219,-0.6087328879051646,-0.7933752398346186,0.0003458979948207805,40.7657919714537,1.9102947586357202,0.795,3.12,2.325,193,0
39.281250_-120.656250,35.096282958984375,36.77972412109375,41.57233810424805,49.07771301269531,41.07575988769531,39.58284378051758,11.7783203125,12.03567886352539,12.26171875,10.64453125,11.093963623046875,12.028264999389648,0.7809615135192871,0.8007287979125977,0.8164339661598206,0.8206051588058472,0.6964943408966064,-0.14367802441120148,0.6802034378051758,0.6746948957443237,0.6594935655593872,0.6356205940246582,0.6487098932266235,0.6214795708656311,0,153.0,133.0,53.0,33.0,1546.488037109375,9.212684519751567,0.9680260057358457,0.25084985991446046,5.258132265211419e-05,25.537879390667573,1.7510853220006537,0.66,2.96,2.3,177,0
39.281250_-120.593750,49.5,50.5,52.5,51.5,46.5,69.5,6.5,6.5,6.5,5.5,4.5,7.901759624481201,1.2205992937088013,1.0550367832183838,0.3926354646682739,0.7648718953132629,0.6364228129386902,-0.6508363485336304,0.6641509532928467,0.6641509532928467,0.6641509532928467,0.6188679933547974,0.5509433746337891,0.6353672742843628,0,142.0,121.0,42.0,21.0,2027.945556640625,7.529121478738013,-0.7504123699095081,0.6609699502146793,7.097582525198439e-05,20.530131730857597,0.9463463005339435,0.27000000000000013,1.8349999999999997,1.5649999999999995,217,0
39.281250_-120.531250,54.38172149658203,63.02796936035156,63.203521728515625,64.02544403076172,68.37890625,73.7428970336914,10.474634170532227,7.925365924835205,7.73489236831665,7.7158203125,6.66780424118042,5.078125,0.8224263191223145,0.8140196204185486,0.8115200996398926,0.8743493556976318,0.6282259225845337,0.5287819504737854,0.5643302202224731,0.5615639686584473,0.5184964537620544,0.4660451114177704,0.4431911110877991,0.434964656829834,0,142.0,111.0,42.0,11.0,2012.6378173828125,15.286357816995661,0.3032497956283399,-0.9529110983986754,-5.539894238463772e-05,29.12961570644579,1.1418881442737276,0.22000000000000006,2.7500000000000004,2.5300000000000002,193,0
39.281250_-120.468750,69.2412109375,70.2978515625,70.70234680175781,70.16633605957031,71.2278060913086,73.0258560180664,9.659490585327148,9.283625602722168,9.008293151855469,9.177072525024414,8.446341514587402,6.686706066131592,1.133965253829956,1.0961534976959229,1.0138416290283203,1.0135327577590942,1.133697748184204,0.8321915864944458,0.45373380184173584,0.4467511773109436,0.4382159113883972,0.42882516980171204,0.4162600040435791,0.4072228968143463,0,129.0,111.0,29.0,11.0,1983.1336669921875,14.08710549320064,0.36125618254554714,-0.9324666056072026,0.000180704944677373,39.68984228870337,0.3960839598997495,0.08000000000000002,0.8200000000000003,0.7400000000000002,193,0
39.281250_-120.406250,72.8753662109375,73.8011703491211,74.0859375,73.5654296875,76.3497543334961,80.60818481445312,7.76953125,7.2390031814575195,6.739491939544678,6.9658203125,6.059453964233398,4.6494140625,1.2961416244506836,1.2218414545059204,1.0144562721252441,0.9687125086784363,1.0454641580581665,0.5745256543159485,0.46504732966423035,0.45793044567108154,0.448508083820343,0.4423275589942932,0.4256235957145691,0.4068329930305481,0,143.0,121.0,43.0,21.0,2010.3096923828125,12.831196063718307,0.92986442009135,0.36790237869328524,-0.0002037272640975607,20.895049974431554,1.0533191674839275,0.28500000000000003,1.975,1.69,185,0
