basin,lat,lon,area_weight,elev,flowlen,soil_class,veg_class,basin_id,basin_id2,key
SHA,41.507976,-121.883251,0.01030135,1861,156076,1,3,1,1,41.507976_-121.883251
SHA,41.511944,-121.871667,0.00265329,1841,156191,1,3,1,1,41.511944_-121.871667
SHA,41.507538,-121.778324,0.04072752,1723,264570,6,3,1,1,41.507538_-121.778324
SHA,41.504866,-121.727312,0.01935366,1710,263490,6,3,1,1,41.504866_-121.727312
SHA,41.535,-121.500833,0.00156016,1800,259841,0,3,1,1,41.535000_-121.500833
SHA,41.524099,-121.48665,0.03682578,1882,256515,6,3,1,1,41.524099_-121.486650
SHA,41.454772,-122.149886,0.08712313,2206,158585,6,3,1,1,41.454772_-122.149886
SHA,41.449012,-122.089669,0.07400024,1908,152497,6,3,1,1,41.449012_-122.089669
SHA,41.450469,-122.028043,0.07106925,2012,146041,1,3,1,1,41.450469_-122.028043
SHA,41.45433,-121.966506,0.10691634,1936,141033,1,3,1,1,41.454330_-121.966506
SHA,41.46321,-121.902783,0.16747288,1702,141896,1,3,1,1,41.463210_-121.902783
SHA,41.460317,-121.844338,0.15184635,1551,147243,6,3,1,1,41.460317_-121.844338
SHA,41.46863,-121.781121,0.21868732,1577,152535,6,3,1,1,41.468630_-121.781121
SHA,41.47951,-121.738023,0.03981794,1592,255296,6,3,1,1,41.479510_-121.738023
SHA,41.4925,-121.4725,0.00698618,1780,254725,6,3,1,1,41.492500_-121.472500
SHA,41.387691,-122.270226,0.05390673,2013,113668,6,3,1,1,41.387691_-122.270226
SHA,41.375833,-122.2425,0.00140759,2322,115988,0,3,1,1,41.375833_-122.242500
SHA,41.409592,-122.137867,0.07270157,2303,123498,6,3,1,1,41.409592_-122.137867
SHA,41.410919,-122.098874,0.1708138,1906,123313,6,3,1,1,41.410919_-122.098874
SHA,41.415245,-122.027171,0.12876758,1610,125220,6,3,1,1,41.415245_-122.027171
SHA,41.41522,-121.968782,0.15338547,1529,134089,6,3,1,1,41.415220_-121.968782
SHA,41.411011,-121.902095,0.17153146,1486,135987,6,3,1,1,41.411011_-121.902095
SHA,41.40625,-121.84375,0.21983375,1593,141289,6,3,1,1,41.406250_-121.843750
SHA,41.413693,-121.790306,0.12195865,1499,152765,6,3,1,1,41.413693_-121.790306
SHA,41.432083,-121.746667,0.00406284,1450,254842,6,3,1,1,41.432083_-121.746667
SHA,41.347338,-122.264132,0.09350117,1753,102237,6,3,1,1,41.347338_-122.264132
SHA,41.338065,-122.220933,0.17599551,1943,102722,6,3,1,1,41.338065_-122.220933
SHA,41.341877,-122.155233,0.19743454,1914,100383,6,3,1,1,41.341877_-122.155233
SHA,41.355678,-122.114704,0.04708721,1782,103068,6,3,1,1,41.355678_-122.114704
SHA,41.350038,-121.897613,0.13441164,1515,126102,1,3,1,1,41.350038_-121.897613
SHA,41.348936,-121.843048,0.18186201,1642,128541,1,3,1,1,41.348936_-121.843048
SHA,41.33956,-121.789573,0.15212195,1474,138077,6,3,1,1,41.339560_-121.789573
SHA,41.318308,-121.728506,0.02684083,1432,238765,6,3,1,1,41.318308_-121.728506
SHA,41.307755,-122.256478,0.00728045,1431,99565,6,3,1,1,41.307755_-122.256478
SHA,41.295876,-122.216349,0.11021081,1537,96149,6,3,1,1,41.295876_-122.216349
SHA,41.303441,-122.164638,0.05006879,1458,98600,6,3,1,1,41.303441_-122.164638
SHA,41.31125,-121.815417,0.00082191,1428,137313,0,3,1,1,41.311250_-121.815417
SHA,41.288404,-121.769286,0.10436252,1423,138687,6,3,1,1,41.288404_-121.769286
SHA,41.289655,-121.725882,0.13444189,1467,229571,6,3,1,1,41.289655_-121.725882
SHA,41.568005,-121.709327,0.02646241,2000,274783,6,7,1,1,41.568005_-121.709327
SHA,41.569583,-121.682083,0.00553576,2037,259773,6,7,1,1,41.569583_-121.682083
SHA,41.505833,-121.875833,0.00078043,1852,156377,0,7,1,1,41.505833_-121.875833
SHA,41.51358,-121.838157,0.08075899,1779,156322,6,7,1,1,41.513580_-121.838157
SHA,41.529392,-121.781162,0.12350068,1873,265487,6,7,1,1,41.529392_-121.781162
SHA,41.537716,-121.722955,0.15078626,1840,257658,6,7,1,1,41.537716_-121.722955
SHA,41.553481,-121.683175,0.00892868,1924,257226,6,7,1,1,41.553481_-121.683175
SHA,41.54869,-121.504405,0.00545955,1888,262040,6,7,1,1,41.548690_-121.504405
SHA,41.551667,-121.496667,0.00444509,1972,262155,0,7,1,1,41.551667_-121.496667
SHA,41.487642,-121.842433,0.06776898,1680,151902,6,7,1,1,41.487642_-121.842433
SHA,41.496667,-121.81125,0.00093665,1725,266822,0,7,1,1,41.496667_-121.811250
SHA,41.654858,-120.332083,0.07319297,1807,390049,6,6,1,1,41.654858_-120.332083
SHA,41.645227,-120.308788,0.00856487,2012,392094,6,6,1,1,41.645227_-120.308788
SHA,41.607024,-120.379405,0.00545461,1519,380737,7,6,1,1,41.607024_-120.379405
SHA,41.601839,-120.340801,0.08455127,1754,381887,6,6,1,1,41.601839_-120.340801
SHA,41.586293,-120.307514,0.01130155,2098,392381,6,6,1,1,41.586293_-120.307514
SHA,41.460595,-120.349881,0.02733525,1647,380392,6,6,1,1,41.460595_-120.349881
SHA,41.409071,-120.321901,0.02712143,1877,380388,6,6,1,1,41.409071_-120.321901
SHA,41.399426,-120.293883,0.08935033,2031,384229,6,6,1,1,41.399426_-120.293883
SHA,41.319583,-120.875833,0.00133054,1623,283350,0,6,1,1,41.319583_-120.875833
SHA,41.326427,-120.854285,0.05931787,1883,283481,6,6,1,1,41.326427_-120.854285
SHA,41.335077,-120.320142,0.03267608,1894,384795,6,6,1,1,41.335077_-120.320142
SHA,41.339974,-120.293534,0.11418363,2033,385747,6,6,1,1,41.339974_-120.293534
SHA,41.321334,-120.240084,0.01862661,2253,428836,7,6,1,1,41.321334_-120.240084
SHA,41.307083,-120.875833,0.00101767,1627,282139,0,6,1,1,41.307083_-120.875833
SHA,41.282228,-120.842199,0.10838569,1790,278675,6,6,1,1,41.282228_-120.842199
SHA,41.261984,-120.804371,0.02177654,1992,284321,6,6,1,1,41.261984_-120.804371
SHA,41.297102,-120.324838,0.04662731,1835,395378,6,6,1,1,41.297102_-120.324838
SHA,41.295907,-120.282252,0.11020145,1978,405748,6,6,1,1,41.295907_-120.282252
SHA,41.304848,-120.236814,0.01503116,2222,426513,6,6,1,1,41.304848_-120.236814
SHA,41.224123,-120.8188,0.0393946,1735,281579,6,6,1,1,41.224123_-120.818800
SHA,41.21579,-120.787321,0.16950584,1932,283231,6,6,1,1,41.215790_-120.787321
SHA,41.208397,-120.743782,0.0101918,1851,307803,6,6,1,1,41.208397_-120.743782
SHA,41.18625,-120.815417,0.00082349,1673,284523,0,6,1,1,41.186250_-120.815417
SHA,41.167518,-120.782919,0.09763775,1831,285248,6,6,1,1,41.167518_-120.782919
SHA,40.943609,-121.078327,0.02357361,1695,219900,7,6,1,1,40.943609_-121.078327
SHA,40.959867,-121.025853,0.14460291,1740,232362,7,6,1,1,40.959867_-121.025853
SHA,40.960896,-120.988703,0.06200482,1672,238626,7,6,1,1,40.960896_-120.988703
SHA,40.9225,-121.13,0.00472454,1524,215624,7,6,1,1,40.922500_-121.130000
SHA,40.926427,-121.092479,0.05869843,1708,216813,7,6,1,1,40.926427_-121.092479
SHA,40.933029,-121.041655,0.02185672,1613,231043,6,6,1,1,40.933029_-121.041655
SHA,40.93625,-120.988333,0.00330649,1615,238348,0,6,1,1,40.936250_-120.988333
SHA,41.440417,-122.176667,0.00460912,2726,171470,0,16,1,1,41.440417_-122.176667
SHA,41.393333,-122.250833,0.00289267,2455,115880,0,16,1,1,41.393333_-122.250833
SHA,41.394227,-122.21704,0.11691922,3112,110290,10,16,1,1,41.394227_-122.217040
SHA,41.404523,-122.165281,0.14670609,2848,112275,6,16,1,1,41.404523_-122.165281
SHA,41.366464,-122.210029,0.04403636,2466,108545,6,16,1,1,41.366464_-122.210029
SHA,41.36961,-122.173012,0.01853649,2496,108507,6,16,1,1,41.369610_-122.173012
SHA,40.526253,-121.526186,0.01901398,2398,225740,1,16,1,1,40.526253_-121.526186
SHA,40.514157,-121.478267,0.05371453,2120,223880,1,16,1,1,40.514157_-121.478267
SHA,40.477336,-121.531722,0.00546867,2890,232281,6,16,1,1,40.477336_-121.531722
SHA,40.482063,-121.484167,0.0338049,2441,227900,1,16,1,1,40.482063_-121.484167
SHA,41.205243,-122.381012,0.02485605,1524,83558,6,3,1,1,41.205243_-122.381012
SHA,41.207665,-122.346016,0.12292248,1448,83404,1,3,1,1,41.207665_-122.346016
SHA,41.218333,-122.29875,0.02586829,1319,85065,6,3,1,1,41.218333_-122.298750
SHA,41.18176,-122.38093,0.0080791,1037,81097,6,3,1,1,41.181760_-122.380930
SHA,41.174362,-122.349483,0.07311345,1245,76028,6,3,1,1,41.174362_-122.349483
SHA,41.131899,-122.319357,0.01153808,660,69870,1,3,1,1,41.131899_-122.319357
SHA,41.145064,-122.27997,0.13693419,976,71692,1,3,1,1,41.145064_-122.279970
SHA,41.140661,-122.223567,0.09848315,1215,71014,1,3,1,1,41.140661_-122.223567
SHA,41.129781,-122.175912,0.01043705,947,70845,1,3,1,1,41.129781_-122.175912
SHA,41.107891,-122.38391,0.01782426,1168,58762,1,3,1,1,41.107891_-122.383910
SHA,41.090667,-122.339009,0.17361669,791,59040,6,3,1,1,41.090667_-122.339009
SHA,41.09375,-122.28125,0.22088778,1069,66454,1,3,1,1,41.093750_-122.281250
SHA,41.095527,-122.220897,0.20285651,939,62574,1,3,1,1,41.095527_-122.220897
SHA,41.109106,-122.17117,0.06454441,992,66818,1,3,1,1,41.109106_-122.171170
SHA,41.000833,-122.440417,0.00055054,825,46733,0,3,1,1,41.000833_-122.440417
SHA,41.021838,-122.39505,0.10991503,587,46842,6,3,1,1,41.021838_-122.395050
SHA,41.03125,-122.34375,0.22109779,775,52114,6,3,1,1,41.031250_-122.343750
SHA,41.035955,-122.286726,0.16983146,1075,60433,1,3,1,1,41.035955_-122.286726
SHA,41.056164,-122.227832,0.03277088,1012,60299,1,3,1,1,41.056164_-122.227832
SHA,40.964568,-122.528336,0.06142311,1115,46662,1,3,1,1,40.964568_-122.528336
SHA,40.959765,-122.47868,0.09726797,870,41801,6,3,1,1,40.959765_-122.478680
SHA,40.979489,-122.397574,0.09756941,759,37363,1,3,1,1,40.979489_-122.397574
SHA,40.982708,-122.348332,0.11368684,802,37603,1,3,1,1,40.982708_-122.348332
SHA,40.995615,-122.304085,0.0084161,907,60439,1,3,1,1,40.995615_-122.304085
SHA,40.906041,-122.53107,0.10669311,993,24722,1,3,1,1,40.906041_-122.531070
SHA,40.9008,-122.468124,0.14705452,895,24683,6,3,1,1,40.900800_-122.468124
SHA,40.901237,-122.430842,0.03252596,794,26867,6,3,1,1,40.901237_-122.430842
SHA,40.856234,-122.526648,0.08335986,1043,21014,1,3,1,1,40.856234_-122.526648
