basin,lat,lon,area_weight,elev,flowlen,soil_class,veg_class,key
SHA,41.53125,-121.90625,0.011081780000000001,1860.366178538105,156097.19780667004,1,3,41.53125_-121.90625
SHA,41.53125,-121.84375,0.08341228,1780.9721793961273,156317.83297579206,6,7,41.53125_-121.84375
SHA,41.53125,-121.78125,0.1642282,1835.8009805867691,265259.5899946538,6,7,41.53125_-121.78125
SHA,41.53125,-121.71875,0.21438297,1802.2609944250703,256845.536382764,6,7,41.53125_-121.71875
SHA,41.53125,-121.53125,0.21916734,1853.6113239773772,246275.62395861535,6,2,41.53125_-121.53125
SHA,41.53125,-121.46875,0.05672219,1834.5056028337412,256896.3794798826,6,3,41.53125_-121.46875
SHA,41.46875,-122.15625,0.12842642999999998,2133.685702701539,160366.28493581893,6,3,41.46875_-122.15625
SHA,41.46875,-122.09375,0.20154173999999997,1890.0394211144553,154886.23901024176,6,16,41.46875_-122.09375
SHA,41.46875,-122.03125,0.08543927,2006.7861139263014,146447.34673400183,1,3,41.46875_-122.03125
SHA,41.46875,-121.96875,0.10691634,1936.0,141033.0,1,3,41.46875_-121.96875
SHA,41.46875,-121.90625,0.16747288,1702.0,141896.0,1,3,41.46875_-121.90625
SHA,41.46875,-121.84375,0.21961533,1590.806867853897,148680.6759483047,6,3,41.46875_-121.84375
SHA,41.46875,-121.78125,0.21962397,1577.6311888451885,153022.4099969598,6,3,41.46875_-121.78125
SHA,41.46875,-121.71875,0.21961170000000002,1533.6646940486323,245860.92106991564,6,2,41.46875_-121.71875
SHA,41.46875,-121.46875,0.08667029000000001,1520.0042793210912,248146.89250837854,6,3,41.46875_-121.46875
SHA,41.40625,-122.28125,0.06153,1998.2595959694459,113902.69211831626,6,3,41.40625_-122.28125
SHA,41.40625,-122.21875,0.11832681,3102.60233179615,110357.78216889309,10,16,41.40625_-122.21875
SHA,41.40625,-122.15625,0.21940766,2667.412158855347,115993.784112232,6,16,41.40625_-122.15625
SHA,41.40625,-122.09375,0.21983471999999998,1853.3743859932588,123323.70351471324,6,3,41.40625_-122.09375
SHA,41.40625,-122.03125,0.21984305999999998,1557.9615380171656,125152.0254026668,6,3,41.40625_-122.03125
SHA,41.40625,-121.96875,0.21983376999999998,1458.8742609017718,133683.05660513398,6,3,41.40625_-121.96875
SHA,41.40625,-121.90625,0.21985014,1455.8901298857486,135467.87946562146,6,3,41.40625_-121.90625
SHA,41.40625,-121.84375,0.21983375,1593.0,141289.0,6,3,41.40625_-121.84375
SHA,41.40625,-121.78125,0.21983842,1470.6449584199158,194989.95553375068,6,3,41.40625_-121.78125
SHA,41.40625,-121.71875,0.21983256,1423.0221792440575,237177.12430224166,6,3,41.40625_-121.71875
SHA,41.34375,-122.28125,0.22004489,1515.491388189019,103962.24415359067,6,3,41.34375_-122.28125
