id,name,sensor,sensor_type,duration,lat,lon,available_from,available_to,note
AMF,AMERICAN RIVER AT NIMBUS DAM,8,FULL NATURAL FLOW,daily,38.636016,-121.221893,1987-06-29,present,
CLE,TRINITY LAKE,8,FULL NATURAL FLOW,daily,40.801,-122.762,1986-04-01,present,data in fnf_daily.csv; mask flow_cfs < 0 before use
CSN,COSUMNES R AT MICHIGAN BAR,8,FULL NATURAL FLOW,daily,38.5,-121.044,1999-04-01,present,data in fnf_daily.csv; mask flow_cfs < 0 before use
EFC,EAST FK CARSON RIVER NR GARDNERVILLE,8,FULL NATURAL FLOW,daily,38.847,-119.703,2022-06-01,present,
EWR,EAST WALKER RIVER NR BRIDGEPORT,8,FULL NATURAL FLOW,daily,38.328,-119.214,2022-06-01,present,
FTO,FEATHER RIVER AT OROVILLE,8,FULL NATURAL FLOW,daily,39.522,-121.547,1985-04-21,present,
KGF,KINGS R-PINE FLAT DAM,8,FULL NATURAL FLOW,daily,36.831,-119.335,1987-05-31,present,
KRI,KERN R-BLW ISABELLA,8,FULL NATURAL FLOW,daily,35.639,-118.484,1987-05-31,present,
KWT,KAWEAH R-TERMINUS DM,8,FULL NATURAL FLOW,daily,36.414167,-119.011667,1987-05-31,present,
MKM,MOKELUMNE RIVER AT PARDEE DAM,8,FULL NATURAL FLOW,daily,38.256861,-120.850771,1986-04-01,present,
MRC,MERCED R NR MERCED FALLS,8,FULL NATURAL FLOW,daily,37.522,-120.331,1988-01-01,present,
MSS,MCCLOUD RIVER ABOVE SHASTA LAKE,8,FULL NATURAL FLOW,daily,40.958,-122.219,2022-06-01,present,
NHG,NEW HOGAN LAKE,8,FULL NATURAL FLOW,daily,38.152,-120.812,1987-05-01,present,
NML,NEW MELONES RESERVOIR,8,FULL NATURAL FLOW,daily,37.9481,-120.525,1987-06-29,present,
OWL,OWENS RIVER-LONG VLY,8,FULL NATURAL FLOW,daily,37.5875,-118.7084,2023-10-01,present,
PSH,PIT RIVER AT SHASTA LAKE,8,FULL NATURAL FLOW,daily,40.843,-122.016,2022-06-01,present,
RRH,RUSSIAN R NR HEALDSBERG,8,FULL NATURAL FLOW,daily,38.613,-122.835,2021-08-01,present,
SBB,SACRAMENTO RIVER ABV BEND BRIDGE,8,FULL NATURAL FLOW,daily,40.289,-122.186,1999-05-01,present,
SBF,SAN JOAQUIN RIVER BELOW FRIANT DAM,8,FULL NATURAL FLOW,daily,36.999167,-119.706111,1987-05-31,present,
SCC,SUCCESS DAM,8,FULL NATURAL FLOW,daily,36.056667,-118.924167,1988-01-01,present,
SDT,SACRAMENTO R AT DELTA,8,FULL NATURAL FLOW,daily,40.94,-122.416,2022-06-01,present,
SIS,SACTO INFLOW-SHASTA,8,FULL NATURAL FLOW,daily,40.718,-122.42,1987-05-31,present,
SNS,STANISLAUS R-GOODWIN,8,FULL NATURAL FLOW,daily,37.852,-120.637,1992-06-01,present,data in fnf_daily.csv; mask flow_cfs < 0 before use
TLG,TUOLUMNE R-LA GRANGE DAM,8,FULL NATURAL FLOW,daily,37.666,-120.441,1986-04-01,present,
TRF,TRUCKEE RIVER AT FARAD,8,FULL NATURAL FLOW,daily,39.428,-120.033,1985-10-01,present,
WFC,WEST FORK CARSON RIVER AT WOODFORDS,8,FULL NATURAL FLOW,daily,38.769,-119.832,2022-06-01,present,
WHI,WHISKEYTOWN DAM (USBR),8,FULL NATURAL FLOW,daily,40.598,-122.537,2000-10-01,present,data in fnf_daily.csv; mask flow_cfs < 0 before use
WWR,WEST WALKER RIVER NR COLEVILLE,8,FULL NATURAL FLOW,daily,38.378,-119.449,2022-06-01,present,
YRS,YUBA RIVER NEAR SMARTSVILLE,8,FULL NATURAL FLOW,daily,39.22357,-121.293651,1987-05-01,present,
