entity_id,family,timescale,site_id,name,delineation,arcs,area_mi2,area_mi2_swat,outlet_lat,outlet_lon,outlet_source,record_start,train_start,train_end,n_obs,obs_store,flags
uf_02,uf_monthly,monthly,UF 2,Putah Creek near Winters,arcs,I_PTH070,567.46,581.0,38.5151562,-122.0818793,uf_gauges:USGS NWIS 11454000,1921-10-01,1984-10-01,2014-09-30,360,dwr_unimpaired/uf_monthly_mm.csv:depth_mm,
uf_03,uf_monthly,monthly,UF 3,Cache Creek above Rumsey,arcs,I_BRC003;I_CCH053;I_CLRLK;I_INDVL,953.37,942.0,38.8898988,-122.2383082,uf_gauges:USGS NWIS 11451800,1921-10-01,1984-10-01,2014-09-30,360,dwr_unimpaired/uf_monthly_mm.csv:depth_mm,obs_routed_through_lakes
uf_04,uf_monthly,monthly,UF 4,Stony Creek at Black Butte,arcs,I_BLKBT;I_EPARK;I_SGRGE,744.94,758.0,39.81849004,-122.3249913,uf_gauges:USGS NWIS 11388000,1921-10-01,1984-10-01,2014-09-30,360,dwr_unimpaired/uf_monthly_mm.csv:depth_mm,
uf_06,uf_monthly,monthly,UF 6,Sacramento River near Red Bluff,arcs,I_BCN010;I_BTL006;I_CLR011;I_COW014;I_CWD018;I_SCW008;I_SHSTA;I_SRBB_VAL;I_WKYTN,9083.72,,40.289,-122.186,uf_gauges:cdec_stations:SBB,1921-10-01,1984-10-01,2014-09-30,360,dwr_unimpaired/uf_monthly_mm.csv:depth_mm,
uf_07,uf_monthly,monthly,UF 7,Sacramento Valley East Side Minor Streams,arcs,I_ANT011;I_BCC014;I_BTC048;I_DRC012;I_LCC038;I_LDC029;I_MLC006;I_MNS000,1035.9,,,,,1921-10-01,1984-10-01,2014-09-30,360,dwr_unimpaired/uf_monthly_mm.csv:depth_mm,obs_includes_valley_floor;no_gauge_composite
uf_10,uf_monthly,monthly,UF 10,Bear River near Wheatland,arcs,I_BRR023;I_CMBIE;I_CMPFW;I_RLLNS;I_WLF013,281.96,290.0,39.0001537,-121.4065908,uf_gauges:USGS NWIS 11424000,1921-10-01,1984-10-01,2014-09-30,360,dwr_unimpaired/uf_monthly_mm.csv:depth_mm,calsim_ref_wetter_summers;outlet_below_delineation
uf_13,uf_monthly,monthly,UF 13,Cosumnes River at Michigan Bar,arcs,I_CMP001;I_CMP014;I_CSM035;I_JNKSN,539.11,536.0,38.5,-121.044,uf_gauges:cdec_stations:CSN,1921-10-01,1984-10-01,2014-09-30,360,dwr_unimpaired/uf_monthly_mm.csv:depth_mm,
uf_20,uf_monthly,monthly,UF 20,Chowchilla River at Buchanan Reservoir,arcs,I_ESTMN,234.81,258.0,37.21550105,-119.991276,uf_gauges:USGS NWIS 11259000,1921-10-01,1984-10-01,2014-09-30,360,dwr_unimpaired/uf_monthly_mm.csv:depth_mm,
uf_21,uf_monthly,monthly,UF 21,Fresno River near Daulton,arcs,I_COT033;I_DBC024;I_FRS046;I_HNSLY,343.68,292.0,37.09744734,-119.8896013,uf_gauges:USGS NWIS 11258000,1921-10-01,1984-10-01,2014-09-30,360,dwr_unimpaired/uf_monthly_mm.csv:depth_mm,
usgs_11196400,usgs_daily,daily,11196400,CALIENTE C AB TEHACHAPI C NR CALIENTE CA,usgs_gpkg,,164.06,,35.31134824,-118.5703669,usgs_gauges:11196400,1961-10-01,1961-10-01,1983-03-05,7826,usgs/flow_daily.nc:flow_mm,
