entity_id,key,flowlen_m,method
uf_02,38.40625_-122.15625,18994.4,fallback
uf_02,38.40625_-122.21875,41768.6,center
uf_02,38.40625_-122.28125,29312.7,fallback
uf_02,38.46875_-122.09375,8308.3,center
uf_02,38.46875_-122.15625,12661.6,channel
uf_02,38.46875_-122.21875,25343.2,channel
uf_02,38.46875_-122.28125,25082.2,fallback
uf_02,38.53125_-122.09375,2907.1,fallback
uf_02,38.53125_-122.15625,4644.5,channel
uf_02,38.53125_-122.21875,14277.6,channel
uf_02,38.53125_-122.28125,27808.1,channel
uf_02,38.53125_-122.34375,31679.9,fallback
uf_02,38.53125_-122.40625,39195.2,fallback
uf_02,38.59375_-122.09375,12241.2,fallback
uf_02,38.59375_-122.15625,19184.2,channel
uf_02,38.59375_-122.21875,17705.9,channel
uf_02,38.59375_-122.28125,25709.0,channel
uf_02,38.59375_-122.34375,34063.5,channel
uf_02,38.59375_-122.40625,45388.1,channel
uf_02,38.59375_-122.46875,48186.8,fallback
uf_02,38.59375_-122.53125,55507.2,fallback
uf_02,38.65625_-122.15625,23560.2,fallback
uf_02,38.65625_-122.21875,29896.0,channel
uf_02,38.65625_-122.28125,26986.4,channel
uf_02,38.65625_-122.34375,34275.3,channel
uf_02,38.65625_-122.40625,42902.4,channel
uf_02,38.65625_-122.46875,50241.5,channel
uf_02,38.65625_-122.53125,57696.6,channel
uf_02,38.65625_-122.59375,98580.2,channel
uf_02,38.65625_-122.65625,72541.6,fallback
uf_02,38.71875_-122.21875,35481.6,fallback
uf_02,38.71875_-122.28125,36270.8,channel
uf_02,38.71875_-122.34375,40754.6,channel
uf_02,38.71875_-122.40625,43756.0,channel
uf_02,38.71875_-122.46875,50874.3,channel
uf_02,38.71875_-122.53125,71236.6,channel
uf_02,38.71875_-122.59375,89839.5,channel
uf_02,38.71875_-122.65625,91190.1,channel
uf_02,38.71875_-122.71875,82873.5,fallback
uf_02,38.78125_-122.21875,44233.7,fallback
uf_02,38.78125_-122.28125,50564.8,channel
uf_02,38.78125_-122.34375,65427.9,channel
uf_02,38.78125_-122.40625,51333.2,channel
uf_02,38.78125_-122.46875,58100.5,channel
uf_02,38.78125_-122.53125,67423.2,channel
uf_02,38.78125_-122.59375,75685.6,channel
uf_02,38.78125_-122.65625,90334.7,channel
uf_02,38.78125_-122.71875,97322.2,channel
uf_02,38.84375_-122.28125,56071.7,fallback
uf_02,38.84375_-122.34375,65716.2,channel
uf_02,38.84375_-122.40625,63159.3,channel
uf_02,38.84375_-122.46875,67795.3,channel
uf_02,38.84375_-122.53125,70893.0,channel
uf_02,38.84375_-122.59375,83053.3,channel
uf_02,38.84375_-122.65625,84281.4,channel
uf_02,38.84375_-122.71875,98859.3,center
uf_02,38.90625_-122.40625,71827.9,fallback
uf_02,38.90625_-122.46875,76171.3,fallback
uf_02,38.90625_-122.53125,77948.0,channel
uf_02,38.90625_-122.59375,86177.5,fallback
uf_04,39.21875_-122.40625,92999.0,fallback
uf_04,39.21875_-122.46875,94065.4,fallback
uf_04,39.21875_-122.53125,95699.8,fallback
uf_04,39.21875_-122.59375,96031.2,channel
uf_04,39.21875_-122.65625,103145.6,center
uf_04,39.21875_-122.71875,103696.8,fallback
uf_04,39.28125_-122.40625,83413.4,fallback
uf_04,39.28125_-122.46875,80177.2,channel
uf_04,39.28125_-122.53125,80488.8,channel
uf_04,39.28125_-122.59375,87076.8,channel
uf_04,39.28125_-122.65625,97279.4,channel
uf_04,39.28125_-122.71875,103978.7,channel
uf_04,39.28125_-122.78125,99057.2,fallback
uf_04,39.34375_-122.46875,77061.5,channel
uf_04,39.34375_-122.53125,71430.9,channel
uf_04,39.34375_-122.59375,75028.0,channel
uf_04,39.34375_-122.65625,81016.3,channel
uf_04,39.34375_-122.71875,90891.2,channel
uf_04,39.34375_-122.78125,91130.4,fallback
uf_04,39.40625_-122.46875,67768.0,channel
uf_04,39.40625_-122.53125,62594.2,channel
uf_04,39.40625_-122.59375,73532.9,channel
uf_04,39.40625_-122.65625,80743.8,channel
uf_04,39.40625_-122.71875,89653.6,channel
uf_04,39.40625_-122.78125,97016.2,channel
uf_04,39.46875_-122.46875,56564.0,fallback
uf_04,39.46875_-122.53125,54476.5,channel
uf_04,39.46875_-122.59375,59701.8,channel
uf_04,39.46875_-122.65625,92460.9,channel
uf_04,39.46875_-122.71875,99755.4,channel
uf_04,39.46875_-122.78125,76469.4,fallback
uf_04,39.53125_-122.46875,47458.2,fallback
uf_04,39.53125_-122.53125,46778.1,channel
uf_04,39.53125_-122.59375,48106.9,channel
uf_04,39.53125_-122.65625,59745.7,channel
uf_04,39.53125_-122.71875,64408.6,fallback
uf_04,39.59375_-122.46875,38614.4,fallback
uf_04,39.59375_-122.53125,37928.7,channel
uf_04,39.59375_-122.59375,44251.0,channel
uf_04,39.59375_-122.65625,51960.8,channel
uf_04,39.59375_-122.71875,62506.0,center
uf_04,39.59375_-122.78125,64299.2,fallback
uf_04,39.65625_-122.46875,26642.5,channel
uf_04,39.65625_-122.53125,29034.1,channel
uf_04,39.65625_-122.59375,36632.9,channel
uf_04,39.65625_-122.65625,43074.8,channel
uf_04,39.65625_-122.71875,58554.7,channel
uf_04,39.65625_-122.78125,62655.9,channel
uf_04,39.71875_-122.34375,15506.8,fallback
uf_04,39.71875_-122.40625,11592.9,channel
uf_04,39.71875_-122.46875,19228.6,channel
uf_04,39.71875_-122.53125,35121.3,channel
uf_04,39.71875_-122.59375,38555.4,channel
uf_04,39.71875_-122.65625,48740.2,channel
uf_04,39.71875_-122.71875,51496.1,channel
uf_04,39.71875_-122.78125,59860.6,channel
uf_04,39.71875_-122.84375,63423.7,fallback
uf_04,39.71875_-122.90625,70638.6,fallback
uf_04,39.78125_-122.34375,2702.3,channel
uf_04,39.78125_-122.40625,10344.8,channel
uf_04,39.78125_-122.46875,12472.8,channel
uf_04,39.78125_-122.53125,19380.2,channel
uf_04,39.78125_-122.59375,26617.5,channel
uf_04,39.78125_-122.65625,35254.2,channel
uf_04,39.78125_-122.71875,61366.3,channel
uf_04,39.78125_-122.78125,64556.6,channel
uf_04,39.78125_-122.84375,72114.9,channel
uf_04,39.78125_-122.90625,80362.2,channel
uf_04,39.78125_-122.96875,76542.3,fallback
uf_04,39.84375_-122.34375,4534.1,fallback
uf_04,39.84375_-122.40625,10418.9,fallback
uf_04,39.84375_-122.46875,14544.4,channel
uf_04,39.84375_-122.53125,25414.9,center
uf_04,39.84375_-122.59375,33360.5,center
uf_04,39.84375_-122.65625,39464.1,fallback
uf_04,39.84375_-122.71875,46838.6,fallback
uf_04,39.84375_-122.78125,54221.6,fallback
uf_04,39.84375_-122.84375,61610.0,fallback
uf_04,39.84375_-122.90625,86632.0,center
uf_04,39.84375_-122.96875,76396.9,fallback
uf_06,40.03125_-122.71875,123739.6,fallback
uf_06,40.03125_-122.78125,134258.7,fallback
uf_06,40.03125_-122.84375,145052.3,fallback
uf_06,40.03125_-122.90625,156063.6,fallback
uf_06,40.03125_-122.96875,167249.4,fallback
uf_06,40.09375_-122.65625,104982.0,fallback
uf_06,40.09375_-122.71875,108096.4,channel
uf_06,40.09375_-122.78125,118944.3,channel
uf_06,40.09375_-122.84375,126938.7,channel
uf_06,40.09375_-122.90625,134457.2,channel
uf_06,40.09375_-122.96875,161497.0,fallback
uf_06,40.15625_-122.53125,83572.4,channel
uf_06,40.15625_-122.59375,86227.2,channel
uf_06,40.15625_-122.65625,94638.3,channel
uf_06,40.15625_-122.71875,105949.5,channel
uf_06,40.15625_-122.78125,118475.1,channel
uf_06,40.15625_-122.84375,116920.2,channel
uf_06,40.15625_-122.90625,135352.8,channel
uf_06,40.15625_-122.96875,143198.5,channel
uf_06,40.21875_-122.21875,19204.6,fallback
uf_06,40.21875_-122.40625,46766.6,fallback
uf_06,40.21875_-122.46875,67204.7,channel
uf_06,40.21875_-122.53125,71268.9,channel
uf_06,40.21875_-122.59375,82060.8,channel
uf_06,40.21875_-122.65625,90021.9,channel
uf_06,40.21875_-122.71875,83324.0,channel
uf_06,40.21875_-122.78125,94520.0,channel
uf_06,40.21875_-122.84375,117714.5,channel
uf_06,40.21875_-122.90625,125682.2,channel
uf_06,40.21875_-122.96875,127839.9,channel
