date,series,flow_taf
1921-10-31,DELTA_INFLOW,434.0
1921-11-30,DELTA_INFLOW,547.0
1921-12-31,DELTA_INFLOW,1703.0
1922-01-31,DELTA_INFLOW,1560.0
1922-02-28,DELTA_INFLOW,4552.0
1922-03-31,DELTA_INFLOW,3554.0
1922-04-30,DELTA_INFLOW,4672.0
1922-05-31,DELTA_INFLOW,7782.0
1922-06-30,DELTA_INFLOW,5618.0
1922-07-31,DELTA_INFLOW,1507.0
1922-08-31,DELTA_INFLOW,607.0
1922-09-30,DELTA_INFLOW,438.0
1922-10-31,DELTA_INFLOW,489.0
1922-11-30,DELTA_INFLOW,857.0
1922-12-31,DELTA_INFLOW,3297.0
1923-01-31,DELTA_INFLOW,2567.0
1923-02-28,DELTA_INFLOW,1687.0
1923-03-31,DELTA_INFLOW,1884.0
1923-04-30,DELTA_INFLOW,4254.0
1923-05-31,DELTA_INFLOW,4248.0
1923-06-30,DELTA_INFLOW,2330.0
1923-07-31,DELTA_INFLOW,1195.0
1923-08-31,DELTA_INFLOW,519.0
1923-09-30,DELTA_INFLOW,467.0
1923-10-31,DELTA_INFLOW,506.0
1923-11-30,DELTA_INFLOW,464.0
1923-12-31,DELTA_INFLOW,550.0
1924-01-31,DELTA_INFLOW,648.0
1924-02-29,DELTA_INFLOW,1394.0
1924-03-31,DELTA_INFLOW,752.0
1924-04-30,DELTA_INFLOW,1200.0
1924-05-31,DELTA_INFLOW,1206.0
1924-06-30,DELTA_INFLOW,477.0
1924-07-31,DELTA_INFLOW,381.0
1924-08-31,DELTA_INFLOW,304.0
1924-09-30,DELTA_INFLOW,292.0
1924-10-31,DELTA_INFLOW,414.0
1924-11-30,DELTA_INFLOW,954.0
1924-12-31,DELTA_INFLOW,1217.0
1925-01-31,DELTA_INFLOW,1216.0
1925-02-28,DELTA_INFLOW,6920.0
1925-03-31,DELTA_INFLOW,2744.0
1925-04-30,DELTA_INFLOW,4787.0
1925-05-31,DELTA_INFLOW,4416.0
1925-06-30,DELTA_INFLOW,2328.0
1925-07-31,DELTA_INFLOW,955.0
1925-08-31,DELTA_INFLOW,523.0
1925-09-30,DELTA_INFLOW,416.0
1925-10-31,DELTA_INFLOW,452.0
1925-11-30,DELTA_INFLOW,580.0
1925-12-31,DELTA_INFLOW,789.0
1926-01-31,DELTA_INFLOW,984.0
1926-02-28,DELTA_INFLOW,4306.0
1926-03-31,DELTA_INFLOW,2080.0
1926-04-30,DELTA_INFLOW,4693.0
1926-05-31,DELTA_INFLOW,2445.0
1926-06-30,DELTA_INFLOW,994.0
1926-07-31,DELTA_INFLOW,513.0
1926-08-31,DELTA_INFLOW,361.0
1926-09-30,DELTA_INFLOW,333.0
1926-10-31,DELTA_INFLOW,387.0
1926-11-30,DELTA_INFLOW,2524.0
1926-12-31,DELTA_INFLOW,2499.0
1927-01-31,DELTA_INFLOW,3006.0
1927-02-28,DELTA_INFLOW,8887.0
1927-03-31,DELTA_INFLOW,4603.0
1927-04-30,DELTA_INFLOW,6103.0
1927-05-31,DELTA_INFLOW,4929.0
1927-06-30,DELTA_INFLOW,3517.0
1927-07-31,DELTA_INFLOW,1206.0
1927-08-31,DELTA_INFLOW,541.0
1927-09-30,DELTA_INFLOW,434.0
1927-10-31,DELTA_INFLOW,445.0
1927-11-30,DELTA_INFLOW,1721.0
1927-12-31,DELTA_INFLOW,1373.0
1928-01-31,DELTA_INFLOW,1785.0
1928-02-29,DELTA_INFLOW,2672.0
1928-03-31,DELTA_INFLOW,7595.0
1928-04-30,DELTA_INFLOW,4623.0
1928-05-31,DELTA_INFLOW,3425.0
1928-06-30,DELTA_INFLOW,1304.0
1928-07-31,DELTA_INFLOW,637.0
1928-08-31,DELTA_INFLOW,413.0
1928-09-30,DELTA_INFLOW,370.0
1928-10-31,DELTA_INFLOW,375.0
1928-11-30,DELTA_INFLOW,589.0
1928-12-31,DELTA_INFLOW,775.0
1929-01-31,DELTA_INFLOW,740.0
1929-02-28,DELTA_INFLOW,1423.0
1929-03-31,DELTA_INFLOW,1536.0
1929-04-30,DELTA_INFLOW,1886.0
1929-05-31,DELTA_INFLOW,2761.0
1929-06-30,DELTA_INFLOW,1580.0
1929-07-31,DELTA_INFLOW,589.0
1929-08-31,DELTA_INFLOW,320.0
1929-09-30,DELTA_INFLOW,323.0
1929-10-31,DELTA_INFLOW,315.0
1929-11-30,DELTA_INFLOW,340.0
1929-12-31,DELTA_INFLOW,2947.0
1930-01-31,DELTA_INFLOW,1909.0
1930-02-28,DELTA_INFLOW,2390.0
1930-03-31,DELTA_INFLOW,3637.0
1930-04-30,DELTA_INFLOW,3093.0
1930-05-31,DELTA_INFLOW,2589.0
1930-06-30,DELTA_INFLOW,1745.0
1930-07-31,DELTA_INFLOW,629.0
1930-08-31,DELTA_INFLOW,376.0
1930-09-30,DELTA_INFLOW,358.0
1930-10-31,DELTA_INFLOW,375.0
1930-11-30,DELTA_INFLOW,517.0
1930-12-31,DELTA_INFLOW,440.0
1931-01-31,DELTA_INFLOW,956.0
1931-02-28,DELTA_INFLOW,914.0
1931-03-31,DELTA_INFLOW,1403.0
1931-04-30,DELTA_INFLOW,1384.0
1931-05-31,DELTA_INFLOW,1294.0
1931-06-30,DELTA_INFLOW,578.0
1931-07-31,DELTA_INFLOW,324.0
1931-08-31,DELTA_INFLOW,279.0
1931-09-30,DELTA_INFLOW,269.0
1931-10-31,DELTA_INFLOW,364.0
