date,uf,flow_taf
1921-10-31,2,0.5
1921-11-30,2,0.2
1921-12-31,2,10.4
1922-01-31,2,30.5
1922-02-28,2,49.0
1922-03-31,2,43.4
1922-04-30,2,27.7
1922-05-31,2,18.9
1922-06-30,2,12.0
1922-07-31,2,7.5
1922-08-31,2,4.0
1922-09-30,2,1.8
1922-10-31,2,0.9
1922-11-30,2,6.4
1922-12-31,2,54.7
1923-01-31,2,53.3
1923-02-28,2,33.5
1923-03-31,2,25.9
1923-04-30,2,18.2
1923-05-31,2,13.6
1923-06-30,2,8.2
1923-07-31,2,4.9
1923-08-31,2,2.7
1923-09-30,2,1.3
1923-10-31,2,0.7
1923-11-30,2,0.3
1923-12-31,2,0.3
1924-01-31,2,0.8
1924-02-29,2,21.6
1924-03-31,2,16.8
1924-04-30,2,13.2
1924-05-31,2,9.4
1924-06-30,2,5.6
1924-07-31,2,3.0
1924-08-31,2,1.3
1924-09-30,2,0.5
1924-10-31,2,0.4
1924-11-30,2,3.7
1924-12-31,2,35.5
1925-01-31,2,34.6
1925-02-28,2,140.6
1925-03-31,2,68.0
1925-04-30,2,46.7
1925-05-31,2,30.6
1925-06-30,2,20.2
1925-07-31,2,13.2
1925-08-31,2,7.7
1925-09-30,2,4.0
1925-10-31,2,2.1
1925-11-30,2,1.0
1925-12-31,2,0.9
1926-01-31,2,56.5
1926-02-28,2,94.6
1926-03-31,2,52.3
1926-04-30,2,53.8
1926-05-31,2,29.2
1926-06-30,2,18.4
1926-07-31,2,12.1
1926-08-31,2,6.9
1926-09-30,2,3.4
1926-10-31,2,1.6
1926-11-30,2,38.0
1926-12-31,2,92.4
1927-01-31,2,63.3
1927-02-28,2,113.6
1927-03-31,2,73.9
1927-04-30,2,61.7
1927-05-31,2,28.0
1927-06-30,2,17.5
1927-07-31,2,11.4
1927-08-31,2,6.5
1927-09-30,2,3.2
1927-10-31,2,1.5
1927-11-30,2,11.5
1927-12-31,2,19.5
1928-01-31,2,34.5
1928-02-29,2,53.2
1928-03-31,2,44.0
1928-04-30,2,42.7
1928-05-31,2,26.8
1928-06-30,2,17.2
1928-07-31,2,11.4
1928-08-31,2,6.6
1928-09-30,2,3.3
1928-10-31,2,1.6
1928-11-30,2,3.1
1928-12-31,2,9.0
1929-01-31,2,15.6
1929-02-28,2,25.0
1929-03-31,2,21.5
1929-04-30,2,14.5
1929-05-31,2,9.8
1929-06-30,2,5.7
1929-07-31,2,3.2
1929-08-31,2,1.5
1929-09-30,2,0.6
1929-10-31,2,0.2
1929-11-30,2,0.1
1929-12-31,2,85.6
1930-01-31,2,64.2
1930-02-28,2,47.8
1930-03-31,2,49.8
1930-04-30,2,26.8
1930-05-31,2,18.0
1930-06-30,2,11.1
1930-07-31,2,6.8
1930-08-31,2,3.5
1930-09-30,2,1.5
1930-10-31,2,0.7
1930-11-30,2,0.3
1930-12-31,2,0.3
1931-01-31,2,14.5
1931-02-28,2,19.4
1931-03-31,2,19.3
1931-04-30,2,14.5
1931-05-31,2,9.6
1931-06-30,2,5.4
1931-07-31,2,2.9
1931-08-31,2,1.3
1931-09-30,2,0.5
1931-10-31,2,0.2
1931-11-30,2,0.3
1931-12-31,2,98.3
1932-01-31,2,88.1
1932-02-29,2,49.8
1932-03-31,2,31.5
1932-04-30,2,20.3
1932-05-31,2,13.7
1932-06-30,2,7.9
1932-07-31,2,4.3
1932-08-31,2,1.9
1932-09-30,2,0.7
1932-10-31,2,0.2
1932-11-30,2,0.1
1932-12-31,2,4.4
1933-01-31,2,31.0
1933-02-28,2,36.5
1933-03-31,2,33.2
1933-04-30,2,23.7
1933-05-31,2,16.5
1933-06-30,2,10.5
1933-07-31,2,6.6
1933-08-31,2,3.6
1933-09-30,2,1.6
1933-10-31,2,0.7
1933-11-30,2,0.7
1933-12-31,2,32.5
1934-01-31,2,62.0
1934-02-28,2,32.9
1934-03-31,2,29.4
1934-04-30,2,19.3
