date,uf,flow_taf
1921-10-31,1,0.0
1921-11-30,1,11.0
1921-12-31,1,167.0
1922-01-31,1,140.0
1922-02-28,1,466.0
1922-03-31,1,289.0
1922-04-30,1,175.0
1922-05-31,1,15.0
1922-06-30,1,0.0
1922-07-31,1,0.0
1922-08-31,1,0.0
1922-09-30,1,0.0
1922-10-31,1,0.0
1922-11-30,1,14.0
1922-12-31,1,173.0
1923-01-31,1,109.0
1923-02-28,1,75.0
1923-03-31,1,50.0
1923-04-30,1,58.0
1923-05-31,1,7.0
1923-06-30,1,0.0
1923-07-31,1,0.0
1923-08-31,1,0.0
1923-09-30,1,0.0
1923-10-31,1,0.0
1923-11-30,1,0.0
1923-12-31,1,4.0
1924-01-31,1,8.0
1924-02-29,1,17.0
1924-03-31,1,2.0
1924-04-30,1,3.0
1924-05-31,1,0.0
1924-06-30,1,0.0
1924-07-31,1,0.0
1924-08-31,1,0.0
1924-09-30,1,0.0
1924-10-31,1,0.0
1924-11-30,1,9.0
1924-12-31,1,39.0
1925-01-31,1,67.0
1925-02-28,1,290.0
1925-03-31,1,45.0
1925-04-30,1,40.0
1925-05-31,1,9.0
1925-06-30,1,5.0
1925-07-31,1,0.0
1925-08-31,1,0.0
1925-09-30,1,0.0
1925-10-31,1,0.0
1925-11-30,1,3.0
1925-12-31,1,8.0
1926-01-31,1,20.0
1926-02-28,1,113.0
1926-03-31,1,23.0
1926-04-30,1,25.0
1926-05-31,1,2.0
1926-06-30,1,0.0
1926-07-31,1,0.0
1926-08-31,1,0.0
1926-09-30,1,0.0
1926-10-31,1,0.0
1926-11-30,1,65.0
1926-12-31,1,37.0
1927-01-31,1,144.0
1927-02-28,1,595.0
1927-03-31,1,141.0
1927-04-30,1,85.0
1927-05-31,1,0.0
1927-06-30,1,0.0
1927-07-31,1,0.0
1927-08-31,1,0.0
1927-09-30,1,0.0
1927-10-31,1,0.0
1927-11-30,1,22.0
1927-12-31,1,30.0
1928-01-31,1,76.0
1928-02-29,1,99.0
1928-03-31,1,327.0
1928-04-30,1,56.0
1928-05-31,1,0.0
1928-06-30,1,0.0
1928-07-31,1,0.0
1928-08-31,1,0.0
1928-09-30,1,0.0
1928-10-31,1,0.0
1928-11-30,1,3.0
1928-12-31,1,11.0
1929-01-31,1,8.0
1929-02-28,1,25.0
1929-03-31,1,22.0
1929-04-30,1,17.0
1929-05-31,1,0.0
1929-06-30,1,0.0
1929-07-31,1,0.0
1929-08-31,1,0.0
1929-09-30,1,0.0
1929-10-31,1,0.0
1929-11-30,1,0.0
1929-12-31,1,81.0
1930-01-31,1,73.0
1930-02-28,1,110.0
1930-03-31,1,116.0
1930-04-30,1,28.0
1930-05-31,1,6.0
1930-06-30,1,0.0
1930-07-31,1,0.0
1930-08-31,1,0.0
1930-09-30,1,0.0
1930-10-31,1,0.0
1930-11-30,1,2.0
1930-12-31,1,1.0
1931-01-31,1,8.0
1931-02-28,1,8.0
1931-03-31,1,10.0
1931-04-30,1,1.0
1931-05-31,1,0.0
1931-06-30,1,0.0
1931-07-31,1,0.0
1931-08-31,1,0.0
1931-09-30,1,0.0
1931-10-31,1,0.0
1931-11-30,1,9.0
1931-12-31,1,113.0
1932-01-31,1,136.0
1932-02-29,1,166.0
1932-03-31,1,125.0
1932-04-30,1,53.0
1932-05-31,1,18.0
1932-06-30,1,1.0
1932-07-31,1,0.0
1932-08-31,1,0.0
1932-09-30,1,0.0
1932-10-31,1,0.0
1932-11-30,1,0.0
1932-12-31,1,5.0
1933-01-31,1,18.0
1933-02-28,1,13.0
1933-03-31,1,54.0
1933-04-30,1,12.0
1933-05-31,1,10.0
1933-06-30,1,0.0
1933-07-31,1,0.0
1933-08-31,1,0.0
1933-09-30,1,0.0
1933-10-31,1,0.0
1933-11-30,1,0.0
1933-12-31,1,9.0
1934-01-31,1,17.0
1934-02-28,1,29.0
1934-03-31,1,12.0
1934-04-30,1,3.0
1934-05-31,1,0.0
1934-06-30,1,0.0
1934-07-31,1,0.0
1934-08-31,1,0.0
1934-09-30,1,0.0
1934-10-31,1,0.0
1934-11-30,1,14.0
1934-12-31,1,28.0
1935-01-31,1,109.0
1935-02-28,1,147.0
1935-03-31,1,107.0
1935-04-30,1,195.0
1935-05-31,1,23.0
1935-06-30,1,0.0
1935-07-31,1,0.0
1935-08-31,1,0.0
1935-09-30,1,0.0
1935-10-31,1,0.0
1935-11-30,1,2.0
1935-12-31,1,10.0
1936-01-31,1,253.0
1936-02-29,1,412.0
1936-03-31,1,94.0
1936-04-30,1,50.0
1936-05-31,1,6.0
1936-06-30,1,1.0
1936-07-31,1,0.0
1936-08-31,1,0.0
1936-09-30,1,0.0
1936-10-31,1,0.0
1936-11-30,1,0.0
1936-12-31,1,5.0
1937-01-31,1,14.0
1937-02-28,1,142.0
1937-03-31,1,136.0
1937-04-30,1,104.0
1937-05-31,1,25.0
1937-06-30,1,0.0
1937-07-31,1,0.0
1937-08-31,1,0.0
1937-09-30,1,0.0
1937-10-31,1,0.0
1937-11-30,1,20.0
1937-12-31,1,156.0
1938-01-31,1,138.0
1938-02-28,1,358.0
1938-03-31,1,508.0
1938-04-30,1,148.0
1938-05-31,1,45.0
1938-06-30,1,0.0
1938-07-31,1,0.0
1938-08-31,1,0.0
1938-09-30,1,0.0
1938-10-31,1,0.0
