uf,date,depth_mm
2,1921-10-31,0.0
2,1921-11-30,0.0
2,1921-12-31,29.3743
2,1922-01-31,6.7141
2,1922-02-28,110.7831
2,1922-03-31,29.3743
2,1922-04-30,12.589
2,1922-05-31,3.3571
2,1922-06-30,0.8393
2,1922-07-31,0.0
2,1922-08-31,0.0
2,1922-09-30,0.0
2,1922-10-31,0.0
2,1922-11-30,10.9105
2,1922-12-31,118.3365
2,1923-01-31,45.3204
2,1923-02-28,19.3031
2,1923-03-31,7.5534
2,1923-04-30,26.8565
2,1923-05-31,4.1963
2,1923-06-30,0.8393
2,1923-07-31,0.0
2,1923-08-31,0.0
2,1923-09-30,0.0
2,1923-10-31,0.0
2,1923-11-30,0.0
2,1923-12-31,0.0
2,1924-01-31,3.3571
2,1924-02-29,26.8565
2,1924-03-31,1.6785
2,1924-04-30,0.8393
2,1924-05-31,0.0
2,1924-06-30,0.0
2,1924-07-31,0.0
2,1924-08-31,0.0
2,1924-09-30,0.0
2,1924-10-31,0.0
2,1924-11-30,6.7141
2,1924-12-31,21.8209
2,1925-01-31,8.3927
2,1925-02-28,180.4422
2,1925-03-31,23.4994
2,1925-04-30,26.0172
2,1925-05-31,19.3031
2,1925-06-30,5.0356
2,1925-07-31,0.8393
2,1925-08-31,0.0
2,1925-09-30,0.0
2,1925-10-31,0.0
2,1925-11-30,0.0
2,1925-12-31,0.8393
2,1926-01-31,30.2136
2,1926-02-28,140.1574
2,1926-03-31,12.589
2,1926-04-30,101.5512
2,1926-05-31,5.8749
2,1926-06-30,0.8393
2,1926-07-31,0.0
2,1926-08-31,0.0
2,1926-09-30,0.0
2,1926-10-31,0.0
2,1926-11-30,52.8737
2,1926-12-31,31.8921
2,1927-01-31,47.8382
2,1927-02-28,198.0667
2,1927-03-31,32.7314
2,1927-04-30,82.2481
2,1927-05-31,7.5534
2,1927-06-30,2.5178
2,1927-07-31,0.8393
2,1927-08-31,0.0
2,1927-09-30,0.0
2,1927-10-31,0.0
2,1927-11-30,20.9816
2,1927-12-31,20.1424
2,1928-01-31,23.4994
2,1928-02-29,56.2308
2,1928-03-31,83.9266
2,1928-04-30,40.2848
2,1928-05-31,5.8749
2,1928-06-30,0.8393
2,1928-07-31,0.0
2,1928-08-31,0.0
2,1928-09-30,0.0
2,1928-10-31,0.0
2,1928-11-30,0.8393
