uf,name,cdec_id,usgs_site,usgs_name,usgs_lat,usgs_lon,usgs_da_mi2,cdec_lat,cdec_lon,usgs_cdec_km
2,Putah Creek near Winters,,11454000,PUTAH C NR WINTERS CA,38.5151562,-122.0818793,574.0,,,
3,Cache Creek above Rumsey,,11451760,CACHE C AB RUMSEY CA,38.9129536,-122.2716419,955.0,,,
4,Stony Creek at Black Butte,,11388000,STONY C BL BLACK BUTTE DAM NR ORLAND CA,39.81849004,-122.3249913,738.0,,,
6,Sacramento River near Red Bluff,SBB,11377100,SACRAMENTO R AB BEND BRIDGE NR RED BLUFF CA,40.2884596,-122.1866312,8900.0,40.289,-122.186,0.08
7,Sacramento Valley East Side Minor Streams,,,,,,,,,
8,Feather River near Oroville,FTO,11407000,FEATHER R A OROVILLE CA,39.52155294,-121.5477477,3624.0,39.522,-121.547,0.08
9,Yuba River at Smartville,YRS,11419000,YUBA R A SMARTSVILLE CA,39.2235041,-121.2935704,1200.0,39.22357,-121.293651,0.01
10,Bear River near Wheatland,,11424000,BEAR R NR WHEATLAND CA,39.0001537,-121.4065908,292.0,,,
11,American River at Fair Oaks,AMF,11446500,AMERICAN R A FAIR OAKS CA,38.6354394,-121.227692,1888.0,38.636016,-121.221893,0.51
13,Cosumnes River at Michigan Bar,CSN,11335000,COSUMNES R A MICHIGAN BAR CA,38.5001656,-121.0451852,536.0,38.5,-121.044,0.1
14,Mokelumne River at Pardee Reservoir,PAR,11319500,MOKELUMNE R NR MOKELUMNE HILL CA,38.3126926,-120.7202112,544.0,38.25,-120.85,13.3
15,Calaveras River at Jenny Lind,,11308900,CALAVERAS R BL NEW HOGAN DAM NR VALLEY SPRINGS CA,38.14797568,-120.8249362,363.0,,,
16,Stanislaus River at Melones Reservoir,SNS,11299000,NEW MELONES RES NR SONORA CA,37.95103624,-120.5235323,904.0,37.852,-120.637,14.85
18,Tuolumne River at Don Pedro Reservoir,TLG,11288000,TUOLUMNE R AB LA GRANGE DAM NR LA GRANGE CA,37.7090976,-120.4132502,1532.0,37.666,-120.441,5.38
19,Merced River at Exchequer Reservoir,MRC,11270000,MERCED R A EXCHEQUER CA,37.581879,-120.2801884,1037.0,37.522,-120.331,8.02
20,Chowchilla River at Buchanan Reservoir,,11259000,CHOWCHILLA R BL BUCHANAN DAM NR RAYMOND CA,37.21550105,-119.991276,236.0,,,
21,Fresno River near Daulton,,11258000,FRESNO R BL HIDDEN DAM NR DAULTON CA,37.09744734,-119.8896013,258.0,,,
22,San Joaquin River at Millerton Reservoir,SJF,11250100,MILLERTON LK A FRIANT CA,36.99994956,-119.7045894,1638.0,36.98415,-119.72429,2.48
