basin,lat,lon,area_weight,elev,flowlen,soil_class,veg_class,basin_id,basin_id2,key
AMF,39.34375,-120.65625,0.00210931,1735,127474,1,1,1,1,39.343750_-120.656250
AMF,39.34375,-120.59375,0.04869535,1802,127442,1,1,1,1,39.343750_-120.593750
AMF,39.34375,-120.40625,0.00184916,2169,159929,1,1,1,1,39.343750_-120.406250
AMF,39.28125,-120.78125,0.00024529,1445,110852,1,1,1,1,39.281250_-120.781250
AMF,39.28125,-120.71875,0.25144927,1517,110760,1,1,1,1,39.281250_-120.718750
AMF,39.28125,-120.65625,0.67163675,1602,115476,1,1,1,1,39.281250_-120.656250
AMF,39.28125,-120.59375,0.75888477,1879,122731,1,1,1,1,39.281250_-120.593750
AMF,39.28125,-120.53125,0.52444943,1919,132503,1,1,1,1,39.281250_-120.531250
AMF,39.28125,-120.46875,0.49229618,2035,136971,1,1,1,1,39.281250_-120.468750
AMF,39.28125,-120.40625,0.65777547,1956,145896,1,1,1,1,39.281250_-120.406250
AMF,39.28125,-120.34375,0.55211687,2074,152655,1,1,1,1,39.281250_-120.343750
AMF,39.21875,-120.84375,0.05156659,1083,96337,1,1,1,1,39.218750_-120.843750
AMF,39.21875,-120.78125,0.49175952,1201,97810,1,1,1,1,39.218750_-120.781250
AMF,39.21875,-120.71875,0.77627432,1147,103412,1,1,1,1,39.218750_-120.718750
AMF,39.21875,-120.65625,0.77627432,1345,112130,1,1,1,1,39.218750_-120.656250
AMF,39.21875,-120.59375,0.77627432,1513,119940,1,1,1,1,39.218750_-120.593750
AMF,39.21875,-120.53125,0.77627432,1526,124779,1,1,1,1,39.218750_-120.531250
AMF,39.21875,-120.46875,0.77627432,1705,135599,1,1,1,1,39.218750_-120.468750
AMF,39.21875,-120.40625,0.77627432,1921,138987,1,1,1,1,39.218750_-120.406250
AMF,39.21875,-120.34375,0.77627432,2069,145854,1,1,1,1,39.218750_-120.343750
AMF,39.21875,-120.28125,0.45462939,2347,153665,1,1,1,1,39.218750_-120.281250
