basin,lat,lon,area_weight,elev,flowlen,soil_class,veg_class,basin_id,basin_id2,key
BearRiver,39.34375,-120.78125,0.01863006,1565,97282,1,1,1,1,39.343750_-120.781250
BearRiver,39.34375,-120.71875,0.46738522,1615,97637,1,1,1,1,39.343750_-120.718750
BearRiver,39.34375,-120.65625,0.21469182,1553,103392,1,1,1,1,39.343750_-120.656250
BearRiver,39.28125,-120.96875,0.07070773,1087,79897,1,1,1,1,39.281250_-120.968750
BearRiver,39.28125,-120.90625,1.74902709,1016,79085,1,1,1,1,39.281250_-120.906250
BearRiver,39.28125,-120.84375,3.2744131,1227,81392,1,1,1,1,39.281250_-120.843750
BearRiver,39.28125,-120.78125,3.8759432,1277,86244,1,1,1,1,39.281250_-120.781250
BearRiver,39.28125,-120.71875,3.46007423,1453,93179,1,1,1,1,39.281250_-120.718750
BearRiver,39.28125,-120.65625,0.6677523,1499,102274,1,1,1,1,39.281250_-120.656250
BearRiver,39.21875,-121.09375,1.59980433,733,54660,1,1,1,1,39.218750_-121.093750
BearRiver,39.21875,-121.03125,4.21896686,841,54963,1,1,1,1,39.218750_-121.031250
BearRiver,39.21875,-120.96875,4.62284344,883,57035,1,1,1,1,39.218750_-120.968750
BearRiver,39.21875,-120.90625,5.12481245,886,69574,1,1,1,1,39.218750_-120.906250
BearRiver,39.21875,-120.84375,4.78442613,1017,74905,1,1,1,1,39.218750_-120.843750
BearRiver,39.21875,-120.78125,1.87846227,1218,84054,1,1,1,1,39.218750_-120.781250
BearRiver,39.15625,-121.09375,3.35757447,654,44846,1,1,1,1,39.156250_-121.093750
BearRiver,39.15625,-121.03125,5.12937178,698,46195,1,1,1,1,39.156250_-121.031250
BearRiver,39.15625,-120.96875,5.12897463,733,50909,1,1,1,1,39.156250_-120.968750
BearRiver,39.15625,-120.90625,3.55089226,815,63982,1,1,1,1,39.156250_-120.906250
BearRiver,39.15625,-120.84375,0.46173689,929,73492,1,1,1,1,39.156250_-120.843750
BearRiver,39.09375,-121.34375,0.04962805,99,4298,1,1,1,1,39.093750_-121.343750
BearRiver,39.09375,-121.28125,1.57419628,144,4391,1,1,1,1,39.093750_-121.281250
BearRiver,39.09375,-121.21875,1.91530234,313,10862,1,1,1,1,39.093750_-121.218750
BearRiver,39.09375,-121.15625,1.67458141,446,19820,1,1,1,1,39.093750_-121.156250
BearRiver,39.09375,-121.09375,4.78614163,515,33520,1,1,1,1,39.093750_-121.093750
BearRiver,39.09375,-121.03125,5.13392502,589,38998,1,1,1,1,39.093750_-121.031250
BearRiver,39.09375,-120.96875,3.19456418,660,48796,1,1,1,1,39.093750_-120.968750
BearRiver,39.03125,-121.34375,0.40078474,89,0,1,1,1,1,39.031250_-121.343750
BearRiver,39.03125,-121.28125,3.80076582,136,2160,1,1,1,1,39.031250_-121.281250
BearRiver,39.03125,-121.21875,4.89155066,251,10786,1,1,1,1,39.031250_-121.218750
BearRiver,39.03125,-121.15625,5.12861391,374,19373,1,1,1,1,39.031250_-121.156250
BearRiver,39.03125,-121.09375,4.86560837,457,28343,1,1,1,1,39.031250_-121.093750
BearRiver,39.03125,-121.03125,5.13807428,547,37518,1,1,1,1,39.031250_-121.031250
BearRiver,39.03125,-120.96875,1.65940487,657,46505,1,1,1,1,39.031250_-120.968750
BearRiver,38.96875,-121.21875,0.29749646,269,16995,1,1,1,1,38.968750_-121.218750
BearRiver,38.96875,-121.15625,0.75639153,381,20482,1,1,1,1,38.968750_-121.156250
BearRiver,38.96875,-121.09375,0.08582299,600,36876,1,1,1,1,38.968750_-121.093750
BearRiver,38.96875,-121.03125,0.9906572,573,38381,1,1,1,1,38.968750_-121.031250
CacheCreek,39.28125,-122.96875,1.42540779,845,113910,1,1,1,1,39.281250_-122.968750
CacheCreek,39.28125,-122.71875,0.03408726,1607,99470,1,1,1,1,39.281250_-122.718750
CacheCreek,39.28125,-122.59375,0.0215647,952,65814,1,1,1,1,39.281250_-122.593750
CacheCreek,39.28125,-122.53125,0.0127618,876,65088,1,1,1,1,39.281250_-122.531250
CacheCreek,39.21875,-122.96875,1.50141392,666,106616,1,1,1,1,39.218750_-122.968750
CacheCreek,39.21875,-122.90625,1.52494587,686,102897,1,1,1,1,39.218750_-122.906250
CacheCreek,39.21875,-122.84375,1.4603476,1015,105588,1,1,1,1,39.218750_-122.843750
CacheCreek,39.21875,-122.78125,1.48374239,944,96734,1,1,1,1,39.218750_-122.781250
CacheCreek,39.21875,-122.71875,1.45715003,914,88439,1,1,1,1,39.218750_-122.718750
CacheCreek,39.21875,-122.65625,0.84391285,998,80887,1,1,1,1,39.218750_-122.656250
CacheCreek,39.21875,-122.59375,0.97707279,895,65459,1,1,1,1,39.218750_-122.593750
CacheCreek,39.21875,-122.53125,1.24020481,724,55283,1,1,1,1,39.218750_-122.531250
CacheCreek,39.21875,-122.46875,0.86806138,516,47926,1,1,1,1,39.218750_-122.468750
CacheCreek,39.21875,-122.40625,0.28359047,522,47441,1,1,1,1,39.218750_-122.406250
CacheCreek,39.15625,-123.03125,1.40179485,726,110636,1,1,1,1,39.156250_-123.031250
CacheCreek,39.15625,-122.96875,1.52630255,516,102113,1,1,1,1,39.156250_-122.968750
CacheCreek,39.15625,-122.90625,1.52630255,439,94357,1,1,1,1,39.156250_-122.906250
CacheCreek,39.15625,-122.84375,1.52630255,694,90985,1,1,1,1,39.156250_-122.843750
CacheCreek,39.15625,-122.78125,1.52630256,1097,75768,1,1,1,1,39.156250_-122.781250
CacheCreek,39.15625,-122.71875,1.52630256,853,68785,1,1,1,1,39.156250_-122.718750
CacheCreek,39.15625,-122.65625,1.52630256,819,62752,1,1,1,1,39.156250_-122.656250
CacheCreek,39.15625,-122.59375,1.52630256,727,62020,1,1,1,1,39.156250_-122.593750
CacheCreek,39.15625,-122.53125,1.52630256,583,47897,1,1,1,1,39.156250_-122.531250
CacheCreek,39.15625,-122.46875,1.52630256,588,39688,1,1,1,1,39.156250_-122.468750
CacheCreek,39.15625,-122.40625,0.55684579,452,38847,1,1,1,1,39.156250_-122.406250
CacheCreek,39.09375,-123.09375,0.64383108,798,145040,1,1,1,1,39.093750_-123.093750
CacheCreek,39.09375,-123.03125,1.52765742,679,114865,1,1,1,1,39.093750_-123.031250
CacheCreek,39.09375,-122.96875,1.52765742,503,101192,1,1,1,1,39.093750_-122.968750
CacheCreek,39.09375,-122.90625,1.52765742,433,91479,1,1,1,1,39.093750_-122.906250
CacheCreek,39.09375,-122.84375,1.52765742,425,84529,1,1,1,1,39.093750_-122.843750
CacheCreek,39.09375,-122.78125,1.52765742,670,74937,1,1,1,1,39.093750_-122.781250
CacheCreek,39.09375,-122.71875,1.52765742,689,66503,1,1,1,1,39.093750_-122.718750
CacheCreek,39.09375,-122.65625,1.52765742,651,57121,1,1,1,1,39.093750_-122.656250
CacheCreek,39.09375,-122.59375,1.52765742,596,52215,1,1,1,1,39.093750_-122.593750
CacheCreek,39.09375,-122.53125,1.52765742,554,46421,1,1,1,1,39.093750_-122.531250
CacheCreek,39.09375,-122.46875,1.52765742,740,33715,1,1,1,1,39.093750_-122.468750
CacheCreek,39.09375,-122.40625,0.77488998,426,31091,1,1,1,1,39.093750_-122.406250
CacheCreek,39.03125,-123.03125,1.27606138,812,133222,1,1,1,1,39.031250_-123.031250
CacheCreek,39.03125,-122.96875,1.52867463,538,96932,1,1,1,1,39.031250_-122.968750
CacheCreek,39.03125,-122.90625,1.52901047,424,89675,1,1,1,1,39.031250_-122.906250
CacheCreek,39.03125,-122.84375,1.52901047,416,82687,1,1,1,1,39.031250_-122.843750
