basin,date,sim_mm,obs_mm,cal_start,cal_end
DPR_I,1951-10-31,6.769324,4.834154,1951-10,2003-09
DPR_I,1951-11-30,13.329015,7.239494,1951-10,2003-09
DPR_I,1951-12-31,36.87754,42.954539,1951-10,2003-09
DPR_I,1952-01-31,51.748499,81.267341,1951-10,2003-09
DPR_I,1952-02-29,40.330929,71.105175,1951-10,2003-09
DPR_I,1952-03-31,52.500658,73.336016,1951-10,2003-09
DPR_I,1952-04-30,84.683776,96.194161,1951-10,2003-09
DPR_I,1952-05-31,157.36038,197.023876,1951-10,2003-09
DPR_I,1952-06-30,188.35322,163.001656,1951-10,2003-09
DPR_I,1952-07-31,95.724028,82.29705,1951-10,2003-09
DPR_I,1952-08-31,19.024607,12.279652,1951-10,2003-09
DPR_I,1952-09-30,5.981214,10.59579,1951-10,2003-09
DPR_I,1952-10-31,0.961763,4.518507,1951-10,2003-09
DPR_I,1952-11-30,7.161042,4.1624,1951-10,2003-09
DPR_I,1952-12-31,17.121641,13.166367,1951-10,2003-09
DPR_I,1953-01-31,40.26086,36.089989,1951-10,2003-09
DPR_I,1953-02-28,10.840213,23.869639,1951-10,2003-09
DPR_I,1953-03-31,24.122187,34.945694,1951-10,2003-09
DPR_I,1953-04-30,40.132947,53.414125,1951-10,2003-09
DPR_I,1953-05-31,45.635392,66.257743,1951-10,2003-09
DPR_I,1953-06-30,99.645383,105.313641,1951-10,2003-09
DPR_I,1953-07-31,53.570504,44.603808,1951-10,2003-09
DPR_I,1953-08-31,9.959965,8.112001,1951-10,2003-09
DPR_I,1953-09-30,1.869315,7.73829,1951-10,2003-09
DPR_I,1953-10-31,4.312945,4.516036,1951-10,2003-09
DPR_I,1953-11-30,9.914496,5.660951,1951-10,2003-09
DPR_I,1953-12-31,6.631703,6.522648,1951-10,2003-09
DPR_I,1954-01-31,20.614235,11.059377,1951-10,2003-09
DPR_I,1954-02-28,42.986543,25.349967,1951-10,2003-09
DPR_I,1954-03-31,56.06524,58.350198,1951-10,2003-09
DPR_I,1954-04-30,91.811256,70.435273,1951-10,2003-09
DPR_I,1954-05-31,140.806977,110.030121,1951-10,2003-09
DPR_I,1954-06-30,54.790602,48.207188,1951-10,2003-09
DPR_I,1954-07-31,10.617994,8.270134,1951-10,2003-09
DPR_I,1954-08-31,1.653804,5.139917,1951-10,2003-09
DPR_I,1954-09-30,0.103941,6.654219,1951-10,2003-09
DPR_I,1954-10-31,0.000277,3.310277,1951-10,2003-09
DPR_I,1954-11-30,10.603793,4.807592,1951-10,2003-09
DPR_I,1954-12-31,17.49841,11.046405,1951-10,2003-09
DPR_I,1955-01-31,17.981798,19.029307,1951-10,2003-09
DPR_I,1955-02-28,14.773604,23.858519,1951-10,2003-09
DPR_I,1955-03-31,19.700366,40.605098,1951-10,2003-09
DPR_I,1955-04-30,23.224439,43.016926,1951-10,2003-09
DPR_I,1955-05-31,66.044822,61.755296,1951-10,2003-09
