basin,date,sim_mm,obs_mm,cal_start,cal_end
BearRiver,1951-10-31,14.907785,6.749559,1951-10,2010-09
BearRiver,1951-11-30,31.582245,35.435183,1951-10,2010-09
BearRiver,1951-12-31,136.416334,114.742497,1951-10,2010-09
BearRiver,1952-01-31,281.748556,258.170617,1951-10,2010-09
BearRiver,1952-02-29,179.991674,239.609331,1951-10,2010-09
BearRiver,1952-03-31,193.828637,188.987641,1951-10,2010-09
BearRiver,1952-04-30,93.007963,101.243379,1951-10,2010-09
BearRiver,1952-05-31,26.084432,45.559521,1951-10,2010-09
BearRiver,1952-06-30,5.189116,10.124338,1951-10,2010-09
BearRiver,1952-07-31,1.281511,8.436948,1951-10,2010-09
BearRiver,1952-08-31,0.019783,3.374779,1951-10,2010-09
BearRiver,1952-09-30,0.365985,6.749559,1951-10,2010-09
BearRiver,1952-10-31,0.006765,5.062169,1951-10,2010-09
BearRiver,1952-11-30,10.998529,10.124338,1951-10,2010-09
BearRiver,1952-12-31,58.442916,47.24691,1951-10,2010-09
BearRiver,1953-01-31,174.528685,160.302017,1951-10,2010-09
BearRiver,1953-02-28,26.184874,21.936066,1951-10,2010-09
BearRiver,1953-03-31,91.677282,62.433417,1951-10,2010-09
BearRiver,1953-04-30,67.990806,59.058638,1951-10,2010-09
BearRiver,1953-05-31,51.04668,43.872131,1951-10,2010-09
BearRiver,1953-06-30,18.479245,15.186507,1951-10,2010-09
BearRiver,1953-07-31,0.615663,3.374779,1951-10,2010-09
BearRiver,1953-08-31,0.005626,3.374779,1951-10,2010-09
BearRiver,1953-09-30,0.032927,5.062169,1951-10,2010-09
BearRiver,1953-10-31,3.855625,6.749559,1951-10,2010-09
BearRiver,1953-11-30,17.793896,16.873897,1951-10,2010-09
BearRiver,1953-12-31,11.505333,30.373014,1951-10,2010-09
BearRiver,1954-01-31,80.390275,80.994703,1951-10,2010-09
BearRiver,1954-02-28,89.944262,92.806431,1951-10,2010-09
BearRiver,1954-03-31,117.144832,119.804665,1951-10,2010-09
BearRiver,1954-04-30,74.513659,64.120807,1951-10,2010-09
BearRiver,1954-05-31,18.096282,18.561286,1951-10,2010-09
BearRiver,1954-06-30,7.358961,8.436948,1951-10,2010-09
BearRiver,1954-07-31,0.002338,3.374779,1951-10,2010-09
BearRiver,1954-08-31,0.200885,3.374779,1951-10,2010-09
BearRiver,1954-09-30,0.068159,3.374779,1951-10,2010-09
BearRiver,1954-10-31,0.198168,6.749559,1951-10,2010-09
BearRiver,1954-11-30,14.623275,13.499117,1951-10,2010-09
BearRiver,1954-12-31,49.231854,55.683859,1951-10,2010-09
BearRiver,1955-01-31,69.919176,74.245145,1951-10,2010-09
BearRiver,1955-02-28,36.742944,33.747793,1951-10,2010-09
BearRiver,1955-03-31,38.764682,33.747793,1951-10,2010-09
BearRiver,1955-04-30,58.401406,38.809962,1951-10,2010-09
BearRiver,1955-05-31,21.915,26.998234,1951-10,2010-09
BearRiver,1955-06-30,1.819945,5.062169,1951-10,2010-09
BearRiver,1955-07-31,0.169612,1.68739,1951-10,2010-09
BearRiver,1955-08-31,0.0,0.0,1951-10,2010-09
BearRiver,1955-09-30,0.395982,1.68739,1951-10,2010-09
BearRiver,1955-10-31,0.403765,3.374779,1951-10,2010-09
BearRiver,1955-11-30,15.172053,10.124338,1951-10,2010-09
BearRiver,1955-12-31,352.137985,379.662672,1951-10,2010-09
BearRiver,1956-01-31,309.710115,290.231021,1951-10,2010-09
BearRiver,1956-02-29,119.852136,106.305548,1951-10,2010-09
BearRiver,1956-03-31,67.446561,67.495586,1951-10,2010-09
BearRiver,1956-04-30,41.992063,23.623455,1951-10,2010-09
BearRiver,1956-05-31,52.525143,42.184741,1951-10,2010-09
BearRiver,1956-06-30,3.836356,8.436948,1951-10,2010-09
BearRiver,1956-07-31,0.010142,3.374779,1951-10,2010-09
BearRiver,1956-08-31,0.0,1.68739,1951-10,2010-09
BearRiver,1956-09-30,0.31038,5.062169,1951-10,2010-09
BearRiver,1956-10-31,10.526898,11.811728,1951-10,2010-09
BearRiver,1956-11-30,5.235199,11.811728,1951-10,2010-09
BearRiver,1956-12-31,6.879471,16.873897,1951-10,2010-09
BearRiver,1957-01-31,21.009078,23.623455,1951-10,2010-09
BearRiver,1957-02-28,84.220486,77.619924,1951-10,2010-09
BearRiver,1957-03-31,104.868335,99.55599,1951-10,2010-09
BearRiver,1957-04-30,56.402528,38.809962,1951-10,2010-09
BearRiver,1957-05-31,98.390629,86.056872,1951-10,2010-09
BearRiver,1957-06-30,8.357895,11.811728,1951-10,2010-09
BearRiver,1957-07-31,0.001781,5.062169,1951-10,2010-09
BearRiver,1957-08-31,0.0,1.68739,1951-10,2010-09
BearRiver,1957-09-30,1.474563,3.374779,1951-10,2010-09
BearRiver,1957-10-31,8.876983,13.499117,1951-10,2010-09
BearRiver,1957-11-30,8.858452,13.499117,1951-10,2010-09
BearRiver,1957-12-31,41.706083,38.809962,1951-10,2010-09
BearRiver,1958-01-31,78.359536,72.557755,1951-10,2010-09
BearRiver,1958-02-28,220.766647,214.298486,1951-10,2010-09
BearRiver,1958-03-31,204.895103,187.300252,1951-10,2010-09
BearRiver,1958-04-30,237.311358,237.921941,1951-10,2010-09
BearRiver,1958-05-31,31.836499,33.747793,1951-10,2010-09
BearRiver,1958-06-30,11.171917,11.811728,1951-10,2010-09
BearRiver,1958-07-31,0.156299,0.0,1951-10,2010-09
BearRiver,1958-08-31,0.0,0.0,1951-10,2010-09
BearRiver,1958-09-30,0.950638,1.68739,1951-10,2010-09
BearRiver,1958-10-31,0.230665,1.68739,1951-10,2010-09
BearRiver,1958-11-30,5.173427,10.124338,1951-10,2010-09
BearRiver,1958-12-31,5.623889,6.749559,1951-10,2010-09
BearRiver,1959-01-31,53.921209,47.24691,1951-10,2010-09
BearRiver,1959-02-28,94.489591,96.18121,1951-10,2010-09
BearRiver,1959-03-31,38.701997,33.747793,1951-10,2010-09
BearRiver,1959-04-30,21.652408,10.124338,1951-10,2010-09
BearRiver,1959-05-31,8.787089,1.68739,1951-10,2010-09
BearRiver,1959-06-30,0.561443,0.0,1951-10,2010-09
BearRiver,1959-07-31,0.0,0.0,1951-10,2010-09
BearRiver,1959-08-31,0.001555,0.0,1951-10,2010-09
BearRiver,1959-09-30,8.883893,0.0,1951-10,2010-09
BearRiver,1959-10-31,0.0,1.68739,1951-10,2010-09
BearRiver,1959-11-30,0.0,3.374779,1951-10,2010-09
BearRiver,1959-12-31,8.61071,10.124338,1951-10,2010-09
BearRiver,1960-01-31,48.892597,33.747793,1951-10,2010-09
BearRiver,1960-02-29,145.8715,146.8029,1951-10,2010-09
BearRiver,1960-03-31,94.204198,69.182976,1951-10,2010-09
BearRiver,1960-04-30,44.268917,25.310845,1951-10,2010-09
BearRiver,1960-05-31,24.911477,13.499117,1951-10,2010-09
BearRiver,1960-06-30,1.870746,1.68739,1951-10,2010-09
BearRiver,1960-07-31,0.03478,0.0,1951-10,2010-09
BearRiver,1960-08-31,0.0,0.0,1951-10,2010-09
BearRiver,1960-09-30,0.0,1.68739,1951-10,2010-09
BearRiver,1960-10-31,0.014784,1.68739,1951-10,2010-09
BearRiver,1960-11-30,27.642897,16.873897,1951-10,2010-09
BearRiver,1960-12-31,13.81088,20.248676,1951-10,2010-09
BearRiver,1961-01-31,6.331502,11.811728,1951-10,2010-09
BearRiver,1961-02-28,39.257656,40.497352,1951-10,2010-09
BearRiver,1961-03-31,61.884873,43.872131,1951-10,2010-09
BearRiver,1961-04-30,33.002455,23.623455,1951-10,2010-09
BearRiver,1961-05-31,22.487864,13.499117,1951-10,2010-09
BearRiver,1961-06-30,4.241154,5.062169,1951-10,2010-09
BearRiver,1961-07-31,3.1e-05,1.68739,1951-10,2010-09
BearRiver,1961-08-31,0.003566,0.0,1951-10,2010-09
BearRiver,1961-09-30,0.074762,3.374779,1951-10,2010-09
BearRiver,1961-10-31,1.444065,0.0,1951-10,2010-09
BearRiver,1961-11-30,6.93111,5.062169,1951-10,2010-09
BearRiver,1961-12-31,25.723851,25.310845,1951-10,2010-09
BearRiver,1962-01-31,29.116845,26.998234,1951-10,2010-09
BearRiver,1962-02-28,223.380396,219.360655,1951-10,2010-09
BearRiver,1962-03-31,134.936789,80.994703,1951-10,2010-09
BearRiver,1962-04-30,40.486678,33.747793,1951-10,2010-09
BearRiver,1962-05-31,18.081136,10.124338,1951-10,2010-09
BearRiver,1962-06-30,1.866913,0.0,1951-10,2010-09
BearRiver,1962-07-31,0.002464,1.68739,1951-10,2010-09
BearRiver,1962-08-31,0.062334,0.0,1951-10,2010-09
BearRiver,1962-09-30,0.0,0.0,1951-10,2010-09
BearRiver,1962-10-31,112.692247,143.428121,1951-10,2010-09
BearRiver,1962-11-30,20.643344,16.873897,1951-10,2010-09
BearRiver,1962-12-31,69.483282,65.808197,1951-10,2010-09
BearRiver,1963-01-31,29.719437,50.62169,1951-10,2010-09
BearRiver,1963-02-28,170.179738,136.678562,1951-10,2010-09
BearRiver,1963-03-31,103.801311,72.557755,1951-10,2010-09
BearRiver,1963-04-30,185.460113,192.362421,1951-10,2010-09
BearRiver,1963-05-31,49.530152,47.24691,1951-10,2010-09
BearRiver,1963-06-30,10.660872,11.811728,1951-10,2010-09
BearRiver,1963-07-31,0.589314,1.68739,1951-10,2010-09
