arc,system,unimp_anchor,vic_basin,basin_15cdec,basin_11obs,basin_9unimp,in_calsim3
I_ALD002,FOLS,UNIMP_FOLS,8RI_FOL_I,FOL,AMF,,True
I_ALD004,FOLS,UNIMP_FOLS,8RI_FOL_I,FOL,AMF,,True
I_ALMNR,OROV,UNIMP_OROV,8RI_OROVI,ORO,FTO,,True
I_ALOHA,FOLS,UNIMP_FOLS,8RI_FOL_I,FOL,AMF,,True
I_AMADR,,,I_AMADR,,,,True
I_ANG017,ST,UNIMP_ST,8RI_N_MEL,NML,SNS,,True
I_ANT011,,,I_ANT011,,,,True
I_ANTLP,OROV,UNIMP_OROV,8RI_OROVI,ORO,FTO,,True
I_BANOS,,,I_BANOS,,,,True
I_BCC014,,,I_BCC014,,,,True
I_BCK040,,,I_BCK040,,,,True
I_BCN010,SRBB,UNIMP_SRBB,8RI_SRBB,BND,BND,,True
I_BEARD,ST,UNIMP_ST,8RI_N_MEL,NML,SNS,,True
I_BLKBT,,,I_BLKBT,,BLB,StonyCreek,True
I_BOWMN,YUBA,UNIMP_YUBA,8RI_SMART,YRS,YRS,,True
I_BRC003,,,I_BRC003,,,CacheCreek,True
I_BRR023,,,I_BRR023,,,BearRiver,True
I_BSH003,FOLS,UNIMP_FOLS,8RI_FOL_I,FOL,AMF,,True
I_BTC048,,,I_BTC048,,,,True
I_BTL006,SRBB,UNIMP_SRBB,8RI_SRBB,BND,BND,,True
I_BTVLY,OROV,UNIMP_OROV,8RI_OROVI,ORO,FTO,,True
I_BUCKS,OROV,UNIMP_OROV,8RI_OROVI,ORO,FTO,,True
I_BUR005,,,I_BUR005,,,,True
I_BVC007,ST,UNIMP_ST,8RI_N_MEL,NML,SNS,,True
I_CAP000,,,I_CAP000,,,,True
I_CAPLS,FOLS,UNIMP_FOLS,8RI_FOL_I,FOL,AMF,,True
I_CCH053,,,I_CCH053,,,CacheCreek,True
I_CFS001,ST,UNIMP_ST,8RI_N_MEL,NML,SNS,,True
I_CHC000,,,I_CHC000,,,,True
I_CHW031,,,I_CHW031,,,,True
I_CLR011,SRBB,UNIMP_SRBB,8RI_SRBB,BND,BND,,True
I_CLRLK,,,I_CLRLK,,,CacheCreek,True
I_CLV026,,,I_CLV026,,,,True
I_CMBIE,,,I_CMBIE,,,BearRiver,True
I_CMCHE,,,I_CMCHE,,,,True
I_CMP001,,,I_CMP001,,,CosumnesRiver,True
I_CMP014,,,I_CMP014,,,CosumnesRiver,True
I_CMPFW,,,I_CMPFW,,,BearRiver,True
I_COL003,,,I_COL003,MKM,,MokelumneRiver,True
