cid,node,ct_name,type,sq_mi,n_bcm_cells
0,MSH015, ,Rim,87.2765,3099
1,ORT014, ,Rim,141.307,5017
2,SLUIS, ,Rim,87.1422,2315
3,BANOS, ,Rim,149.595,5279
4,COW014,CT_BENDBRIDGE,Rim,384.035,13639
5,CSM035, ,Rim,476.361,16935
6,BCK040, ,Rim,71.4354,2533
7,ESTMN, ,Rim,234.812,8341
8,STS059, ,Rim,17.7978,637
9,HNSLY, ,Rim,235.595,8386
10,MLRTN, ,Rim,1637.8,57011
11,NHGAN, ,Rim,361.611,12596
12,STS072, ,Rim,291.896,9542
13,SFM005, ,Rim,64.0549,2276
14,TULOC, ,Rim,74.68,2546
15,CLR011,CT_BENDBRIDGE,Rim,28.3455,998
16,CWD003,CT_BENDBRIDGE,Valley,174.046,6170
17,SAC265,CT_BENDBRIDGE,Valley,143.235,5093
18,SAC196,CT_BUTTECITY,Valley,139.189,4958
19,SAC185,CT_BUTTECITY,Valley,44.1858,1569
20,CBD049,CT_COLUSA,Valley,407.134,14474
21,DHC021,CT_NICOLAUS,Rim,96.7029,3438
22, , ,Rim,14452.1,511445
23,DED044, ,Rim,42.6065,1515
24,DPC008, ,Rim,72.7754,2592
25,GRZ012, ,Rim,54.2954,1930
26,HON021,CT_NICOLAUS,Rim,30.5528,1086
27,SHSTA,SHSTA,Rim,6588.45,230825
28,TRNTY, ,Rim,692.856,23516
29,WKYTN,CT_BENDBRIDGE,Rim,199.856,6872
30,BTL006,CT_BENDBRIDGE,Rim,360.368,12798
31,CWD018,CT_BENDBRIDGE,Rim,394.942,14032
32,BCN010,CT_BENDBRIDGE,Rim,73.5176,2612
33,EBF001,CT_OROVILLE,Rim,955.672,33925
34,MLC006,CT_BUTTECITY,Rim,131.95,4683
35,PYN001,CT_BUTTECITY,Rim,101.921,3620
36,BUR005, ,Rim,72.1428,2565
37,DCM027, ,Rim,39.0293,1387
38,DRC012,CT_BUTTECITY,Rim,208.998,7419
39,ANT011,CT_BUTTECITY,Rim,123.776,4390
40,BTC048,CT_SACSLOUGH,Rim,147.694,5215
41,BCC014,CT_SACSLOUGH,Rim,72.1497,2570
42,ELD027,CT_BUTTECITY,Rim,92.8246,3293
43,LGRSV,CT_OROVILLE,Rim,25.6698,831
44,CBD049,CT_COLUSA,Valley,244.075,8665
45,BSL001,CT_SACSLOUGH,Valley,120.917,4297
46,BSL001,CT_SACSLOUGH,Valley,77.8201,2775
47,DWRPS1,CT_SACSLOUGH,Valley,129.921,4619
48,HON004,CT_NICOLAUS,Valley,57.7088,2060
49,RFS13,CT_NICOLAUS,Valley,118.935,4215
50,FTR029,CT_NICOLAUS,Valley,38.208,1360
51,DWRPS1,CT_SACSLOUGH,Valley,100.837,3578
52,BSL001,CT_SACSLOUGH,Valley,74.2272,2653
53,THM028,CT_BUTTECITY,Rim,204.128,7256
54,BLKBT,STONY,Rim,389.818,13593
55,SGRGE,STONY,Rim,257.485,9046
56,MERLC,CT_NICOLAUS,Rim,71.6025,2485
57,EPARK,STONY,Rim,97.6343,3361
58,CLRLK,CT_YOLO,Rim,489.455,15061
59,DER004,CT_SMARTVILLE,Rim,35.6403,1269
60,BRR023,CT_WHEATLAND,Rim,105.592,3754
61,BRYSA,CT_DAVIS,Rim,567.457,19025
62,LWSTN, ,Rim,26.1408,870
63,AMADR, ,Rim,60.1789,2119
64,DSC035, ,Rim,158.899,5645
65,CHC000, ,Rim,186.862,6611
66,SSL001,CT_SACSLOUGH,Valley,71.2847,2537
67,RFS18,CT_SACSLOUGH,Valley,54.3675,1923
68,RD1500,CT_SACSLOUGH,Valley,105.029,3725
69,YBP023,No Correction,Valley,267.741,9512
70,LJC022, ,Rim,200.938,7073
71,DCT050, ,Rim,65.4621,2324
72,SJR265, ,Rim,36.0441,1278
73,MPS038, ,Rim,108.891,3868
74,OWN040, ,Rim,25.7269,921
75,WBF015,CT_OROVILLE,Rim,63.6823,2257
76,SFF011,CT_OROVILLE,Rim,57.9017,2038
77,SLYCK,CT_OROVILLE,Rim,24.0455,809
78,MOK019, ,Valley,490.485,17380
79,CAP000, ,Rim,47.3678,1682
80,ORG000, ,Rim,112.587,3993
81,SJR038, ,Valley,222.733,7920
82,TUO017, ,Valley,197.688,6921
83,SJR081, ,Valley,394.039,13846
84,LOSVQ, ,Rim,18.6867,660
85,SFY007,CT_SMARTVILLE,Rim,146.646,5205
86,SCW008,CT_BENDBRIDGE,Rim,372.174,13208
87,LDC029,CT_SACSLOUGH,Rim,33.5468,1187
88,LCC038,CT_SACSLOUGH,Rim,25.5197,907
89,SLT009,CT_SMARTVILLE,Rim,49.2132,1752
90,YBP023,No Correction,Valley,60.4507,2146
91,SAC066,CT_FREEPORT,Valley,67.891,2414
92,CSL005,No Correction,Valley,372.801,12615
93,ABN000,CT_VERONA,Valley,42.2003,1506
94,CBD028,CT_COLUSA,Valley,370.521,13189
95, , ,Rim,1119.87,39810
96,FTR012,CT_NICOLAUS,Valley,143.821,5095
97,EBP050, ,Valley,639.231,22710
98,SJR180, ,Valley,88.3214,3143
99,SAL006, ,Valley,312.173,11057
100,SLD027, ,Valley,213.227,7571
101, , ,Valley,1228.31,43680
102,SAC217,CT_BUTTECITY,Valley,547.561,19440
103,SAC048,No Correction,Valley,158.236,5615
104,CMCHE, ,Rim,42.4022,1041
105,SJR258, ,Rim,79.8115,2836
106,CLV026, ,Rim,104.44,3712
107,CHW031, ,Rim,30.3684,1077
108,DBC024, ,Rim,31.9509,1140
109,COT033, ,Rim,30.3174,1075
110,MNS000,CT_BUTTECITY,Rim,292.267,10386
111,LPC007, ,Rim,81.9149,2913
112,FRS046, ,Rim,45.8221,1623
113,EMD001,CT_FREEPORT,Valley,83.5548,2966
114,RFS8S,CT_COLUSA,Valley,138.025,4896
115,QNT005, ,Rim,55.0372,1952
116,SLO007, ,Rim,53.4048,1895
117,ING008, ,Rim,62.2512,2210
118,EMD007,CT_FREEPORT,Valley,0.0150834,1
119,EMD007,CT_FREEPORT,Valley,0.0291567,2
120,EMD007,CT_FREEPORT,Valley,0.0154465,2
121,CRC002,CT_VERONA,Valley,0.498902,18
122,ABN000,CT_VERONA,Valley,0.279327,8
123,ABN000,CT_VERONA,Valley,0.430991,14
124,CCK022,CT_VERONA,Valley,80.7485,2873
125,YUB011,CT_NICOLAUS,Valley,69.2536,2430
126,DEE023, ,Rim,74.7954,2649
127,KSWCK,CT_BENDBRIDGE,Valley,31.0182,1071
128,SAC271,CT_BENDBRIDGE,Valley,126.805,4504
129,SAC257,CT_BENDBRIDGE,Valley,22.6192,799
130,KSWCK,CT_BENDBRIDGE,Valley,8.46757,281
131,SAC277,CT_BENDBRIDGE,Valley,134.966,4784
132,COW003,CT_BENDBRIDGE,Valley,40.869,1448
133,SJR227, ,Valley,37.6446,1330
134,SJR214, ,Valley,3.56785,127
135,FRS022, ,Valley,120.945,4278
136,EBP030, ,Valley,0.037905,1
137,EBP030, ,Valley,0.240398,7
138,EBP030, ,Valley,4.79971,177
139,EBP030, ,Valley,17.0691,608
140,EBP050, ,Valley,17.0556,603
141,EBP030, ,Valley,115.448,4117
142,EBP019, ,Valley,102.067,3622
143,EBP032, ,Valley,23.3907,830
144,SJR134, ,Valley,42.2961,1507
145,MCD050, ,Valley,102.432,3643
146,MCD050, ,Valley,37.9867,1338
147,MCD021, ,Valley,12.7571,456
148,MCD021, ,Valley,17.2666,611
149,MSN004, ,Valley,22.8482,818
150,SJR106, ,Valley,19.0637,683
151,SJR075, ,Valley,78.512,2778
152,SJR070, ,Valley,3.2956,121
153,OMR039, ,Valley,0.483311,14
154,OMR039, ,Valley,11.2674,405
155,TUO017, ,Valley,29.7932,1047
156,SAC207,CT_BUTTECITY,Valley,185.095,6568
157,SAC217,CT_BUTTECITY,Valley,121.119,4291
158,SAC201,CT_BUTTECITY,Valley,28.3197,996
159,CBD049,CT_COLUSA,Valley,13.8286,493
160,SAC185,CT_BUTTECITY,Valley,39.9466,1408
161,SAC185,CT_BUTTECITY,Valley,27.4451,976
162,CBD049,CT_COLUSA,Valley,1.08302,34
163, , , ,1062.03,30417
164,SAC141,CT_WILKINSSL,Valley,12.1362,429
165,SAC185,CT_BUTTECITY,Valley,10.8651,383
166,CBD038,CT_COLUSA,Valley,223.345,7934
167,CBD038,CT_COLUSA,Valley,126.626,4491
168,CBD028,CT_COLUSA,Valley,105.031,3736
169,YBP034,CT_WOODLAND,Valley,18.6716,653
170,CCH032,CT_YOLO,Valley,119.314,4240
171,PTH021,CT_DAVIS,Valley,23.0971,814
172,CCH017,CT_YOLO,Valley,68.4605,2425
173,PTH024,CT_DAVIS,Valley,11.2528,402
174,PTH024,CT_DAVIS,Valley,28.0748,996
175,PTH021,CT_DAVIS,Valley,6.24959,221
176,SAC196,CT_BUTTECITY,Valley,22.142,784
177,BSL001,CT_SACSLOUGH,Valley,27.2182,967
178,BTC017,CT_SACSLOUGH,Valley,77.0378,2734
179,BTC017,CT_SACSLOUGH,Valley,0.108811,3
180,BTC017,CT_SACSLOUGH,Valley,0.20195,7
181,BTC017,CT_SACSLOUGH,Valley,0.475884,14
182,BTC017,CT_SACSLOUGH,Valley,0.646507,23
183,BTC017,CT_SACSLOUGH,Valley,10.7021,376
184,BSL001,CT_SACSLOUGH,Valley,1.93273,71
185,BTC017,CT_SACSLOUGH,Valley,73.2087,2604
186,BSL001,CT_SACSLOUGH,Valley,156.228,5526
187,FTR059,CT_NICOLAUS,Valley,40.5214,1176
188,HON004,CT_NICOLAUS,Valley,1.41488,51
189,BTC017,CT_SACSLOUGH,Valley,0.245675,8
190,EMD007,CT_FREEPORT,Valley,50.5653,1802
191,ABN010,CT_VERONA,Valley,58.4477,2065
192,HON004,CT_NICOLAUS,Valley,24.2736,866
193,HON004,CT_NICOLAUS,Valley,3.51382,125
194,JCK002,CT_NICOLAUS,Valley,33.8223,1199
195,JCK002,CT_NICOLAUS,Valley,16.9836,608
196,BRR004,CT_NICOLAUS,Valley,20.1691,717
197,BRR004,CT_NICOLAUS,Valley,18.648,663
198,CRC002,CT_VERONA,Valley,19.5014,700
199,ABN000,CT_VERONA,Valley,23.7028,838
200,CRC002,CT_VERONA,Valley,11.6779,414
201,CRC002,CT_VERONA,Valley,28.6684,1016
202,CRC002,CT_VERONA,Valley,8.34014,298
203,CRC002,CT_VERONA,Valley,21.9241,781
204,EMD007,CT_FREEPORT,Valley,71.9071,2547
205,AMR007,CT_FREEPORT,Valley,37.1775,1335
206,AMR004,CT_FREEPORT,Valley,31.9436,1120
207,NTOMA,CT_FAIROAKS,Valley,8.7172,302
208,NTOMA,CT_FAIROAKS,Valley,33.2599,1167
209,MOK014,No Correction,Valley,41.8286,1484
210,OMR039, ,Valley,20.9306,734
211,OMR039, ,Valley,4.10812,149
212,OMR039, ,Valley,0.264411,9
213,OMR039, ,Valley,0.241539,6
214,SJR028, ,Valley,105.728,3726
215,SJR038, ,Valley,2.83937,99
216,SJR022, ,Valley,63.3572,2180
217,MOK035, ,Valley,35.0616,1241
218,SJR028, ,Valley,34.5449,1246
219,FCS007, ,Valley,81.9136,2917
220,FCS007, ,Valley,102,3522
221,STS017, ,Valley,108.532,3850
222,SJR053, ,Valley,48.8456,1732
223,SJR070, ,Valley,39.0054,1381
224,SJR043, ,Valley,31.6023,1121
225,SJR117, ,Valley,43.9697,1558
226,EBP005, ,Valley,332.95,11831
227,EBP050, ,Valley,0.734774,26
228,SJR117, ,Valley,18.0491,634
229,MSN004, ,Valley,185.028,6571
230,MSN004, ,Valley,57.8319,1904
231,SJR117, ,Valley,18.6696,659
232,SJR075, ,Valley,79.809,2829
233,SJR106, ,Valley,7.61404,275
234,SJR091, ,Valley,85.0982,3021
235,SJR091, ,Valley,9.73178,347
236,OMR039, ,Valley,0.888822,32
237,OMR039, ,Valley,1.48586,53
238,SJR070, ,Valley,9.18456,323
239,OMR039, ,Valley,1.62347,55
240,SAC146,CT_WILKINSSL,Valley,1.81447,64
241,SAC154,CT_WILKINSSL,Valley,5.2581,184
242,MCD055, ,Rim,22.9289,787
243,CRC002,CT_VERONA,Valley,26.736,948
244,CCH053,CT_YOLO,Rim,248.025,8777
245,INDVL,CT_YOLO,Rim,120.931,4151
246,BRC003,CT_YOLO,Rim,94.9552,3361
247,EBP032, ,Valley,8.12101,287
248,SJR043, ,Valley,6.90372,237
249,CCK007,CT_VERONA,Valley,19.0215,668
250,CCK007,CT_VERONA,Valley,10.9967,396
251,BRR011,CT_WHEATLAND,Valley,4.00177,141
252,BRR004,CT_NICOLAUS,Valley,6.9418,246
253,HON004,CT_NICOLAUS,Valley,4.5312,154
254,LKVLY,CT_FAIROAKS,Rim,4.36067,137
255,NFA054,CT_FAIROAKS,Rim,185.406,6585
256,RLLNS,CT_WHEATLAND,Rim,103.683,3655
257,CMBIE,CT_WHEATLAND,Rim,31.8448,1130
258,TUO054, ,Rim,17.2758,609
259,NFA022,CT_FAIROAKS,Rim,145.136,5152
260,NBLDB,CT_SMARTVILLE,Rim,189.171,6557
261,NFY029,CT_SMARTVILLE,Rim,250.183,8882
262,ENGLB,CT_SMARTVILLE,Rim,135.508,4756
263,MFY013,CT_SMARTVILLE,Rim,107.719,3830
264,OGN005,CT_SMARTVILLE,Rim,29.0863,1025
265,MFA001,CT_FAIROAKS,Rim,93.4866,3322
266,FOLSM,CT_FAIROAKS,Rim,193.997,6230
267,MFF087,CT_OROVILLE,Rim,460.212,16350
268,OROVL,CT_OROVILLE,Rim,311.88,10105
269,SFF008,CT_OROVILLE,Rim,24.5214,855
270,WBF030,CT_OROVILLE,Rim,38.0438,1353
271,WBF006,CT_OROVILLE,Rim,36.2822,1253
272,WLF013,CT_WHEATLAND,Rim,15.7483,565
273,RVPHB,CT_OROVILLE,Rim,7.59692,267
274,CMPFW,CT_WHEATLAND,Rim,25.097,759
275,BRR011,CT_WHEATLAND,Valley,5.48441,195
276,BRR004,CT_NICOLAUS,Valley,21.7829,780
277,YBP032,CT_WOODLAND,Valley,26.6111,948
278,PARDE, ,Rim,33.6541,1033
279,SCOTF,CT_SMARTVILLE,Rim,14.528,488
280,SFY048,CT_SMARTVILLE,Rim,54.2432,1898
281,FRDYC,CT_SMARTVILLE,Rim,31.6268,1047
282,BOWMN,CT_SMARTVILLE,Rim,22.8581,744
283,JKSMD,CT_SMARTVILLE,Rim,37.1519,1243
284,LCBRF,CT_SMARTVILLE,Rim,17.5034,604
285,SFD003,CT_SMARTVILLE,Rim,5.67755,201
286,DER001,CT_SMARTVILLE,Rim,28.537,1015
287,NMA003,CT_FAIROAKS,Rim,88.6991,3148
288,MFA036,CT_FAIROAKS,Rim,32.0777,1136
289,LOONL,CT_FAIROAKS,Rim,8.03143,196
290,RUB002,CT_FAIROAKS,Rim,118.095,4199
291,STMPY,CT_FAIROAKS,Rim,14.8928,507
292,HHOLE,CT_FAIROAKS,Rim,80.9806,2842
293,LRB004,CT_FAIROAKS,Rim,5.85396,208
294,RUB047,CT_FAIROAKS,Rim,26.4877,942
295,FRMDW,CT_FAIROAKS,Rim,47.0378,1578
296,DCC010,CT_FAIROAKS,Rim,9.70097,345
297,GERLE,CT_FAIROAKS,Rim,22.6794,810
298,UNVLY,CT_FAIROAKS,Rim,83.8035,2799
299,ICEHS,CT_FAIROAKS,Rim,27.292,922
300,SILVR,CT_FAIROAKS,Rim,15.0442,501
301,CAPLS,CT_FAIROAKS,Rim,13.5972,436
302,SFA076,CT_FAIROAKS,Rim,39.5115,1408
303,ALD004,CT_FAIROAKS,Rim,18.6571,666
304,PLM001,CT_FAIROAKS,Rim,7.03359,249
305,SFA040,CT_FAIROAKS,Rim,99.2698,3521
306,RCK001,CT_FAIROAKS,Rim,72.9349,2599
307,SFA030,CT_FAIROAKS,Rim,31.5417,1127
308,NFM010, ,Rim,92.4677,3280
309,UBEAR, ,Rim,37.253,1276
310,SLTSP, ,Rim,169.781,5936
311,MFM008, ,Rim,94.8847,3376
312,MOK079, ,Rim,56.9075,2026
313,CMP001, ,Rim,15.7077,555
314,JNKSN, ,Rim,17.3138,578
315,CMP014, ,Rim,29.7308,1049
316,DAVIS,CT_OROVILLE,Rim,43.8744,1303
317,FRMAN,CT_OROVILLE,Rim,81.1802,2785
318,MFF019,CT_OROVILLE,Rim,476.009,16871
319,ANTLP,CT_OROVILLE,Rim,70.9673,2527
320,MTMDW,CT_OROVILLE,Rim,153.832,5179
321,ALMNR,CT_OROVILLE,Rim,355.494,11042
322,BTVLY,CT_OROVILLE,Rim,62.9378,2113
323,BUCKS,CT_OROVILLE,Rim,28.5427,904
324,ECHOL,CT_FAIROAKS,Rim,4.75103,145
325,ALOHA,CT_FAIROAKS,Rim,3.43884,77
326,PYR001,CT_FAIROAKS,Rim,5.31119,185
327,SLC003,CT_FAIROAKS,Rim,7.05099,250
328,NLC003,CT_FAIROAKS,Rim,3.56227,127
329,LNG012,CT_FAIROAKS,Rim,7.42642,261
330,PLC007,CT_FAIROAKS,Rim,4.03621,141
331,GZL009,CT_OROVILLE,Rim,13.6897,485
332,FRNCH,CT_SMARTVILLE,Rim,4.72906,139
333,SFR006,CT_FAIROAKS,Rim,15.2121,537
334,SLV006,CT_FAIROAKS,Rim,24.507,872
335,SLV015,CT_FAIROAKS,Rim,31.3952,1105
336,BSH003,CT_FAIROAKS,Rim,8.01461,283
337,ALD002,CT_FAIROAKS,Rim,3.33706,116
338,WBR001,CT_FAIROAKS,Rim,98.9279,3502
339,MFA023,CT_FAIROAKS,Rim,4.60564,164
340,MFA025,CT_FAIROAKS,Rim,23.8233,842
341,NNA013,CT_FAIROAKS,Rim,4.40291,154
342,SPLDG,CT_SMARTVILLE,Rim,33.4098,1145
343,SFA066,CT_FAIROAKS,Rim,67.4375,2399
344,TGC003, ,Rim,7.87031,282
345,COL003, ,Rim,20.6784,738
346,LYONS, ,Rim,18.6824,662
347,PCRST, ,Rim,27.1803,952
348,SFS030, ,Rim,3.33169,117
349,SFS033, ,Rim,17.9306,630
350,MIL003, ,Rim,12.3116,439
351,NFS009, ,Rim,92.1647,3273
352,BVC007, ,Rim,29.5199,1044
353,NFS005, ,Rim,5.97191,216
354,MFS013, ,Rim,22.9136,813
355,BEARD, ,Rim,12.9922,461
356,DONLL, ,Rim,112.939,4007
357,RLIEF, ,Rim,24.2925,849
358,NFA016,CT_FAIROAKS,Rim,14.5073,514
359,MFS022, ,Rim,65.8989,2335
360,MFS047, ,Rim,23.089,813
361,CFS001, ,Rim,67.2647,2377
362,NFS033, ,Rim,28.4436,976
363,SPICE, ,Rim,44.6567,1573
364,ANG017, ,Rim,2.25566,74
365,CYN009,CT_FAIROAKS,Rim,1.27797,47
366,SLF009,CT_FAIROAKS,Rim,45.1472,1603
367,NFF029,CT_OROVILLE,Rim,309.586,10994
368,PEDRO, ,Rim,431.117,14708
369,MCD080, ,Rim,220.224,7814
370,MCD128, ,Rim,180.706,6403
371,MCD119, ,Rim,140.668,4972
372,MSF023, ,Rim,99.7723,3546
373,MSF001, ,Rim,140.43,4992
374,MCD096, ,Rim,128.577,4569
375,MCLRE, ,Rim,125.699,4068
376,HTCHY, ,Rim,453.561,15933
377,ELENR, ,Rim,79.8457,2716
378,LLOYD, ,Rim,115.601,3959
379,NFT008, ,Rim,68.5817,2436
380,CHY006, ,Rim,29.6019,1051
381,TUO105, ,Rim,29.5019,1041
382,MFT000, ,Rim,72.6528,2575
383,SFT003, ,Rim,87.1487,3099
384,JWB001, ,Rim,20.2406,723
385,CVY009, ,Rim,143.721,5098
