gid,tier,tier_label,area_km2_delineated,frac_in_calsim,n_obs,coverage_frac,first_obs,last_obs,synthetic,station_name,lat,lon,area_km2_usgs,area_ratio_delin_over_usgs
11196400,2,mixed,424.914162,0.99866,7826,0.3105,1961-10-01,1983-03-05,False,CALIENTE C AB TEHACHAPI C NR CALIENTE CA,35.31134824,-118.5703669,427.34802,0.9943
11197250,2,mixed,145.846792,0.99767,9130,0.3623,1961-10-01,1986-09-29,False,AVENAL C NR AVENAL CA,35.85412696,-120.1270849,147.8883148,0.9862
11199500,2,mixed,234.707382,1.0,13831,0.5488,1950-01-01,2005-09-30,False,WHITE R NR DUCOR CA,35.814583,-118.928319,239.83288879999998,0.9786
11203580,2,mixed,51.947989,1.0,5443,0.216,2000-01-22,2014-12-31,False,SF TULE R NR CHOLOLLO CAMPGROUND NR PORTERVILLE CA,36.0482899,-118.6542574,52.0587588,0.9979
11204100,2,mixed,249.129685,1.0,5164,0.2049,2000-09-02,2014-12-31,False,SF TULE R NR RESERVATION BNDRY NR PORTERVILLE CA,36.02411648,-118.8134258,248.1208504,1.0041
11208000,3,snow,132.679085,1.0,3928,0.1559,1950-04-01,1960-12-31,False,MARBLE F KAWEAH R (R ONLY) A POTWISHA CAMP CA,36.5218899,-118.7992652,133.1253832,0.9966
11208500,2,mixed,4.882494,1.0,2313,0.0918,1967-06-01,1973-09-29,False,MF KAWEAH TRIB NR HAMMOND CA,36.49300156,-118.825932,4.920977199999999,0.9922
11209900,2,mixed,1085.216984,1.0,11688,0.4638,1958-10-01,1990-09-30,False,KAWEAH R A THREE RIVERS CA,36.4438363,-118.9034335,1082.614984,1.0024
11213500,3,snow,2465.67487,0.99968,11960,0.4746,1950-01-01,1982-09-29,False,KINGS R AB NF NR TRIMMER CA,36.8632806,-119.124282,2465.668576,1.0
11214000,3,snow,97.464112,1.0,9130,0.3623,1956-10-01,1981-09-29,False,NF KINGS R BL MEADOWBROOK CA,37.08133045,-118.862888,97.6425476,0.9982
